period,LSOA,SHEF_C,report_count,user_count,average
2013-9,E01000651,Environmental Disruptions,1,1,1.0
2013-9,E01000651,Vehicles,1,1,1.0
2013-9,E01000652,Environmental Health,1,1,1.0
2013-9,E01000652,Road Safety & Defects,1,1,1.0
2013-9,E01000653,Road Safety & Defects,1,1,1.0
2013-9,E01000656,Road Safety & Defects,1,1,1.0
2013-9,E01000661,Environmental Disruptions,1,1,1.0
2013-9,E01000661,Road Safety & Defects,2,1,2.0
2013-9,E01000662,Environmental Disruptions,1,1,1.0
2013-9,E01000662,Environmental Health,1,1,1.0
2013-9,E01000662,Road Safety & Defects,4,1,4.0
2013-9,E01000663,Access,1,1,1.0
2013-9,E01000663,Environmental Health,1,1,1.0
2013-9,E01000663,Road Safety & Defects,2,1,2.0
2013-9,E01000664,Environmental Disruptions,1,1,1.0
2013-9,E01000664,Road Safety & Defects,1,1,1.0
2013-9,E01000665,Road Safety & Defects,1,1,1.0
2013-9,E01000666,Environmental Health,1,1,1.0
2013-9,E01000667,Environmental Disruptions,1,1,1.0
2013-9,E01000667,Environmental Health,1,1,1.0
2013-9,E01000668,Road Safety & Defects,1,1,1.0
2013-9,E01000671,Road Safety & Defects,1,1,1.0
2013-9,E01000672,Environmental Disruptions,2,1,2.0
2013-9,E01000673,Environmental Disruptions,1,1,1.0
2013-9,E01000674,Road Safety & Defects,1,1,1.0
2013-9,E01000675,Environmental Health,1,1,1.0
2013-9,E01000675,Road Safety & Defects,2,1,2.0
2013-9,E01000676,Environmental Health,4,3,1.3333333333333333
2013-9,E01000676,Road Safety & Defects,1,1,1.0
2013-9,E01000677,Road Safety & Defects,2,1,2.0
2013-9,E01000680,Environmental Health,2,1,2.0
2013-9,E01000680,Road Safety & Defects,1,1,1.0
2013-9,E01000681,Road Safety & Defects,2,2,1.0
2013-9,E01000682,Environmental Health,1,1,1.0
2013-9,E01000684,Road Safety & Defects,2,1,2.0
2013-9,E01000685,Incivilities,1,1,1.0
2013-9,E01000685,Road Safety & Defects,1,1,1.0
2013-9,E01000686,Road Safety & Defects,1,1,1.0
2013-9,E01000695,Environmental Disruptions,1,1,1.0
