period,LSOA,SHEF_C_CODE,report_count,user_count,average
all time,E01000296,C2,12,4,3.0
all time,E01000296,C3,138,36,3.8333333333333335
all time,E01000296,C4,81,2,40.5
all time,E01000296,C5,3,1,3.0
all time,E01000296,C7,234,54,4.333333333333333
all time,E01000297,C2,18,4,4.5
all time,E01000297,C3,84,19,4.421052631578948
all time,E01000297,C4,3,1,3.0
all time,E01000297,C6,3,1,3.0
all time,E01000297,C7,96,26,3.6923076923076925
all time,E01000297,C8,6,2,3.0
all time,E01000298,C2,21,6,3.5
all time,E01000298,C3,201,48,4.1875
all time,E01000298,C4,3,1,3.0
all time,E01000298,C5,9,3,3.0
all time,E01000298,C7,186,48,3.875
all time,E01000298,C8,6,1,6.0
all time,E01000299,C3,153,23,6.6521739130434785
all time,E01000299,C4,3,1,3.0
all time,E01000299,C5,3,1,3.0
all time,E01000299,C7,96,27,3.5555555555555554
all time,E01000300,C2,21,6,3.5
all time,E01000300,C3,75,18,4.166666666666667
all time,E01000300,C4,12,4,3.0
all time,E01000300,C7,111,33,3.3636363636363638
all time,E01000300,C8,3,1,3.0
all time,E01000301,C2,12,4,3.0
all time,E01000301,C3,90,25,3.6
all time,E01000301,C4,18,4,4.5
all time,E01000301,C5,6,2,3.0
all time,E01000301,C7,237,64,3.703125
all time,E01000301,C8,6,2,3.0
all time,E01000302,C2,9,3,3.0
all time,E01000302,C3,108,29,3.7241379310344827
all time,E01000302,C5,3,1,3.0
all time,E01000302,C7,195,43,4.534883720930233
all time,E01000302,C8,18,2,9.0
all time,E01000303,C2,15,5,3.0
all time,E01000303,C3,105,23,4.565217391304348
all time,E01000303,C4,21,3,7.0
all time,E01000303,C5,6,2,3.0
all time,E01000303,C7,192,46,4.173913043478261
all time,E01000303,C8,21,6,3.5
all time,E01000304,C2,12,4,3.0
all time,E01000304,C3,78,22,3.5454545454545454
all time,E01000304,C4,9,2,4.5
all time,E01000304,C7,93,25,3.72
all time,E01000304,C8,27,8,3.375
all time,E01000305,C2,9,3,3.0
all time,E01000305,C3,138,13,10.615384615384615
all time,E01000305,C4,63,2,31.5
all time,E01000305,C5,3,1,3.0
all time,E01000305,C7,288,39,7.384615384615385
all time,E01000305,C8,9,2,4.5
all time,E01000306,C2,42,5,8.4
all time,E01000306,C3,1452,24,60.5
all time,E01000306,C4,39,1,39.0
all time,E01000306,C5,6,2,3.0
all time,E01000306,C7,321,22,14.590909090909092
all time,E01000306,C8,12,4,3.0
all time,E01000307,C2,24,5,4.8
all time,E01000307,C3,474,30,15.8
all time,E01000307,C4,111,2,55.5
all time,E01000307,C5,9,3,3.0
all time,E01000307,C7,348,51,6.823529411764706
all time,E01000307,C8,6,2,3.0
all time,E01000308,C2,6,2,3.0
all time,E01000308,C3,48,11,4.363636363636363
all time,E01000308,C7,45,13,3.4615384615384617
all time,E01000308,C8,3,1,3.0
all time,E01000309,C2,21,5,4.2
all time,E01000309,C3,240,27,8.88888888888889
all time,E01000309,C4,81,5,16.2
all time,E01000309,C5,9,3,3.0
all time,E01000309,C7,306,39,7.846153846153846
all time,E01000309,C8,9,3,3.0
all time,E01000310,C2,21,4,5.25
all time,E01000310,C3,207,27,7.666666666666667
all time,E01000310,C4,156,3,52.0
all time,E01000310,C5,3,1,3.0
all time,E01000310,C7,306,39,7.846153846153846
all time,E01000311,C2,27,7,3.857142857142857
all time,E01000311,C3,63,18,3.5
all time,E01000311,C4,12,2,6.0
all time,E01000311,C7,165,45,3.6666666666666665
all time,E01000311,C8,3,1,3.0
all time,E01000312,C2,3,1,3.0
