lsoa,reports,unique_users,average_per_user
E01000116,2,2,1.0
E01000117,2,2,1.0
E01000118,1,1,1.0
E01000119,2,2,1.0
E01000122,2,2,1.0
E01000123,1,1,1.0
E01000124,1,1,1.0
E01000126,1,1,1.0
E01000127,4,2,2.0
E01000128,1,1,1.0
E01000129,1,1,1.0
E01000131,2,2,1.0
E01000134,1,1,1.0
E01000135,2,1,2.0
E01000136,2,2,1.0
E01000138,3,3,1.0
E01000139,1,1,1.0
E01000141,2,1,2.0
E01000142,3,2,1.5
E01000144,3,3,1.0
E01000146,4,4,1.0
E01000147,1,1,1.0
E01000148,1,1,1.0
E01000152,1,1,1.0
E01000155,1,1,1.0
E01000156,2,2,1.0
E01000157,2,2,1.0
E01000159,2,2,1.0
E01000161,1,1,1.0
E01000163,1,1,1.0
E01000165,1,1,1.0
E01000166,1,1,1.0
E01000167,2,2,1.0
E01000168,4,1,4.0
E01000170,2,2,1.0
E01000171,1,1,1.0
E01000172,2,1,2.0
E01000174,3,3,1.0
E01000175,1,1,1.0
E01000176,2,1,2.0
E01000177,1,1,1.0
E01000178,2,2,1.0
E01000180,1,1,1.0
E01000182,3,2,1.5
E01000183,1,1,1.0
E01000186,2,2,1.0
E01000188,1,1,1.0
E01000190,1,1,1.0
E01000191,3,3,1.0
E01000192,3,3,1.0
E01000193,1,1,1.0
E01000194,1,1,1.0
E01000196,1,1,1.0
E01000197,1,1,1.0
E01000198,4,2,2.0
E01000199,1,1,1.0
E01000200,2,2,1.0
E01000202,2,2,1.0
E01000203,2,2,1.0
E01000204,2,2,1.0
E01000208,1,1,1.0
E01000209,3,2,1.5
E01000210,1,1,1.0
E01000211,4,2,2.0
E01000214,1,1,1.0
E01000217,2,2,1.0
E01000220,1,1,1.0
E01000221,1,1,1.0
E01000222,1,1,1.0
E01000223,1,1,1.0
E01000225,1,1,1.0
E01000228,4,3,1.3333333333333333
E01000229,3,3,1.0
E01000231,2,2,1.0
E01000232,1,1,1.0
E01000235,1,1,1.0
E01000236,1,1,1.0
E01000237,2,2,1.0
E01000238,2,2,1.0
E01000239,6,4,1.5
E01000240,1,1,1.0
E01000241,1,1,1.0
E01000242,1,1,1.0
E01000243,2,2,1.0
E01000244,2,2,1.0
E01000245,3,3,1.0
E01000246,3,3,1.0
E01000247,2,2,1.0
E01000248,3,3,1.0
E01000249,5,4,1.25
E01000250,4,4,1.0
E01000251,4,3,1.3333333333333333
E01000253,2,2,1.0
E01000254,1,1,1.0
E01000255,3,3,1.0
E01000256,3,3,1.0
E01000257,1,1,1.0
E01000258,2,2,1.0
E01000260,3,2,1.5
E01000261,3,3,1.0
E01000262,1,1,1.0
E01000263,3,3,1.0
E01000264,1,1,1.0
E01000265,3,3,1.0
E01000266,1,1,1.0
E01000270,3,2,1.5
E01000272,1,1,1.0
E01000273,1,1,1.0
E01000275,1,1,1.0
E01000276,1,1,1.0
E01000277,2,2,1.0
E01000279,3,2,1.5
E01000280,1,1,1.0
E01000281,2,2,1.0
E01000283,1,1,1.0
E01000284,2,2,1.0
E01000286,3,2,1.5
E01000289,1,1,1.0
E01000290,1,1,1.0
E01000292,1,1,1.0
E01000293,3,3,1.0
E01000294,1,1,1.0
E01000295,3,3,1.0
E01000296,2,2,1.0
E01000297,3,3,1.0
E01000298,2,2,1.0
E01000299,2,2,1.0
E01000300,1,1,1.0
E01000301,1,1,1.0
E01000304,1,1,1.0
E01000306,12,2,6.0
E01000307,6,5,1.2
E01000309,4,3,1.3333333333333333
E01000310,3,3,1.0
E01000311,1,1,1.0
E01000312,1,1,1.0
E01000313,2,2,1.0
E01000314,4,3,1.3333333333333333
E01000315,2,2,1.0
E01000316,1,1,1.0
E01000317,2,2,1.0
E01000318,2,2,1.0
E01000319,1,1,1.0
E01000320,2,2,1.0
E01000321,6,5,1.2
E01000323,4,3,1.3333333333333333
E01000324,2,2,1.0
E01000645,8,8,1.0
E01000646,2,2,1.0
E01000647,2,2,1.0
E01000648,3,3,1.0
E01000649,4,4,1.0
E01000650,2,2,1.0
E01000651,1,1,1.0
E01000652,5,3,1.6666666666666667
E01000654,4,4,1.0
E01000655,2,2,1.0
E01000656,2,2,1.0
E01000657,1,1,1.0
E01000661,2,1,2.0
E01000663,1,1,1.0
E01000664,2,2,1.0
E01000665,1,1,1.0
E01000666,2,2,1.0
E01000668,1,1,1.0
E01000669,3,3,1.0
E01000670,2,2,1.0
E01000671,2,2,1.0
E01000672,2,2,1.0
E01000673,5,5,1.0
E01000674,1,1,1.0
E01000675,4,4,1.0
E01000676,6,6,1.0
E01000677,1,1,1.0
E01000678,3,3,1.0
E01000679,3,3,1.0
E01000680,8,5,1.6
E01000681,1,1,1.0
E01000682,1,1,1.0
E01000683,5,4,1.25
E01000685,2,2,1.0
E01000686,3,3,1.0
E01000687,3,2,1.5
E01000688,2,1,2.0
E01000689,2,2,1.0
E01000690,4,4,1.0
E01000691,3,3,1.0
E01000692,1,1,1.0
E01000693,2,2,1.0
E01000694,6,5,1.2
E01000696,4,4,1.0
E01000697,5,5,1.0
E01000699,1,1,1.0
E01000700,2,2,1.0
