period,LAD,SHEF_B,report_count,user_count,average
all time,E06000032,Parking,379,185,2.0486486486486486
all time,E06000032,Pavement /Footway Defects,289,127,2.2755905511811023
all time,E06000032,Public Toilets,5,5,1.0
all time,E06000032,Road Safety,91,50,1.82
all time,E06000032,Road Surface Defects,382,167,2.287425149700599
all time,E06000032,Rubbish,2216,278,7.971223021582734
all time,E06000032,Street Furniture,29,19,1.5263157894736843
all time,E06000032,Street Lights,156,90,1.7333333333333334
all time,E06000033,Abandoned Vehicles,66,54,1.2222222222222223
all time,E06000033,Dog Fouling,40,36,1.1111111111111112
all time,E06000033,Incivilities,19,12,1.5833333333333333
all time,E06000033,Open Spaces/Parks,29,18,1.6111111111111112
all time,E06000033,Other,1232,368,3.347826086956522
all time,E06000033,Overgrown/Fallen Veg/Trees,48,36,1.3333333333333333
all time,E06000033,Parking,70,55,1.2727272727272727
all time,E06000033,Public Toilets,2,2,1.0
all time,E06000033,Rubbish,318,120,2.65
all time,E06000033,Street Furniture,11,11,1.0
all time,E06000034,Abandoned Vehicles,75,54,1.3888888888888888
all time,E06000034,Bus Stops Damage,9,5,1.8
all time,E06000034,Dog Fouling,13,13,1.0
all time,E06000034,Highways Enquiries,191,78,2.448717948717949
all time,E06000034,Incivilities,16,6,2.6666666666666665
all time,E06000034,Open Spaces/Parks,43,25,1.72
all time,E06000034,Other,89,57,1.5614035087719298
all time,E06000034,Overgrown/Fallen Veg/Trees,20,15,1.3333333333333333
all time,E06000034,Parking,89,68,1.3088235294117647
all time,E06000034,Pavement /Footway Defects,107,49,2.183673469387755
all time,E06000034,Road Safety,99,30,3.3
all time,E06000034,Road Surface Defects,252,111,2.27027027027027
all time,E06000034,Rubbish,218,105,2.0761904761904764
all time,E06000034,Street Furniture,19,4,4.75
all time,E06000034,Street Lights,312,75,4.16
all time,E06000035,Abandoned Vehicles,158,122,1.2950819672131149
all time,E06000035,Bus Stops Damage,4,4,1.0
all time,E06000035,Dog Fouling,58,53,1.0943396226415094
all time,E06000035,Highways Enquiries,173,125,1.384
all time,E06000035,Incivilities,20,16,1.25
all time,E06000035,Open Spaces/Parks,38,24,1.5833333333333333
all time,E06000035,Other,194,138,1.4057971014492754
all time,E06000035,Overgrown/Fallen Veg/Trees,36,29,1.2413793103448276
all time,E06000035,Parking,214,162,1.3209876543209877
