lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000022,B1,1,1,1.0
E07000089,B1,15,15,1.0
E07000177,B1,1,1,1.0
E07000179,B1,2,1,2.0
E07000180,B1,4,4,1.0
E07000181,B1,2,2,1.0
E07000242,B1,1,1,1.0
E07000243,B1,72,37,1.945945945945946
E09000006,B1,139,121,1.1487603305785123
E09000011,B1,72,64,1.125
E09000006,B10,5,4,1.25
E06000023,B11,1,1,1.0
E06000060,B11,2,2,1.0
E07000178,B12,1,1,1.0
E07000179,B12,4,4,1.0
E07000180,B12,6,6,1.0
E07000218,B12,1,1,1.0
E07000219,B12,1,1,1.0
E07000220,B12,3,3,1.0
E07000221,B12,2,2,1.0
E06000023,B13,23,12,1.9166666666666667
E07000089,B13,1,1,1.0
E07000177,B13,34,29,1.1724137931034482
E07000178,B13,24,22,1.0909090909090908
E07000179,B13,41,30,1.3666666666666667
E07000180,B13,37,27,1.3703703703703705
E07000181,B13,31,22,1.4090909090909092
E07000242,B13,1,1,1.0
E07000243,B13,4,3,1.3333333333333333
E09000011,B13,10,8,1.25
E06000060,B14,4,4,1.0
E07000089,B14,1,1,1.0
E07000179,B14,1,1,1.0
E07000221,B14,1,1,1.0
E07000243,B14,7,4,1.75
E09000006,B14,58,32,1.8125
E09000011,B14,10,7,1.4285714285714286
E07000180,B15,1,1,1.0
E07000219,B15,1,1,1.0
E07000222,B15,2,2,1.0
E09000006,B15,20,18,1.1111111111111112
E09000011,B15,11,9,1.2222222222222223
E07000089,B16,12,12,1.0
E07000177,B16,19,18,1.0555555555555556
E07000178,B16,16,16,1.0
E07000179,B16,24,19,1.263157894736842
E07000180,B16,22,20,1.1
E07000181,B16,20,20,1.0
E07000218,B16,4,4,1.0
E07000219,B16,8,7,1.1428571428571428
E07000220,B16,7,6,1.1666666666666667
E07000221,B16,16,15,1.0666666666666667
E07000222,B16,16,16,1.0
E07000242,B16,3,3,1.0
E07000243,B16,21,17,1.2352941176470589
E09000011,B16,23,22,1.0454545454545454
E06000017,B17,5,4,1.25
E06000022,B17,48,40,1.2
E06000060,B17,91,86,1.058139534883721
E07000177,B17,64,49,1.3061224489795917
E07000178,B17,14,11,1.2727272727272727
E07000179,B17,74,54,1.3703703703703705
E07000180,B17,42,28,1.5
E07000181,B17,46,30,1.5333333333333334
E07000218,B17,3,3,1.0
E07000219,B17,1,1,1.0
E07000220,B17,4,4,1.0
E07000221,B17,2,2,1.0
E07000222,B17,2,2,1.0
E07000242,B17,1,1,1.0
E07000243,B17,13,13,1.0
E09000006,B17,265,246,1.0772357723577235
E09000011,B17,5,5,1.0
E07000089,B18,5,5,1.0
E07000178,B18,2,2,1.0
E07000181,B18,3,3,1.0
E09000011,B18,24,19,1.263157894736842
E06000023,B19,74,58,1.2758620689655173
E07000089,B19,3,3,1.0
E07000177,B19,42,22,1.9090909090909092
E07000178,B19,190,21,9.047619047619047
E07000179,B19,63,28,2.25
E07000180,B19,58,27,2.1481481481481484
E07000181,B19,54,15,3.6
E07000243,B19,2,2,1.0
E09000006,B19,86,74,1.162162162162162
E09000011,B19,10,10,1.0
E07000179,B21,1,1,1.0
E06000023,B22,2,2,1.0
E06000022,B23,22,20,1.1
E06000023,B23,103,72,1.4305555555555556
E07000178,B23,1,1,1.0
E07000179,B23,5,5,1.0
E07000180,B23,1,1,1.0
E07000181,B23,2,1,2.0
E07000218,B23,9,8,1.125
E07000219,B23,19,13,1.4615384615384615
E07000220,B23,8,8,1.0
E07000221,B23,8,8,1.0
E07000222,B23,19,17,1.1176470588235294
E07000243,B23,1,1,1.0
E09000006,B23,39,36,1.0833333333333333
E06000022,B24,26,22,1.1818181818181819
E06000023,B24,18,15,1.2
E06000060,B24,125,105,1.1904761904761905
E07000177,B24,30,21,1.4285714285714286
E07000178,B24,32,27,1.1851851851851851
E07000179,B24,32,26,1.2307692307692308
E07000180,B24,39,35,1.1142857142857143
E07000181,B24,22,17,1.2941176470588236
E07000219,B24,5,5,1.0
E07000220,B24,2,2,1.0
E07000221,B24,12,9,1.3333333333333333
E07000222,B24,7,7,1.0
E07000243,B24,2,2,1.0
E09000006,B24,29,26,1.1153846153846154
E09000011,B24,1,1,1.0
E06000017,B25,8,8,1.0
E06000022,B25,273,205,1.3317073170731708
E06000023,B25,103,69,1.4927536231884058
E06000060,B25,904,656,1.3780487804878048
E07000089,B25,5,5,1.0
E07000177,B25,524,152,3.4473684210526314
E07000178,B25,139,67,2.074626865671642
E07000179,B25,1269,101,12.564356435643564
E07000180,B25,760,88,8.636363636363637
E07000181,B25,870,116,7.5
E07000218,B25,3,3,1.0
E07000219,B25,4,2,2.0
E07000220,B25,4,4,1.0
E07000221,B25,3,2,1.5
E07000222,B25,2,2,1.0
E07000243,B25,2,2,1.0
E09000006,B25,153,130,1.176923076923077
E09000011,B25,4,3,1.3333333333333333
E06000022,B26,9,9,1.0
E06000060,B26,25,21,1.1904761904761905
E07000089,B26,38,35,1.0857142857142856
E07000177,B26,5,5,1.0
E07000178,B26,6,5,1.2
E07000179,B26,8,8,1.0
E07000180,B26,5,5,1.0
E07000181,B26,3,3,1.0
E07000219,B26,2,2,1.0
E07000220,B26,1,1,1.0
E07000221,B26,1,1,1.0
E07000222,B26,1,1,1.0
E07000242,B26,7,6,1.1666666666666667
E07000243,B26,159,36,4.416666666666667
E09000006,B26,450,321,1.4018691588785046
E09000011,B26,183,131,1.3969465648854962
E06000017,B27,2,2,1.0
E06000022,B27,3,3,1.0
E06000023,B27,13,10,1.3
E07000178,B27,1,1,1.0
E07000179,B27,1,1,1.0
E07000181,B27,2,2,1.0
E07000243,B27,41,13,3.1538461538461537
E06000017,B28,1,1,1.0
E06000022,B28,43,35,1.2285714285714286
E06000060,B28,187,155,1.206451612903226
E07000177,B28,7,6,1.1666666666666667
E07000178,B28,33,13,2.5384615384615383
E07000179,B28,24,21,1.1428571428571428
E07000180,B28,30,29,1.0344827586206897
E07000181,B28,24,23,1.0434782608695652
E07000219,B28,2,1,2.0
E07000222,B28,1,1,1.0
E07000243,B28,1,1,1.0
E09000006,B28,68,63,1.0793650793650793
E09000011,B28,2,2,1.0
E06000023,B29,20,16,1.25
E06000023,B3,8,8,1.0
E07000177,B3,1,1,1.0
E07000179,B3,1,1,1.0
E07000180,B3,4,4,1.0
E07000181,B3,2,2,1.0
E07000219,B3,1,1,1.0
E07000222,B3,1,1,1.0
E06000022,B4,8,7,1.1428571428571428
E07000219,B4,2,1,2.0
E07000243,B4,3,2,1.5
E07000177,B6,1,1,1.0
E07000243,B6,8,3,2.6666666666666665
E09000011,B6,9,9,1.0
E06000022,B7,60,56,1.0714285714285714
E06000023,B7,58,51,1.1372549019607843
E06000060,B7,90,83,1.0843373493975903
E07000177,B7,66,26,2.5384615384615383
E07000178,B7,48,24,2.0
E07000179,B7,130,31,4.193548387096774
E07000180,B7,73,26,2.8076923076923075
E07000181,B7,42,14,3.0
E07000218,B7,5,5,1.0
E07000219,B7,9,3,3.0
E07000220,B7,11,11,1.0
E07000221,B7,19,19,1.0
E07000222,B7,20,14,1.4285714285714286
E09000006,B7,50,49,1.0204081632653061
E07000243,B8,4,4,1.0
E09000006,B8,56,56,1.0
E09000011,B8,18,18,1.0
