lad,reports,unique_users,average_per_user
E06000001,2210,626,3.5303514376996805
E06000002,1156,488,2.3688524590163933
E06000003,1581,655,2.4137404580152673
E06000004,4148,1432,2.8966480446927374
E06000005,1816,418,4.344497607655502
E06000006,1631,618,2.6391585760517797
E06000007,2916,1187,2.4566133108677337
E06000008,4839,1590,3.043396226415094
E06000009,2269,917,2.474372955288986
E06000010,4414,1348,3.2744807121661723
E06000011,3562,1306,2.7274119448698317
E06000012,991,441,2.247165532879819
E06000013,1967,655,3.003053435114504
E06000014,2343,794,2.9508816120906802
E06000015,3318,1077,3.0807799442896937
E06000016,2957,1247,2.371291098636728
E06000017,1763,526,3.3517110266159698
E06000018,3514,1041,3.3756003842459172
E06000019,5173,1460,3.543150684931507
E06000020,2198,752,2.922872340425532
E06000021,5831,1683,3.4646464646464645
E06000022,9324,2160,4.316666666666666
E06000023,18118,4860,3.7279835390946503
E06000024,4161,1572,2.6469465648854964
E06000025,6127,2028,3.0212031558185406
E06000026,3599,1416,2.5416666666666665
E06000027,1596,637,2.5054945054945055
E06000030,3103,1355,2.2900369003690035
E06000031,11352,1940,5.851546391752577
E06000032,9298,1676,5.547732696897374
E06000033,2716,793,3.4249684741488022
E06000034,2045,673,3.038632986627043
E06000035,4547,1458,3.118655692729767
E06000036,3030,1108,2.734657039711191
E06000037,3533,1216,2.9054276315789473
E06000038,7505,2067,3.6308659893565554
E06000039,2962,870,3.4045977011494255
E06000040,4404,1615,2.7269349845201236
E06000041,7447,1951,3.8170169144028705
E06000042,4197,1592,2.6363065326633164
E06000043,5824,1929,3.0191809227579056
E06000044,1695,990,1.7121212121212122
E06000045,8991,2074,4.335101253616201
E06000046,2403,599,4.011686143572621
E06000047,5356,1775,3.0174647887323944
E06000049,11289,3159,3.573599240265907
E06000050,4309,1685,2.5572700296735906
E06000051,5325,1750,3.0428571428571427
E06000052,8608,2894,2.9744298548721493
E06000053,1,1,1.0
E06000054,4417,2047,2.157791890571568
E06000055,3110,1145,2.7161572052401746
E06000056,6236,2251,2.770324300310973
E06000057,5387,1823,2.955019199122326
E06000058,6340,1759,3.6043206367254124
E06000059,4583,1897,2.415919873484449
E06000060,39167,11738,3.336769466689385
E07000008,4744,1393,3.4055994256999282
E07000009,893,439,2.0341685649202734
E07000010,1146,430,2.6651162790697676
E07000011,2156,1161,1.8570198105081825
E07000012,3823,1689,2.2634695085849614
E07000026,1060,451,2.350332594235033
E07000027,984,318,3.0943396226415096
E07000028,1006,400,2.515
E07000029,2010,770,2.6103896103896105
E07000030,629,271,2.321033210332103
E07000031,2018,805,2.5068322981366458
E07000032,1989,802,2.4800498753117206
E07000033,1611,592,2.7212837837837838
E07000034,2317,528,4.388257575757576
E07000035,1565,532,2.941729323308271
E07000036,2905,891,3.260381593714927
E07000037,1285,592,2.170608108108108
E07000038,3245,743,4.36742934051144
E07000039,2223,811,2.7410604192355117
E07000040,2408,900,2.6755555555555555
E07000041,1313,563,2.3321492007104796
E07000042,1008,412,2.4466019417475726
E07000043,2387,998,2.3917835671342687
E07000044,1655,618,2.677993527508091
E07000045,2142,969,2.210526315789474
E07000046,2204,575,3.8330434782608696
E07000047,547,268,2.041044776119403
E07000061,1561,614,2.542345276872964
E07000062,3060,957,3.197492163009404
E07000063,4645,1597,2.9085785848465875
E07000064,6972,2751,2.5343511450381677
E07000065,7620,2203,3.4589196550158876
E07000066,2626,1275,2.059607843137255
E07000067,1481,771,1.9208819714656291
E07000068,1979,527,3.7552182163187857
E07000069,1595,529,3.015122873345936
E07000070,2889,1148,2.5165505226480835
E07000071,4801,1484,3.2351752021563343
E07000072,2938,1232,2.38474025974026
E07000073,1291,510,2.5313725490196077
E07000074,615,278,2.212230215827338
E07000075,1614,721,2.2385575589459084
E07000076,1618,768,2.1067708333333335
E07000077,1488,704,2.1136363636363638
E07000078,6681,1804,3.703436807095344
E07000079,3394,959,3.5391032325338894
E07000080,1898,758,2.503957783641161
E07000081,2295,789,2.908745247148289
E07000082,2694,964,2.7946058091286305
E07000083,3137,1130,2.7761061946902656
E07000084,6173,1605,3.846105919003115
E07000085,3454,1190,2.9025210084033612
E07000086,2446,957,2.555903866248694
E07000087,1574,667,2.3598200899550226
E07000088,1113,475,2.343157894736842
E07000089,6893,2426,2.8413025556471556
