period,LSOA,SHEF_B_CODE,report_count,user_count,average
2013-2,E01000115,B25,1,1,1.0
2013-2,E01000116,B24,1,1,1.0
2013-2,E01000117,B13,1,1,1.0
2013-2,E01000117,B19,1,1,1.0
2013-2,E01000117,B26,1,1,1.0
2013-2,E01000117,B28,1,1,1.0
2013-2,E01000118,B13,2,1,2.0
2013-2,E01000118,B19,1,1,1.0
2013-2,E01000118,B26,1,1,1.0
2013-2,E01000118,B7,1,1,1.0
2013-2,E01000119,B19,1,1,1.0
2013-2,E01000120,B19,1,1,1.0
2013-2,E01000120,B6,1,1,1.0
2013-2,E01000121,B13,1,1,1.0
2013-2,E01000122,B19,1,1,1.0
2013-2,E01000124,B19,1,1,1.0
2013-2,E01000124,B7,1,1,1.0
2013-2,E01000127,B26,1,1,1.0
2013-2,E01000127,B7,1,1,1.0
2013-2,E01000128,B19,1,1,1.0
2013-2,E01000128,B26,1,1,1.0
2013-2,E01000129,B13,1,1,1.0
2013-2,E01000129,B26,2,2,1.0
2013-2,E01000131,B19,1,1,1.0
2013-2,E01000132,B13,1,1,1.0
2013-2,E01000132,B25,1,1,1.0
2013-2,E01000133,B19,1,1,1.0
2013-2,E01000133,B26,1,1,1.0
2013-2,E01000134,B24,1,1,1.0
2013-2,E01000135,B13,1,1,1.0
2013-2,E01000135,B26,1,1,1.0
2013-2,E01000137,B13,1,1,1.0
2013-2,E01000138,B25,1,1,1.0
2013-2,E01000139,B14,2,1,2.0
2013-2,E01000139,B25,1,1,1.0
2013-2,E01000139,B26,2,2,1.0
2013-2,E01000140,B26,2,1,2.0
2013-2,E01000141,B26,2,2,1.0
2013-2,E01000144,B12,1,1,1.0
2013-2,E01000145,B19,3,2,1.5
2013-2,E01000147,B19,2,2,1.0
2013-2,E01000147,B28,1,1,1.0
2013-2,E01000148,B12,1,1,1.0
2013-2,E01000148,B7,2,2,1.0
2013-2,E01000150,B26,1,1,1.0
2013-2,E01000151,B28,1,1,1.0
2013-2,E01000152,B25,1,1,1.0
2013-2,E01000153,B13,1,1,1.0
2013-2,E01000153,B26,1,1,1.0
2013-2,E01000155,B24,1,1,1.0
2013-2,E01000155,B25,3,1,3.0
2013-2,E01000155,B26,2,1,2.0
