lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000650,B17,2,2,1.0
E01000651,B17,1,1,1.0
E01000655,B17,1,1,1.0
E01000656,B17,2,2,1.0
E01000661,B17,1,1,1.0
E01000666,B17,4,4,1.0
E01000670,B17,2,2,1.0
E01000671,B17,1,1,1.0
E01000672,B17,1,1,1.0
E01000676,B17,1,1,1.0
E01000680,B17,1,1,1.0
E01000682,B17,2,2,1.0
E01000683,B17,1,1,1.0
E01000688,B17,2,2,1.0
E01000692,B17,2,2,1.0
E01000693,B17,1,1,1.0
E01000694,B17,1,1,1.0
E01000698,B17,1,1,1.0
E01000700,B17,1,1,1.0
E01000701,B17,1,1,1.0
E01000703,B17,1,1,1.0
E01000706,B17,1,1,1.0
E01000708,B17,1,1,1.0
E01000710,B17,1,1,1.0
E01000711,B17,1,1,1.0
E01000714,B17,1,1,1.0
E01000719,B17,2,2,1.0
E01000720,B17,1,1,1.0
E01000725,B17,1,1,1.0
E01000726,B17,2,2,1.0
E01000731,B17,1,1,1.0
E01000732,B17,1,1,1.0
E01000733,B17,1,1,1.0
E01000739,B17,1,1,1.0
E01000741,B17,1,1,1.0
E01000742,B17,1,1,1.0
E01000744,B17,1,1,1.0
E01000746,B17,3,3,1.0
E01000747,B17,1,1,1.0
E01000749,B17,1,1,1.0
E01000752,B17,2,2,1.0
E01000754,B17,3,3,1.0
E01000755,B17,1,1,1.0
E01000760,B17,1,1,1.0
E01000763,B17,1,1,1.0
E01000764,B17,2,2,1.0
E01000765,B17,2,2,1.0
E01000766,B17,1,1,1.0
E01000767,B17,3,3,1.0
E01000768,B17,1,1,1.0
E01000769,B17,1,1,1.0
E01000770,B17,2,2,1.0
E01000771,B17,2,2,1.0
E01000775,B17,2,2,1.0
E01000778,B17,1,1,1.0
E01000779,B17,1,1,1.0
E01000783,B17,1,1,1.0
E01000784,B17,1,1,1.0
E01000786,B17,3,3,1.0
E01000788,B17,1,1,1.0
E01000790,B17,2,2,1.0
E01000792,B17,1,1,1.0
E01000802,B17,2,2,1.0
E01000804,B17,2,2,1.0
E01000806,B17,1,1,1.0
E01000807,B17,1,1,1.0
E01000810,B17,1,1,1.0
E01000826,B17,1,1,1.0
E01000829,B17,1,1,1.0
E01000831,B17,4,4,1.0
E01000832,B17,3,3,1.0
E01000833,B17,1,1,1.0
E01000836,B17,2,1,2.0
E01000838,B17,3,3,1.0
E01000839,B17,2,2,1.0
E01000841,B17,1,1,1.0
E01017145,B17,2,2,1.0
E01017150,B17,1,1,1.0
E01017199,B17,1,1,1.0
E01017202,B17,1,1,1.0
E01017203,B17,1,1,1.0
E01017208,B17,1,1,1.0
E01017214,B17,2,2,1.0
E01017215,B17,3,1,3.0
E01017231,B17,1,1,1.0
E01017240,B17,1,1,1.0
E01017251,B17,1,1,1.0
E01017253,B17,1,1,1.0
E01017271,B17,2,1,2.0
E01032753,B17,1,1,1.0
E01032756,B17,2,1,2.0
E01017220,B18,1,1,1.0
E01017250,B18,1,1,1.0
E01017278,B18,1,1,1.0
E01029499,B18,1,1,1.0
E01032751,B18,4,2,2.0
E01032899,B18,1,1,1.0
E01000115,B19,1,1,1.0
E01000116,B19,1,1,1.0
E01000119,B19,1,1,1.0
E01000120,B19,1,1,1.0
E01000122,B19,1,1,1.0
E01000127,B19,1,1,1.0
E01000135,B19,1,1,1.0
E01000140,B19,1,1,1.0
E01000141,B19,1,1,1.0
E01000160,B19,1,1,1.0
E01000181,B19,1,1,1.0
E01000182,B19,1,1,1.0
E01000186,B19,2,2,1.0
E01000188,B19,1,1,1.0
E01000190,B19,1,1,1.0
E01000196,B19,1,1,1.0
E01000197,B19,1,1,1.0
E01000206,B19,1,1,1.0
E01000207,B19,4,3,1.3333333333333333
E01000216,B19,1,1,1.0
E01000248,B19,1,1,1.0
E01000250,B19,1,1,1.0
E01000251,B19,1,1,1.0
E01000259,B19,1,1,1.0
E01000260,B19,1,1,1.0
E01000268,B19,1,1,1.0
E01000279,B19,2,2,1.0
E01000283,B19,1,1,1.0
E01000292,B19,1,1,1.0
E01000298,B19,1,1,1.0
E01000301,B19,1,1,1.0
E01000303,B19,1,1,1.0
E01000305,B19,2,1,2.0
E01000306,B19,1,1,1.0
E01000307,B19,1,1,1.0
E01000309,B19,2,1,2.0
E01000311,B19,1,1,1.0
E01000313,B19,3,1,3.0
E01000314,B19,3,1,3.0
E01000659,B19,1,1,1.0
E01000663,B19,2,2,1.0
E01000665,B19,1,1,1.0
E01000678,B19,1,1,1.0
E01000683,B19,1,1,1.0
E01000686,B19,1,1,1.0
E01000712,B19,1,1,1.0
E01000721,B19,1,1,1.0
E01000724,B19,1,1,1.0
E01000733,B19,1,1,1.0
E01000748,B19,1,1,1.0
E01000752,B19,1,1,1.0
E01000753,B19,1,1,1.0
E01000755,B19,3,3,1.0
E01000757,B19,1,1,1.0
E01000761,B19,1,1,1.0
E01000767,B19,1,1,1.0
E01000775,B19,1,1,1.0
E01000782,B19,1,1,1.0
E01000785,B19,1,1,1.0
E01000786,B19,1,1,1.0
E01000788,B19,1,1,1.0
E01000793,B19,1,1,1.0
E01000805,B19,1,1,1.0
E01000807,B19,1,1,1.0
E01000810,B19,1,1,1.0
E01000811,B19,2,2,1.0
E01000827,B19,1,1,1.0
E01000831,B19,1,1,1.0
E01000841,B19,2,2,1.0
E01017140,B19,1,1,1.0
E01017168,B19,1,1,1.0
E01017181,B19,3,1,3.0
E01017194,B19,1,1,1.0
E01017200,B19,1,1,1.0
E01017214,B19,1,1,1.0
E01017225,B19,1,1,1.0
E01017255,B19,1,1,1.0
E01017270,B19,1,1,1.0
E01017278,B19,1,1,1.0
E01029475,B19,1,1,1.0
E01029477,B19,1,1,1.0
E01029497,B19,2,2,1.0
E01029511,B19,1,1,1.0
E01000677,B21,1,1,1.0
E01000760,B21,1,1,1.0
E01000841,B21,1,1,1.0
E01000667,B23,1,1,1.0
E01000671,B23,1,1,1.0
E01000685,B23,2,1,2.0
E01000703,B23,1,1,1.0
E01000711,B23,1,1,1.0
E01000720,B23,1,1,1.0
E01000728,B23,1,1,1.0
E01000738,B23,2,2,1.0
E01000743,B23,1,1,1.0
E01000747,B23,1,1,1.0
E01000752,B23,1,1,1.0
E01000759,B23,1,1,1.0
E01000760,B23,1,1,1.0
E01000764,B23,1,1,1.0
E01000772,B23,1,1,1.0
E01000773,B23,1,1,1.0
E01000774,B23,1,1,1.0
E01000778,B23,1,1,1.0
E01000779,B23,1,1,1.0
E01000784,B23,1,1,1.0
E01000795,B23,1,1,1.0
E01000802,B23,1,1,1.0
E01000809,B23,1,1,1.0
E01000814,B23,1,1,1.0
E01000823,B23,1,1,1.0
E01000826,B23,1,1,1.0
E01000832,B23,1,1,1.0
E01000838,B23,1,1,1.0
E01000123,B24,1,1,1.0
E01000156,B24,1,1,1.0
E01000206,B24,1,1,1.0
E01000207,B24,1,1,1.0
E01000211,B24,1,1,1.0
E01000242,B24,1,1,1.0
E01000259,B24,1,1,1.0
E01000262,B24,1,1,1.0
E01000279,B24,1,1,1.0
E01000293,B24,1,1,1.0
E01000298,B24,1,1,1.0
E01000306,B24,1,1,1.0
E01000663,B24,1,1,1.0
E01000680,B24,1,1,1.0
E01000714,B24,1,1,1.0
E01000727,B24,1,1,1.0
E01000741,B24,1,1,1.0
E01000743,B24,1,1,1.0
E01000745,B24,1,1,1.0
E01000775,B24,1,1,1.0
E01000787,B24,1,1,1.0
E01000830,B24,1,1,1.0
E01000832,B24,1,1,1.0
E01017140,B24,1,1,1.0
E01017145,B24,1,1,1.0
