lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000303,B1,6,5,1.2
E01000304,B1,9,8,1.125
E01000305,B1,3,2,1.5
E01000306,B1,4,4,1.0
E01000307,B1,2,2,1.0
E01000309,B1,3,3,1.0
E01000311,B1,1,1,1.0
E01000312,B1,1,1,1.0
E01000313,B1,3,3,1.0
E01000314,B1,2,2,1.0
E01000315,B1,4,4,1.0
E01000316,B1,11,10,1.1
E01000318,B1,4,4,1.0
E01000319,B1,2,2,1.0
E01000322,B1,1,1,1.0
E01000323,B1,3,3,1.0
E01000324,B1,8,6,1.3333333333333333
E01000325,B1,1,1,1.0
E01000326,B1,12,11,1.0909090909090908
E01000327,B1,12,11,1.0909090909090908
E01000328,B1,15,14,1.0714285714285714
E01000329,B1,4,4,1.0
E01000330,B1,16,14,1.1428571428571428
E01000331,B1,14,13,1.0769230769230769
E01000332,B1,9,9,1.0
E01000333,B1,9,9,1.0
E01000334,B1,16,13,1.2307692307692308
E01000335,B1,23,22,1.0454545454545454
E01000336,B1,19,14,1.3571428571428572
E01000337,B1,17,15,1.1333333333333333
E01000338,B1,31,24,1.2916666666666667
E01000339,B1,10,10,1.0
E01000340,B1,7,6,1.1666666666666667
E01000341,B1,9,9,1.0
E01000342,B1,5,5,1.0
E01000343,B1,14,14,1.0
E01000344,B1,5,4,1.25
E01000345,B1,8,8,1.0
E01000346,B1,9,8,1.125
E01000347,B1,3,3,1.0
E01000348,B1,10,9,1.1111111111111112
E01000349,B1,13,13,1.0
E01000350,B1,8,8,1.0
E01000351,B1,9,9,1.0
E01000352,B1,14,9,1.5555555555555556
E01000353,B1,7,6,1.1666666666666667
E01000354,B1,10,10,1.0
E01000355,B1,12,12,1.0
E01000356,B1,4,4,1.0
E01000357,B1,8,7,1.1428571428571428
E01000358,B1,10,8,1.25
E01000359,B1,2,2,1.0
E01000360,B1,11,11,1.0
E01000361,B1,4,4,1.0
E01000362,B1,5,5,1.0
E01000363,B1,7,6,1.1666666666666667
E01000364,B1,15,13,1.1538461538461537
E01000365,B1,7,6,1.1666666666666667
E01000366,B1,5,5,1.0
E01000367,B1,12,11,1.0909090909090908
E01000368,B1,11,11,1.0
E01000369,B1,14,13,1.0769230769230769
E01000370,B1,5,5,1.0
E01000371,B1,27,21,1.2857142857142858
E01000372,B1,7,6,1.1666666666666667
E01000373,B1,10,10,1.0
E01000374,B1,18,14,1.2857142857142858
E01000375,B1,16,14,1.1428571428571428
E01000376,B1,21,19,1.105263157894737
E01000377,B1,10,8,1.25
E01000378,B1,31,28,1.1071428571428572
E01000379,B1,7,6,1.1666666666666667
E01000380,B1,15,12,1.25
E01000381,B1,14,12,1.1666666666666667
E01000382,B1,12,11,1.0909090909090908
E01000383,B1,18,14,1.2857142857142858
E01000384,B1,12,11,1.0909090909090908
E01000385,B1,19,17,1.1176470588235294
E01000386,B1,11,10,1.1
E01000387,B1,3,3,1.0
E01000388,B1,11,9,1.2222222222222223
E01000389,B1,10,9,1.1111111111111112
E01000390,B1,11,10,1.1
E01000391,B1,10,10,1.0
E01000392,B1,14,11,1.2727272727272727
E01000393,B1,11,10,1.1
E01000394,B1,6,6,1.0
E01000395,B1,15,13,1.1538461538461537
E01000396,B1,20,16,1.25
E01000398,B1,10,10,1.0
E01000399,B1,4,4,1.0
E01000400,B1,6,6,1.0
E01000401,B1,27,19,1.4210526315789473
E01000402,B1,14,11,1.2727272727272727
E01000403,B1,20,20,1.0
E01000404,B1,9,7,1.2857142857142858
E01000405,B1,28,22,1.2727272727272727
E01000406,B1,19,17,1.1176470588235294
E01000407,B1,15,10,1.5
E01000408,B1,20,18,1.1111111111111112
E01000409,B1,1,1,1.0
E01000410,B1,12,10,1.2
E01000411,B1,12,12,1.0
E01000412,B1,9,8,1.125
E01000413,B1,11,7,1.5714285714285714
E01000414,B1,11,9,1.2222222222222223
E01000415,B1,16,13,1.2307692307692308
E01000416,B1,7,7,1.0
E01000417,B1,19,15,1.2666666666666666
E01000418,B1,10,9,1.1111111111111112
E01000419,B1,4,3,1.3333333333333333
E01000420,B1,7,7,1.0
E01000421,B1,8,8,1.0
E01000422,B1,4,4,1.0
E01000423,B1,6,6,1.0
E01000424,B1,3,3,1.0
E01000425,B1,13,10,1.3
E01000426,B1,11,11,1.0
E01000427,B1,15,14,1.0714285714285714
E01000428,B1,17,11,1.5454545454545454
E01000429,B1,15,15,1.0
E01000430,B1,19,19,1.0
E01000431,B1,6,5,1.2
E01000432,B1,17,16,1.0625
E01000433,B1,13,11,1.1818181818181819
E01000434,B1,6,4,1.5
E01000435,B1,11,10,1.1
E01000436,B1,6,6,1.0
E01000437,B1,20,15,1.3333333333333333
E01000438,B1,7,7,1.0
E01000439,B1,26,25,1.04
E01000440,B1,4,3,1.3333333333333333
E01000441,B1,15,13,1.1538461538461537
E01000442,B1,21,18,1.1666666666666667
E01000443,B1,7,7,1.0
E01000444,B1,9,7,1.2857142857142858
E01000445,B1,11,9,1.2222222222222223
E01000446,B1,17,13,1.3076923076923077
E01000447,B1,15,13,1.1538461538461537
E01000448,B1,9,8,1.125
E01000449,B1,5,4,1.25
E01000450,B1,5,5,1.0
E01000451,B1,6,6,1.0
E01000452,B1,6,5,1.2
E01000453,B1,5,5,1.0
E01000454,B1,19,15,1.2666666666666666
E01000455,B1,21,17,1.2352941176470589
E01000456,B1,5,5,1.0
E01000457,B1,9,9,1.0
E01000458,B1,7,7,1.0
E01000459,B1,8,6,1.3333333333333333
E01000460,B1,5,5,1.0
E01000461,B1,2,2,1.0
E01000462,B1,8,8,1.0
E01000463,B1,4,3,1.3333333333333333
E01000464,B1,8,8,1.0
E01000465,B1,16,13,1.2307692307692308
E01000466,B1,8,8,1.0
E01000467,B1,8,8,1.0
E01000468,B1,18,15,1.2
E01000469,B1,12,12,1.0
E01000470,B1,6,6,1.0
E01000645,B1,36,28,1.2857142857142858
E01000646,B1,43,36,1.1944444444444444
E01000647,B1,50,41,1.2195121951219512
E01000648,B1,61,51,1.196078431372549
E01000649,B1,72,59,1.2203389830508475
E01000650,B1,45,37,1.2162162162162162
E01000651,B1,40,36,1.1111111111111112
E01000652,B1,50,39,1.2820512820512822
E01000653,B1,41,39,1.0512820512820513
E01000654,B1,76,57,1.3333333333333333
E01000655,B1,71,55,1.290909090909091
E01000656,B1,57,36,1.5833333333333333
E01000657,B1,42,38,1.105263157894737
E01000658,B1,32,26,1.2307692307692308
E01000659,B1,43,42,1.0238095238095237
E01000661,B1,49,42,1.1666666666666667
E01000662,B1,35,30,1.1666666666666667
E01000663,B1,37,36,1.0277777777777777
E01000664,B1,43,33,1.303030303030303
E01000665,B1,82,61,1.3442622950819672
E01000666,B1,57,54,1.0555555555555556
E01000667,B1,48,44,1.0909090909090908
E01000668,B1,62,55,1.1272727272727272
E01000669,B1,61,52,1.1730769230769231
