period,LAD,SHEF_C_CODE,report_count,user_count,average
2017-10,,C3,13,12,1.0833333333333333
2017-10,,C5,3,3,1.0
2017-10,,C6,2,2,1.0
2017-10,,C7,92,25,3.68
2017-10,,C8,2,2,1.0
2017-10,E06000001,C3,16,8,2.0
2017-10,E06000001,C4,1,1,1.0
2017-10,E06000001,C5,4,3,1.3333333333333333
2017-10,E06000001,C6,5,5,1.0
2017-10,E06000001,C7,14,7,2.0
2017-10,E06000001,C8,2,1,2.0
2017-10,E06000002,C2,1,1,1.0
2017-10,E06000002,C3,1,1,1.0
2017-10,E06000002,C5,1,1,1.0
2017-10,E06000002,C6,1,1,1.0
2017-10,E06000002,C7,3,3,1.0
2017-10,E06000002,C8,5,4,1.25
2017-10,E06000003,C3,1,1,1.0
2017-10,E06000003,C6,1,1,1.0
2017-10,E06000003,C7,3,3,1.0
2017-10,E06000003,C8,1,1,1.0
2017-10,E06000004,C2,2,2,1.0
2017-10,E06000004,C3,16,8,2.0
2017-10,E06000004,C5,3,3,1.0
2017-10,E06000004,C6,3,3,1.0
2017-10,E06000004,C7,13,11,1.1818181818181819
2017-10,E06000004,C8,6,5,1.2
2017-10,E06000005,C2,1,1,1.0
2017-10,E06000005,C3,5,3,1.6666666666666667
2017-10,E06000005,C7,3,2,1.5
2017-10,E06000005,C8,1,1,1.0
2017-10,E06000006,C3,1,1,1.0
2017-10,E06000006,C5,1,1,1.0
2017-10,E06000006,C6,3,1,3.0
2017-10,E06000006,C7,4,4,1.0
2017-10,E06000006,C8,1,1,1.0
2017-10,E06000007,C2,1,1,1.0
2017-10,E06000007,C3,2,2,1.0
2017-10,E06000007,C5,1,1,1.0
2017-10,E06000007,C7,16,11,1.4545454545454546
2017-10,E06000007,C8,2,2,1.0
2017-10,E06000008,C3,6,6,1.0
2017-10,E06000008,C5,1,1,1.0
2017-10,E06000008,C7,14,7,2.0
2017-10,E06000008,C8,1,1,1.0
2017-10,E06000009,C3,3,2,1.5
2017-10,E06000009,C5,2,2,1.0
2017-10,E06000009,C6,1,1,1.0
2017-10,E06000009,C7,2,2,1.0
2017-10,E06000009,C8,5,5,1.0
2017-10,E06000010,,1,1,1.0
2017-10,E06000010,C2,2,1,2.0
2017-10,E06000010,C3,19,12,1.5833333333333333
2017-10,E06000010,C4,4,1,4.0
2017-10,E06000010,C5,5,4,1.25
2017-10,E06000010,C7,145,10,14.5
2017-10,E06000010,C8,3,3,1.0
2017-10,E06000011,C3,2,2,1.0
2017-10,E06000011,C7,4,3,1.3333333333333333
2017-10,E06000012,,2,1,2.0
2017-10,E06000012,C3,2,2,1.0
2017-10,E06000012,C4,1,1,1.0
2017-10,E06000012,C7,2,2,1.0
2017-10,E06000013,C1,1,1,1.0
2017-10,E06000013,C3,13,7,1.8571428571428572
2017-10,E06000013,C4,1,1,1.0
2017-10,E06000013,C5,1,1,1.0
2017-10,E06000013,C7,41,10,4.1
2017-10,E06000013,C8,1,1,1.0
2017-10,E06000014,C5,1,1,1.0
2017-10,E06000014,C7,11,10,1.1
2017-10,E06000014,C8,3,3,1.0
2017-10,E06000015,C2,1,1,1.0
2017-10,E06000015,C3,3,3,1.0
2017-10,E06000015,C5,1,1,1.0
2017-10,E06000015,C6,1,1,1.0
2017-10,E06000015,C7,3,3,1.0
2017-10,E06000016,C2,2,2,1.0
2017-10,E06000016,C3,9,8,1.125
