period,LAD,SHEF_C,report_count,user_count,average
2010-2,E06000001,Environmental Health,1,1,1.0
2010-2,E06000001,Other,1,1,1.0
2010-2,E06000001,Road Safety & Defects,4,3,1.3333333333333333
2010-2,E06000002,Other,2,2,1.0
2010-2,E06000002,Road Safety & Defects,4,3,1.3333333333333333
2010-2,E06000003,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000003,Road Safety & Defects,3,3,1.0
2010-2,E06000004,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000004,Environmental Health,10,4,2.5
2010-2,E06000004,Other,1,1,1.0
2010-2,E06000004,Public Space,1,1,1.0
2010-2,E06000004,Road Safety & Defects,2,2,1.0
2010-2,E06000005,Environmental Health,3,2,1.5
2010-2,E06000005,Other,1,1,1.0
2010-2,E06000005,Road Safety & Defects,4,3,1.3333333333333333
2010-2,E06000006,Environmental Health,2,2,1.0
2010-2,E06000006,Incivilities,1,1,1.0
2010-2,E06000006,Road Safety & Defects,5,2,2.5
2010-2,E06000007,Environmental Health,2,2,1.0
2010-2,E06000007,Other,1,1,1.0
2010-2,E06000007,Road Safety & Defects,10,6,1.6666666666666667
2010-2,E06000008,Environmental Health,8,6,1.3333333333333333
2010-2,E06000008,Other,2,2,1.0
2010-2,E06000008,Road Safety & Defects,114,6,19.0
2010-2,E06000009,Environmental Health,2,2,1.0
2010-2,E06000009,Other,1,1,1.0
2010-2,E06000009,Road Safety & Defects,18,13,1.3846153846153846
2010-2,E06000010,Environmental Health,1,1,1.0
2010-2,E06000010,Public Space,1,1,1.0
2010-2,E06000010,Road Safety & Defects,4,4,1.0
2010-2,E06000011,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000011,Environmental Disruptions,1,1,1.0
2010-2,E06000011,Environmental Health,3,2,1.5
2010-2,E06000011,Road Safety & Defects,19,10,1.9
2010-2,E06000012,Other,1,1,1.0
2010-2,E06000012,Road Safety & Defects,1,1,1.0
2010-2,E06000013,Road Safety & Defects,4,1,4.0
2010-2,E06000014,Environmental Health,1,1,1.0
2010-2,E06000014,Other,2,2,1.0
2010-2,E06000014,Road Safety & Defects,9,6,1.5
2010-2,E06000015,Environmental Disruptions,1,1,1.0
2010-2,E06000015,Environmental Health,2,2,1.0
2010-2,E06000015,Other,1,1,1.0
2010-2,E06000015,Road Safety & Defects,10,7,1.4285714285714286
2010-2,E06000016,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000016,Environmental Health,1,1,1.0
2010-2,E06000016,Other,1,1,1.0
2010-2,E06000016,Road Safety & Defects,8,7,1.1428571428571428
2010-2,E06000017,Environmental Health,1,1,1.0
2010-2,E06000017,Road Safety & Defects,1,1,1.0
2010-2,E06000018,Abandoned Vehicles & Parking,2,1,2.0
2010-2,E06000018,Environmental Health,1,1,1.0
2010-2,E06000018,Incivilities,2,1,2.0
2010-2,E06000018,Other,1,1,1.0
2010-2,E06000018,Road Safety & Defects,5,4,1.25
2010-2,E06000019,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000019,Environmental Health,2,1,2.0
2010-2,E06000019,Other,1,1,1.0
2010-2,E06000019,Road Safety & Defects,12,11,1.0909090909090908
2010-2,E06000020,Incivilities,1,1,1.0
2010-2,E06000020,Other,1,1,1.0
2010-2,E06000020,Road Safety & Defects,15,4,3.75
2010-2,E06000021,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000021,Environmental Health,8,5,1.6
2010-2,E06000021,Other,5,4,1.25
2010-2,E06000021,Road Safety & Defects,13,9,1.4444444444444444
2010-2,E06000022,Environmental Disruptions,1,1,1.0
2010-2,E06000022,Environmental Health,2,2,1.0
2010-2,E06000022,Other,1,1,1.0
2010-2,E06000022,Road Safety & Defects,18,10,1.8
2010-2,E06000023,Abandoned Vehicles & Parking,3,2,1.5
2010-2,E06000023,Environmental Disruptions,1,1,1.0
2010-2,E06000023,Environmental Health,4,4,1.0
2010-2,E06000023,Incivilities,2,2,1.0
2010-2,E06000023,Other,1,1,1.0
2010-2,E06000023,Road Safety & Defects,24,17,1.411764705882353
2010-2,E06000023,Vehicles,3,3,1.0
2010-2,E06000024,Road Safety & Defects,16,10,1.6
2010-2,E06000025,Environmental Health,1,1,1.0
2010-2,E06000025,Incivilities,1,1,1.0
2010-2,E06000025,Other,1,1,1.0
2010-2,E06000025,Road Safety & Defects,9,9,1.0
2010-2,E06000026,Environmental Health,2,2,1.0
2010-2,E06000026,Incivilities,1,1,1.0
2010-2,E06000026,Other,1,1,1.0
2010-2,E06000026,Road Safety & Defects,15,10,1.5
2010-2,E06000027,Environmental Health,5,4,1.25
2010-2,E06000027,Incivilities,1,1,1.0
2010-2,E06000027,Vehicles,1,1,1.0
2010-2,E06000028,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000028,Environmental Health,10,7,1.4285714285714286
2010-2,E06000028,Incivilities,2,2,1.0
2010-2,E06000028,Other,1,1,1.0
2010-2,E06000028,Public Space,2,2,1.0
2010-2,E06000028,Road Safety & Defects,51,8,6.375
2010-2,E06000029,Road Safety & Defects,6,6,1.0
2010-2,E06000030,Road Safety & Defects,6,4,1.5
2010-2,E06000031,Environmental Disruptions,1,1,1.0
2010-2,E06000031,Environmental Health,4,3,1.3333333333333333
2010-2,E06000031,Incivilities,6,1,6.0
2010-2,E06000031,Other,2,2,1.0
2010-2,E06000031,Road Safety & Defects,17,13,1.3076923076923077
2010-2,E06000032,Road Safety & Defects,2,2,1.0
2010-2,E06000033,Other,6,5,1.2
2010-2,E06000034,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000034,Other,1,1,1.0
2010-2,E06000035,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E06000035,Environmental Disruptions,1,1,1.0
2010-2,E06000035,Environmental Health,2,2,1.0
2010-2,E06000035,Incivilities,1,1,1.0
2010-2,E06000035,Other,1,1,1.0
2010-2,E06000035,Road Safety & Defects,9,9,1.0
2010-2,E06000035,Vehicles,4,4,1.0
2010-2,E06000036,Environmental Disruptions,1,1,1.0
2010-2,E06000036,Other,1,1,1.0
2010-2,E06000036,Road Safety & Defects,3,3,1.0
2010-2,E06000037,Environmental Health,1,1,1.0
2010-2,E06000037,Other,1,1,1.0
2010-2,E06000037,Road Safety & Defects,10,8,1.25
2010-2,E06000038,Environmental Disruptions,5,2,2.5
2010-2,E06000038,Environmental Health,3,3,1.0
2010-2,E06000038,Other,5,4,1.25
2010-2,E06000038,Road Safety & Defects,20,10,2.0
2010-2,E06000038,Vehicles,2,2,1.0
2010-2,E06000039,Environmental Health,4,3,1.3333333333333333
2010-2,E06000039,Other,2,2,1.0
2010-2,E06000039,Road Safety & Defects,3,3,1.0
2010-2,E06000039,Vehicles,1,1,1.0
2010-2,E06000040,Environmental Health,1,1,1.0
2010-2,E06000040,Other,1,1,1.0
2010-2,E06000040,Road Safety & Defects,18,12,1.5
2010-2,E06000041,Environmental Health,3,3,1.0
2010-2,E06000041,Other,1,1,1.0
2010-2,E06000041,Road Safety & Defects,17,9,1.8888888888888888
2010-2,E06000042,Environmental Health,1,1,1.0
2010-2,E06000042,Other,2,2,1.0
2010-2,E06000042,Road Safety & Defects,14,9,1.5555555555555556
2010-2,E06000043,Abandoned Vehicles & Parking,3,3,1.0
2010-2,E06000043,Environmental Health,4,4,1.0
2010-2,E06000043,Other,3,3,1.0
2010-2,E06000043,Road Safety & Defects,15,13,1.1538461538461537
2010-2,E06000044,Abandoned Vehicles & Parking,3,3,1.0
2010-2,E06000044,Environmental Health,2,2,1.0
2010-2,E06000044,Other,1,1,1.0
2010-2,E06000044,Road Safety & Defects,7,7,1.0
2010-2,E06000044,Vehicles,1,1,1.0
2010-2,E06000045,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000045,Environmental Health,2,2,1.0
2010-2,E06000045,Other,2,2,1.0
2010-2,E06000045,Road Safety & Defects,18,13,1.3846153846153846
2010-2,E06000046,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000046,Environmental Disruptions,1,1,1.0
2010-2,E06000046,Environmental Health,2,2,1.0
2010-2,E06000046,Other,5,4,1.25
2010-2,E06000046,Road Safety & Defects,48,13,3.6923076923076925
2010-2,E06000047,Abandoned Vehicles & Parking,3,3,1.0
2010-2,E06000047,Environmental Disruptions,4,2,2.0
2010-2,E06000047,Environmental Health,12,11,1.0909090909090908
2010-2,E06000047,Incivilities,1,1,1.0
2010-2,E06000047,Other,4,4,1.0
2010-2,E06000047,Road Safety & Defects,27,16,1.6875
2010-2,E06000047,Vehicles,2,1,2.0
2010-2,E06000049,Abandoned Vehicles & Parking,3,3,1.0
2010-2,E06000049,Environmental Disruptions,1,1,1.0
2010-2,E06000049,Environmental Health,5,5,1.0
2010-2,E06000049,Other,2,1,2.0
2010-2,E06000049,Road Safety & Defects,23,19,1.2105263157894737
2010-2,E06000049,Vehicles,1,1,1.0
2010-2,E06000050,Environmental Health,2,2,1.0
2010-2,E06000050,Other,2,2,1.0
2010-2,E06000050,Road Safety & Defects,12,11,1.0909090909090908
2010-2,E06000051,Environmental Health,2,1,2.0
2010-2,E06000051,Road Safety & Defects,14,9,1.5555555555555556
2010-2,E06000052,Environmental Health,4,4,1.0
2010-2,E06000052,Other,2,2,1.0
2010-2,E06000052,Public Space,1,1,1.0
2010-2,E06000052,Road Safety & Defects,14,11,1.2727272727272727
2010-2,E06000054,Environmental Disruptions,3,3,1.0
2010-2,E06000054,Environmental Health,2,2,1.0
2010-2,E06000054,Other,3,3,1.0
2010-2,E06000054,Road Safety & Defects,39,27,1.4444444444444444
2010-2,E06000054,Vehicles,1,1,1.0
2010-2,E06000055,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E06000055,Environmental Health,3,1,3.0
2010-2,E06000055,Other,1,1,1.0
2010-2,E06000055,Road Safety & Defects,15,10,1.5
2010-2,E06000056,Environmental Disruptions,2,2,1.0
2010-2,E06000056,Environmental Health,7,5,1.4
2010-2,E06000056,Other,2,2,1.0
2010-2,E06000056,Road Safety & Defects,36,24,1.5
2010-2,E06000057,Environmental Health,10,8,1.25
2010-2,E06000057,Other,4,4,1.0
2010-2,E06000057,Road Safety & Defects,30,20,1.5
2010-2,E07000004,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E07000004,Environmental Health,1,1,1.0
2010-2,E07000004,Other,1,1,1.0
2010-2,E07000004,Road Safety & Defects,26,20,1.3
2010-2,E07000005,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000005,Environmental Health,2,2,1.0
2010-2,E07000005,Road Safety & Defects,14,10,1.4
2010-2,E07000006,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000006,Environmental Health,1,1,1.0
2010-2,E07000006,Other,2,2,1.0
2010-2,E07000006,Road Safety & Defects,34,13,2.6153846153846154
2010-2,E07000007,Other,2,1,2.0
2010-2,E07000007,Road Safety & Defects,21,15,1.4
2010-2,E07000008,Abandoned Vehicles & Parking,2,2,1.0
2010-2,E07000008,Environmental Health,4,2,2.0
2010-2,E07000008,Incivilities,21,4,5.25
2010-2,E07000008,Other,5,5,1.0
2010-2,E07000008,Road Safety & Defects,90,59,1.5254237288135593
2010-2,E07000008,Vehicles,2,2,1.0
2010-2,E07000009,Environmental Disruptions,1,1,1.0
2010-2,E07000009,Environmental Health,1,1,1.0
2010-2,E07000009,Other,1,1,1.0
2010-2,E07000009,Road Safety & Defects,9,7,1.2857142857142858
2010-2,E07000010,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000010,Other,2,2,1.0
2010-2,E07000010,Road Safety & Defects,22,11,2.0
2010-2,E07000011,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000011,Environmental Disruptions,1,1,1.0
2010-2,E07000011,Environmental Health,1,1,1.0
2010-2,E07000011,Other,1,1,1.0
2010-2,E07000011,Road Safety & Defects,40,27,1.4814814814814814
2010-2,E07000011,Vehicles,1,1,1.0
2010-2,E07000012,Abandoned Vehicles & Parking,2,1,2.0
2010-2,E07000012,Environmental Disruptions,2,2,1.0
2010-2,E07000012,Environmental Health,4,3,1.3333333333333333
2010-2,E07000012,Other,6,5,1.2
2010-2,E07000012,Road Safety & Defects,100,73,1.36986301369863
2010-2,E07000026,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000026,Road Safety & Defects,1,1,1.0
2010-2,E07000027,Vehicles,1,1,1.0
2010-2,E07000028,Environmental Health,1,1,1.0
2010-2,E07000028,Road Safety & Defects,3,3,1.0
2010-2,E07000029,Environmental Health,2,2,1.0
2010-2,E07000029,Road Safety & Defects,3,3,1.0
2010-2,E07000030,Road Safety & Defects,2,2,1.0
2010-2,E07000031,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000031,Other,1,1,1.0
2010-2,E07000031,Road Safety & Defects,15,8,1.875
2010-2,E07000032,Environmental Health,5,5,1.0
2010-2,E07000032,Other,1,1,1.0
2010-2,E07000032,Road Safety & Defects,3,3,1.0
2010-2,E07000033,Environmental Health,1,1,1.0
2010-2,E07000033,Other,1,1,1.0
2010-2,E07000033,Road Safety & Defects,1,1,1.0
2010-2,E07000034,Access,1,1,1.0
2010-2,E07000034,Environmental Health,2,1,2.0
2010-2,E07000034,Incivilities,2,1,2.0
2010-2,E07000034,Road Safety & Defects,6,5,1.2
2010-2,E07000034,Vehicles,1,1,1.0
2010-2,E07000035,Environmental Health,4,3,1.3333333333333333
2010-2,E07000035,Other,1,1,1.0
2010-2,E07000035,Road Safety & Defects,1,1,1.0
2010-2,E07000036,Environmental Health,4,4,1.0
2010-2,E07000036,Incivilities,1,1,1.0
2010-2,E07000036,Other,1,1,1.0
2010-2,E07000036,Road Safety & Defects,1,1,1.0
2010-2,E07000037,Environmental Health,2,2,1.0
2010-2,E07000037,Road Safety & Defects,1,1,1.0
2010-2,E07000038,Environmental Health,2,1,2.0
2010-2,E07000038,Road Safety & Defects,12,5,2.4
2010-2,E07000039,Road Safety & Defects,2,1,2.0
2010-2,E07000040,Environmental Health,1,1,1.0
2010-2,E07000040,Other,3,2,1.5
2010-2,E07000040,Road Safety & Defects,9,7,1.2857142857142858
2010-2,E07000041,Environmental Health,5,5,1.0
2010-2,E07000041,Other,2,2,1.0
2010-2,E07000041,Road Safety & Defects,5,5,1.0
2010-2,E07000041,Vehicles,4,3,1.3333333333333333
2010-2,E07000042,Environmental Health,2,2,1.0
2010-2,E07000042,Road Safety & Defects,13,6,2.1666666666666665
2010-2,E07000043,Abandoned Vehicles & Parking,3,3,1.0
2010-2,E07000043,Environmental Disruptions,1,1,1.0
2010-2,E07000043,Environmental Health,5,4,1.25
2010-2,E07000043,Incivilities,2,1,2.0
2010-2,E07000043,Road Safety & Defects,8,4,2.0
2010-2,E07000044,Environmental Health,2,2,1.0
2010-2,E07000044,Other,2,2,1.0
2010-2,E07000044,Road Safety & Defects,3,3,1.0
2010-2,E07000045,Road Safety & Defects,24,15,1.6
2010-2,E07000046,Environmental Health,8,4,2.0
2010-2,E07000046,Incivilities,2,1,2.0
2010-2,E07000046,Public Space,1,1,1.0
2010-2,E07000046,Road Safety & Defects,8,3,2.6666666666666665
2010-2,E07000047,Road Safety & Defects,1,1,1.0
2010-2,E07000048,Environmental Disruptions,1,1,1.0
2010-2,E07000048,Road Safety & Defects,2,2,1.0
2010-2,E07000048,Vehicles,1,1,1.0
2010-2,E07000049,Road Safety & Defects,3,3,1.0
2010-2,E07000050,Road Safety & Defects,6,4,1.5
2010-2,E07000051,Road Safety & Defects,6,4,1.5
2010-2,E07000052,Environmental Health,1,1,1.0
2010-2,E07000052,Other,3,3,1.0
2010-2,E07000052,Road Safety & Defects,8,6,1.3333333333333333
2010-2,E07000053,Road Safety & Defects,3,2,1.5
2010-2,E07000061,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000061,Environmental Health,1,1,1.0
2010-2,E07000061,Road Safety & Defects,1,1,1.0
2010-2,E07000063,Other,1,1,1.0
2010-2,E07000063,Road Safety & Defects,5,5,1.0
2010-2,E07000064,Other,1,1,1.0
2010-2,E07000064,Road Safety & Defects,5,5,1.0
2010-2,E07000065,Environmental Health,2,2,1.0
2010-2,E07000065,Other,1,1,1.0
2010-2,E07000065,Road Safety & Defects,12,10,1.2
2010-2,E07000065,Vehicles,1,1,1.0
2010-2,E07000066,Road Safety & Defects,4,4,1.0
2010-2,E07000067,Road Safety & Defects,3,3,1.0
2010-2,E07000068,Other,1,1,1.0
2010-2,E07000068,Road Safety & Defects,1,1,1.0
2010-2,E07000069,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000069,Other,1,1,1.0
2010-2,E07000069,Road Safety & Defects,1,1,1.0
2010-2,E07000070,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000070,Environmental Health,1,1,1.0
2010-2,E07000070,Incivilities,1,1,1.0
2010-2,E07000070,Other,2,1,2.0
2010-2,E07000070,Road Safety & Defects,17,8,2.125
2010-2,E07000071,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000071,Environmental Disruptions,1,1,1.0
2010-2,E07000071,Environmental Health,1,1,1.0
2010-2,E07000071,Other,1,1,1.0
2010-2,E07000071,Road Safety & Defects,15,12,1.25
2010-2,E07000072,Environmental Health,1,1,1.0
2010-2,E07000072,Road Safety & Defects,7,5,1.4
2010-2,E07000072,Vehicles,1,1,1.0
2010-2,E07000073,Other,1,1,1.0
2010-2,E07000074,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000074,Environmental Disruptions,1,1,1.0
2010-2,E07000074,Road Safety & Defects,14,1,14.0
2010-2,E07000075,Environmental Health,2,1,2.0
2010-2,E07000075,Road Safety & Defects,8,6,1.3333333333333333
2010-2,E07000076,Environmental Health,1,1,1.0
2010-2,E07000076,Road Safety & Defects,5,5,1.0
2010-2,E07000077,Road Safety & Defects,1,1,1.0
2010-2,E07000078,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000078,Environmental Disruptions,1,1,1.0
2010-2,E07000078,Environmental Health,6,6,1.0
2010-2,E07000078,Incivilities,4,1,4.0
2010-2,E07000078,Other,1,1,1.0
2010-2,E07000078,Public Space,2,2,1.0
2010-2,E07000078,Road Safety & Defects,49,30,1.6333333333333333
2010-2,E07000079,Access,2,1,2.0
2010-2,E07000079,Environmental Health,3,2,1.5
2010-2,E07000079,Other,1,1,1.0
2010-2,E07000079,Road Safety & Defects,5,5,1.0
2010-2,E07000080,Road Safety & Defects,4,2,2.0
2010-2,E07000081,Road Safety & Defects,3,3,1.0
2010-2,E07000082,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000082,Access,1,1,1.0
2010-2,E07000082,Environmental Health,2,2,1.0
2010-2,E07000082,Other,2,1,2.0
2010-2,E07000082,Road Safety & Defects,10,8,1.25
2010-2,E07000083,Environmental Health,1,1,1.0
2010-2,E07000083,Road Safety & Defects,7,6,1.1666666666666667
2010-2,E07000084,Environmental Health,3,3,1.0
2010-2,E07000084,Incivilities,11,3,3.6666666666666665
2010-2,E07000084,Other,1,1,1.0
2010-2,E07000084,Public Space,1,1,1.0
2010-2,E07000084,Road Safety & Defects,20,8,2.5
2010-2,E07000085,Other,2,2,1.0
2010-2,E07000085,Road Safety & Defects,6,5,1.2
2010-2,E07000086,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000086,Road Safety & Defects,2,2,1.0
2010-2,E07000087,Environmental Health,3,2,1.5
2010-2,E07000087,Other,2,2,1.0
2010-2,E07000087,Road Safety & Defects,5,4,1.25
2010-2,E07000088,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000088,Other,1,1,1.0
2010-2,E07000089,Environmental Disruptions,1,1,1.0
2010-2,E07000089,Road Safety & Defects,9,5,1.8
2010-2,E07000090,Environmental Health,2,2,1.0
2010-2,E07000091,Environmental Disruptions,1,1,1.0
2010-2,E07000091,Environmental Health,1,1,1.0
2010-2,E07000091,Road Safety & Defects,16,13,1.2307692307692308
2010-2,E07000092,Abandoned Vehicles & Parking,1,1,1.0
2010-2,E07000092,Environmental Health,1,1,1.0
