period,LAD,SHEF_C,report_count,user_count,average
2009-12,E06000038,Environmental Disruptions,2,1,2.0
2009-12,E06000038,Environmental Health,4,4,1.0
2009-12,E06000038,Other,4,4,1.0
2009-12,E06000038,Road Safety & Defects,13,7,1.8571428571428572
2009-12,E06000039,Environmental Health,5,3,1.6666666666666667
2009-12,E06000039,Other,3,2,1.5
2009-12,E06000039,Road Safety & Defects,4,4,1.0
2009-12,E06000040,Other,1,1,1.0
2009-12,E06000041,Incivilities,1,1,1.0
2009-12,E06000041,Other,1,1,1.0
2009-12,E06000041,Road Safety & Defects,5,4,1.25
2009-12,E06000042,Environmental Health,2,2,1.0
2009-12,E06000042,Incivilities,2,1,2.0
2009-12,E06000042,Other,1,1,1.0
2009-12,E06000042,Road Safety & Defects,10,7,1.4285714285714286
2009-12,E06000043,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000043,Environmental Health,3,3,1.0
2009-12,E06000043,Other,2,2,1.0
2009-12,E06000043,Road Safety & Defects,1,1,1.0
2009-12,E06000043,Vehicles,1,1,1.0
2009-12,E06000044,Abandoned Vehicles & Parking,4,3,1.3333333333333333
2009-12,E06000044,Environmental Disruptions,1,1,1.0
2009-12,E06000044,Environmental Health,4,4,1.0
2009-12,E06000044,Other,3,3,1.0
2009-12,E06000044,Road Safety & Defects,19,11,1.7272727272727273
2009-12,E06000045,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000045,Environmental Health,1,1,1.0
2009-12,E06000045,Road Safety & Defects,10,9,1.1111111111111112
2009-12,E06000046,Environmental Health,2,2,1.0
2009-12,E06000046,Road Safety & Defects,2,2,1.0
2009-12,E06000047,Other,17,14,1.2142857142857142
2009-12,E06000047,Road Safety & Defects,5,5,1.0
2009-12,E06000049,Abandoned Vehicles & Parking,2,2,1.0
2009-12,E06000049,Environmental Disruptions,1,1,1.0
2009-12,E06000049,Environmental Health,6,5,1.2
2009-12,E06000049,Incivilities,3,1,3.0
2009-12,E06000049,Road Safety & Defects,19,11,1.7272727272727273
2009-12,E06000050,Environmental Health,1,1,1.0
2009-12,E06000050,Road Safety & Defects,3,3,1.0
2009-12,E06000051,Other,1,1,1.0
2009-12,E06000051,Road Safety & Defects,3,2,1.5
2009-12,E06000052,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000052,Environmental Health,3,3,1.0
2009-12,E06000052,Other,2,2,1.0
2009-12,E06000052,Road Safety & Defects,8,6,1.3333333333333333
2009-12,E06000054,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000054,Environmental Health,2,2,1.0
2009-12,E06000054,Other,3,3,1.0
2009-12,E06000054,Road Safety & Defects,13,12,1.0833333333333333
2009-12,E06000054,Vehicles,1,1,1.0
2009-12,E06000055,Environmental Health,1,1,1.0
2009-12,E06000055,Other,1,1,1.0
2009-12,E06000055,Road Safety & Defects,2,2,1.0
2009-12,E06000056,Abandoned Vehicles & Parking,2,2,1.0
2009-12,E06000056,Environmental Disruptions,1,1,1.0
2009-12,E06000056,Environmental Health,1,1,1.0
2009-12,E06000056,Incivilities,2,1,2.0
2009-12,E06000056,Other,2,2,1.0
2009-12,E06000056,Road Safety & Defects,27,20,1.35
2009-12,E06000057,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000057,Environmental Health,2,2,1.0
2009-12,E06000057,Other,2,2,1.0
2009-12,E06000057,Road Safety & Defects,4,4,1.0
2009-12,E07000004,Other,1,1,1.0
2009-12,E07000004,Road Safety & Defects,7,5,1.4
2009-12,E07000005,Other,1,1,1.0
2009-12,E07000005,Road Safety & Defects,8,5,1.6
2009-12,E07000006,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000006,Environmental Health,1,1,1.0
2009-12,E07000006,Road Safety & Defects,1,1,1.0
2009-12,E07000007,Other,2,2,1.0
2009-12,E07000007,Road Safety & Defects,14,9,1.5555555555555556
2009-12,E07000008,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000008,Environmental Health,3,3,1.0
2009-12,E07000008,Incivilities,24,4,6.0
2009-12,E07000008,Other,4,4,1.0
2009-12,E07000008,Road Safety & Defects,25,14,1.7857142857142858
2009-12,E07000008,Vehicles,3,2,1.5
