period,LAD,SHEF_C_CODE,report_count,user_count,average
2007-6,E07000078,C6,5,4,1.25
2007-6,E07000078,C7,8,7,1.1428571428571428
2007-6,E07000081,C7,1,1,1.0
2007-6,E07000082,C5,1,1,1.0
2007-6,E07000082,C7,1,1,1.0
2007-6,E07000083,C3,1,1,1.0
2007-6,E07000083,C7,1,1,1.0
2007-6,E07000085,C3,1,1,1.0
2007-6,E07000085,C8,2,1,2.0
2007-6,E07000086,C4,1,1,1.0
2007-6,E07000088,C6,1,1,1.0
2007-6,E07000088,C8,1,1,1.0
2007-6,E07000089,C7,1,1,1.0
2007-6,E07000090,C3,1,1,1.0
2007-6,E07000091,C7,1,1,1.0
2007-6,E07000093,C8,1,1,1.0
2007-6,E07000094,C5,1,1,1.0
2007-6,E07000095,C3,1,1,1.0
2007-6,E07000096,C3,1,1,1.0
2007-6,E07000096,C5,1,1,1.0
2007-6,E07000098,C5,2,2,1.0
2007-6,E07000098,C7,2,2,1.0
2007-6,E07000099,C5,1,1,1.0
2007-6,E07000099,C7,2,2,1.0
2007-6,E07000099,C8,1,1,1.0
2007-6,E07000106,C3,2,1,2.0
2007-6,E07000106,C7,1,1,1.0
2007-6,E07000107,C5,1,1,1.0
2007-6,E07000108,C7,1,1,1.0
2007-6,E07000110,C3,1,1,1.0
2007-6,E07000112,C7,1,1,1.0
2007-6,E07000114,C3,1,1,1.0
2007-6,E07000114,C5,2,2,1.0
2007-6,E07000114,C7,2,2,1.0
2007-6,E07000115,C7,1,1,1.0
2007-6,E07000117,C7,1,1,1.0
2007-6,E07000118,C7,1,1,1.0
2007-6,E07000120,C3,1,1,1.0
2007-6,E07000120,C5,1,1,1.0
2007-6,E07000120,C7,4,2,2.0
2007-6,E07000120,C8,1,1,1.0
2007-6,E07000121,C3,1,1,1.0
2007-6,E07000122,C7,1,1,1.0
2007-6,E07000124,C8,1,1,1.0
2007-6,E07000126,C5,1,1,1.0
2007-6,E07000130,C8,1,1,1.0
2007-6,E07000131,C4,1,1,1.0
2007-6,E07000133,C8,1,1,1.0
2007-6,E07000137,C2,1,1,1.0
2007-6,E07000137,C5,2,1,2.0
2007-6,E07000137,C7,1,1,1.0
2007-6,E07000139,C7,1,1,1.0
2007-6,E07000139,C8,1,1,1.0
2007-6,E07000144,C2,1,1,1.0
2007-6,E07000145,C3,5,3,1.6666666666666667
2007-6,E07000145,C5,1,1,1.0
2007-6,E07000145,C7,5,5,1.0
2007-6,E07000147,C2,1,1,1.0
2007-6,E07000147,C3,2,2,1.0
2007-6,E07000147,C5,2,2,1.0
2007-6,E07000147,C6,2,1,2.0
2007-6,E07000147,C7,4,3,1.3333333333333333
2007-6,E07000147,C8,1,1,1.0
2007-6,E07000148,C2,1,1,1.0
2007-6,E07000148,C5,2,2,1.0
2007-6,E07000148,C6,1,1,1.0
2007-6,E07000148,C7,1,1,1.0
2007-6,E07000148,C8,1,1,1.0
2007-6,E07000149,C2,1,1,1.0
2007-6,E07000149,C7,3,2,1.5
2007-6,E07000149,C8,1,1,1.0
2007-6,E07000150,C8,1,1,1.0
2007-6,E07000151,C7,4,2,2.0
2007-6,E07000153,C7,1,1,1.0
2007-6,E07000154,C2,1,1,1.0
2007-6,E07000154,C3,1,1,1.0
2007-6,E07000164,C7,1,1,1.0
2007-6,E07000166,C3,2,1,2.0
2007-6,E07000166,C7,1,1,1.0
2007-6,E07000168,C3,1,1,1.0
2007-6,E07000169,C7,1,1,1.0
2007-6,E07000170,C7,1,1,1.0
2007-6,E07000172,C7,1,1,1.0
2007-6,E07000174,C2,1,1,1.0
2007-6,E07000174,C3,1,1,1.0
2007-6,E07000174,C4,3,1,3.0
2007-6,E07000174,C5,3,2,1.5
2007-6,E07000174,C6,1,1,1.0
2007-6,E07000174,C7,1,1,1.0
2007-6,E07000174,C8,1,1,1.0
2007-6,E07000175,C5,1,1,1.0
2007-6,E07000175,C7,2,2,1.0
2007-6,E07000176,C6,1,1,1.0
2007-6,E07000177,C5,1,1,1.0
2007-6,E07000178,C7,4,4,1.0
2007-6,E07000178,C8,1,1,1.0
