period,LSOA,SHEF_A,report_count,user_count,average
2016-8,E01000645,Dumped Rubbish,1,1,1.0
2016-8,E01000645,Litter/Litter Bin,1,1,1.0
2016-8,E01000645,Obstruction,1,1,1.0
2016-8,E01000645,Overgrown Vegetation,3,3,1.0
2016-8,E01000645,Pavement /Footway Defects,2,2,1.0
2016-8,E01000646,Dead Animals,1,1,1.0
2016-8,E01000646,Dumped Rubbish,1,1,1.0
2016-8,E01000646,Overgrown Vegetation,4,4,1.0
2016-8,E01000647,Abandoned Vehicles,1,1,1.0
2016-8,E01000647,Dumped Rubbish,2,2,1.0
2016-8,E01000647,Grass/Weed Control,1,1,1.0
2016-8,E01000647,Street Lights,1,1,1.0
2016-8,E01000648,Dead Animals,1,1,1.0
2016-8,E01000648,Dumped Rubbish,1,1,1.0
2016-8,E01000648,Grass/Weed Control,1,1,1.0
2016-8,E01000648,Overgrown Vegetation,1,1,1.0
2016-8,E01000648,Pavement /Footway Defects,2,2,1.0
2016-8,E01000648,Road Surface Defects,1,1,1.0
2016-8,E01000649,Abandoned Vehicles,1,1,1.0
2016-8,E01000649,Road Surface Defects,1,1,1.0
2016-8,E01000649,Street Lights,1,1,1.0
2016-8,E01000650,Abandoned Vehicles,1,1,1.0
2016-8,E01000650,Dead Animals,1,1,1.0
2016-8,E01000650,Open Spaces/Parks,2,1,2.0
2016-8,E01000650,Overgrown Vegetation,3,3,1.0
2016-8,E01000651,Abandoned Vehicles,3,3,1.0
2016-8,E01000651,Dumped Rubbish,3,2,1.5
2016-8,E01000651,Open Spaces/Parks,1,1,1.0
2016-8,E01000651,Overgrown Vegetation,2,2,1.0
2016-8,E01000651,Street Lights,1,1,1.0
2016-8,E01000652,Abandoned Vehicles,1,1,1.0
2016-8,E01000652,Grass/Weed Control,1,1,1.0
2016-8,E01000652,Street Cleaning,1,1,1.0
2016-8,E01000653,Overgrown Vegetation,1,1,1.0
2016-8,E01000654,Abandoned Vehicles,1,1,1.0
2016-8,E01000654,Dumped Rubbish,1,1,1.0
2016-8,E01000654,Overgrown Vegetation,4,4,1.0
2016-8,E01000654,Road Surface Defects,1,1,1.0
2016-8,E01000654,Street Cleaning,2,1,2.0
2016-8,E01000655,Dumped Rubbish,1,1,1.0
2016-8,E01000655,Grass/Weed Control,1,1,1.0
2016-8,E01000655,Litter/Litter Bin,1,1,1.0
2016-8,E01000655,Overgrown Vegetation,1,1,1.0
2016-8,E01000656,Blocked Drains,1,1,1.0
2016-8,E01000656,Dead Animals,3,2,1.5
2016-8,E01000656,Dumped Rubbish,1,1,1.0
2016-8,E01000656,Obstruction,1,1,1.0
2016-8,E01000656,Overgrown Vegetation,4,4,1.0
2016-8,E01000656,Road Surface Defects,2,2,1.0
2016-8,E01000656,Street Cleaning,2,2,1.0
2016-8,E01000657,Open Spaces/Parks,3,1,3.0
2016-8,E01000658,Abandoned Vehicles,1,1,1.0
2016-8,E01000658,Overgrown Vegetation,3,3,1.0
2016-8,E01000658,Pavement /Footway Defects,3,2,1.5
2016-8,E01000658,Street Lights,2,2,1.0
2016-8,E01000659,Abandoned Vehicles,2,2,1.0
2016-8,E01000659,Street Lights,1,1,1.0
2016-8,E01000661,Abandoned Vehicles,1,1,1.0
2016-8,E01000661,Dumped Rubbish,1,1,1.0
2016-8,E01000661,Overgrown Vegetation,2,2,1.0
2016-8,E01000661,Road Surface Defects,1,1,1.0
2016-8,E01000661,Street Cleaning,3,1,3.0
2016-8,E01000662,Dumped Rubbish,2,2,1.0
2016-8,E01000662,Obstruction,1,1,1.0
2016-8,E01000662,Open Spaces/Parks,1,1,1.0
2016-8,E01000662,Road Surface Defects,1,1,1.0
2016-8,E01000663,Dumped Rubbish,5,5,1.0
2016-8,E01000663,Overgrown Vegetation,1,1,1.0
2016-8,E01000663,Pavement /Footway Defects,1,1,1.0
2016-8,E01000663,Street Lights,1,1,1.0
2016-8,E01000664,Abandoned Vehicles,1,1,1.0
2016-8,E01000664,Dumped Rubbish,2,2,1.0
2016-8,E01000664,Overgrown Vegetation,2,2,1.0
2016-8,E01000664,Street Cleaning,1,1,1.0
2016-8,E01000665,Abandoned Vehicles,1,1,1.0
2016-8,E01000665,Dead Animals,1,1,1.0
2016-8,E01000665,Dumped Rubbish,3,3,1.0
2016-8,E01000665,Litter/Litter Bin,2,1,2.0
2016-8,E01000665,Overgrown Vegetation,1,1,1.0
2016-8,E01000665,Pavement /Footway Defects,2,1,2.0
2016-8,E01000665,Street Lights,1,1,1.0
2016-8,E01000666,Dumped Rubbish,2,2,1.0
2016-8,E01000666,Graffiti,1,1,1.0
2016-8,E01000666,Litter/Litter Bin,2,1,2.0
2016-8,E01000666,Overgrown Vegetation,2,2,1.0
2016-8,E01000666,Pavement /Footway Defects,1,1,1.0
2016-8,E01000666,Road Surface Defects,1,1,1.0
2016-8,E01000667,Abandoned Vehicles,1,1,1.0
2016-8,E01000667,Blocked Drains,1,1,1.0
2016-8,E01000667,Dead Animals,1,1,1.0
2016-8,E01000667,Dumped Rubbish,1,1,1.0
2016-8,E01000667,Litter/Litter Bin,1,1,1.0
2016-8,E01000667,Road Surface Defects,1,1,1.0
2016-8,E01000667,Street Lights,1,1,1.0
2016-8,E01000668,Blocked Drains,1,1,1.0
2016-8,E01000668,Dead Animals,1,1,1.0
2016-8,E01000668,Dumped Rubbish,4,2,2.0
2016-8,E01000668,Grass/Weed Control,2,2,1.0
2016-8,E01000668,Overgrown Vegetation,2,2,1.0
2016-8,E01000668,Road Surface Defects,2,2,1.0
2016-8,E01000668,Street Cleaning,4,2,2.0
2016-8,E01000669,Dumped Rubbish,3,2,1.5
2016-8,E01000669,Grass/Weed Control,1,1,1.0
2016-8,E01000669,Street Cleaning,4,2,2.0
2016-8,E01000670,Dumped Rubbish,2,2,1.0
2016-8,E01000670,Obstruction,1,1,1.0
2016-8,E01000670,Road Surface Defects,2,2,1.0
2016-8,E01000670,Street Signs,1,1,1.0
2016-8,E01000671,Dumped Rubbish,3,3,1.0
2016-8,E01000671,Litter/Litter Bin,1,1,1.0
2016-8,E01000671,Obstruction,1,1,1.0
2016-8,E01000671,Overgrown Vegetation,1,1,1.0
2016-8,E01000671,Road Surface Defects,1,1,1.0
2016-8,E01000671,Street Cleaning,1,1,1.0
2016-8,E01000672,Dumped Rubbish,1,1,1.0
2016-8,E01000672,Overgrown Vegetation,1,1,1.0
2016-8,E01000673,Dumped Rubbish,3,2,1.5
2016-8,E01000673,Overgrown Vegetation,2,2,1.0
2016-8,E01000674,Abandoned Vehicles,2,1,2.0
2016-8,E01000674,Dumped Rubbish,4,3,1.3333333333333333
2016-8,E01000674,Overgrown Vegetation,1,1,1.0
2016-8,E01000674,Street Cleaning,2,2,1.0
2016-8,E01000674,Street Lights,1,1,1.0
2016-8,E01000675,Dumped Rubbish,3,2,1.5
2016-8,E01000675,Floral displays,1,1,1.0
2016-8,E01000675,Obstruction,1,1,1.0
2016-8,E01000675,Overgrown Vegetation,1,1,1.0
2016-8,E01000675,Pavement /Footway Defects,3,3,1.0
2016-8,E01000675,Street Cleaning,5,4,1.25
2016-8,E01000675,Street Lights,1,1,1.0
2016-8,E01000675,Street Signs,2,2,1.0
2016-8,E01000676,Dumped Rubbish,2,2,1.0
2016-8,E01000676,Graffiti,1,1,1.0
2016-8,E01000676,Grass/Weed Control,1,1,1.0
2016-8,E01000676,Overgrown Vegetation,2,2,1.0
2016-8,E01000676,Road Surface Defects,1,1,1.0
2016-8,E01000676,Street Cleaning,1,1,1.0
2016-8,E01000677,Abandoned Vehicles,1,1,1.0
2016-8,E01000677,Blocked Drains,1,1,1.0
2016-8,E01000677,Dumped Rubbish,6,6,1.0
2016-8,E01000677,Open Spaces/Parks,1,1,1.0
2016-8,E01000677,Overgrown Vegetation,2,2,1.0
2016-8,E01000677,Street Cleaning,2,2,1.0
2016-8,E01000678,Abandoned Vehicles,2,2,1.0
2016-8,E01000678,Obstruction,1,1,1.0
2016-8,E01000678,Overgrown Vegetation,3,2,1.5
2016-8,E01000679,Abandoned Vehicles,1,1,1.0
2016-8,E01000679,Dumped Rubbish,5,5,1.0
2016-8,E01000679,Pavement /Footway Defects,1,1,1.0
2016-8,E01000679,Street Cleaning,1,1,1.0
2016-8,E01000680,Dumped Rubbish,4,4,1.0
2016-8,E01000680,Grass/Weed Control,1,1,1.0
2016-8,E01000680,Obstruction,2,2,1.0
2016-8,E01000680,Overgrown Vegetation,2,2,1.0
2016-8,E01000680,Road Surface Defects,2,2,1.0
2016-8,E01000680,Street Cleaning,1,1,1.0
2016-8,E01000680,Street Lights,1,1,1.0
2016-8,E01000680,Street Signs,1,1,1.0
2016-8,E01000681,Abandoned Vehicles,1,1,1.0
2016-8,E01000681,Graffiti,1,1,1.0
2016-8,E01000681,Obstruction,2,2,1.0
2016-8,E01000681,Overgrown Vegetation,3,1,3.0
2016-8,E01000681,Street Lights,1,1,1.0
2016-8,E01000682,Abandoned Vehicles,2,2,1.0
2016-8,E01000682,Overgrown Vegetation,1,1,1.0
2016-8,E01000682,Road Surface Defects,1,1,1.0
2016-8,E01000682,Street Lights,1,1,1.0
2016-8,E01000683,Abandoned Vehicles,1,1,1.0
2016-8,E01000683,Dumped Rubbish,1,1,1.0
2016-8,E01000683,Grass/Weed Control,1,1,1.0
2016-8,E01000683,Overgrown Vegetation,1,1,1.0
2016-8,E01000683,Road Surface Defects,3,2,1.5
2016-8,E01000683,Street Cleaning,2,2,1.0
2016-8,E01000684,Grass/Weed Control,3,1,3.0
2016-8,E01000684,Overgrown Vegetation,1,1,1.0
2016-8,E01000684,Pavement /Footway Defects,1,1,1.0
2016-8,E01000684,Spillage on Raod,1,1,1.0
2016-8,E01000684,Street Lights,1,1,1.0
2016-8,E01000685,Dead Animals,1,1,1.0
2016-8,E01000685,Grass/Weed Control,1,1,1.0
2016-8,E01000685,Overgrown Vegetation,1,1,1.0
2016-8,E01000685,Pavement /Footway Defects,1,1,1.0
2016-8,E01000685,Road Surface Defects,1,1,1.0
2016-8,E01000686,Abandoned Vehicles,1,1,1.0
2016-8,E01000686,Dead Animals,1,1,1.0
2016-8,E01000686,Litter/Litter Bin,1,1,1.0
2016-8,E01000686,Overgrown Vegetation,3,3,1.0
2016-8,E01000686,Road Surface Defects,1,1,1.0
2016-8,E01000687,Abandoned Vehicles,2,2,1.0
2016-8,E01000687,Litter/Litter Bin,1,1,1.0
2016-8,E01000687,Obstruction,1,1,1.0
2016-8,E01000687,Road Surface Defects,2,2,1.0
2016-8,E01000687,Street Cleaning,1,1,1.0
2016-8,E01000687,Street Lights,1,1,1.0
2016-8,E01000688,Overgrown Vegetation,1,1,1.0
2016-8,E01000688,Street Lights,1,1,1.0
2016-8,E01000689,Dumped Rubbish,2,2,1.0
2016-8,E01000689,Grass/Weed Control,1,1,1.0
