period,LAD,SHEF_C_CODE,report_count,user_count,average
2013-10,E06000038,C2,1,1,1.0
2013-10,E06000038,C7,1,1,1.0
2013-10,E06000038,C8,1,1,1.0
2013-10,E06000045,C2,12,12,1.0
2013-10,E06000045,C3,44,41,1.0731707317073171
2013-10,E06000045,C4,3,3,1.0
2013-10,E06000045,C5,9,9,1.0
2013-10,E06000045,C7,83,60,1.3833333333333333
2013-10,E06000045,C8,11,9,1.2222222222222223
2013-10,E07000177,C1,3,3,1.0
2013-10,E07000177,C2,3,3,1.0
2013-10,E07000177,C3,5,5,1.0
2013-10,E07000177,C4,1,1,1.0
2013-10,E07000177,C7,51,38,1.3421052631578947
2013-10,E07000177,C8,1,1,1.0
2013-10,E07000178,C1,1,1,1.0
2013-10,E07000178,C2,10,7,1.4285714285714286
2013-10,E07000178,C3,7,7,1.0
2013-10,E07000178,C5,2,2,1.0
2013-10,E07000178,C7,36,30,1.2
2013-10,E07000178,C8,1,1,1.0
2013-10,E07000179,C1,4,4,1.0
2013-10,E07000179,C2,20,19,1.0526315789473684
2013-10,E07000179,C3,18,15,1.2
2013-10,E07000179,C5,1,1,1.0
2013-10,E07000179,C7,85,73,1.1643835616438356
2013-10,E07000179,C8,1,1,1.0
2013-10,E07000180,C1,2,2,1.0
2013-10,E07000180,C2,10,7,1.4285714285714286
2013-10,E07000180,C3,7,6,1.1666666666666667
2013-10,E07000180,C4,1,1,1.0
2013-10,E07000180,C5,2,2,1.0
2013-10,E07000180,C7,34,33,1.0303030303030303
2013-10,E07000180,C8,2,1,2.0
2013-10,E07000181,C1,1,1,1.0
2013-10,E07000181,C2,7,7,1.0
2013-10,E07000181,C3,7,7,1.0
2013-10,E07000181,C4,1,1,1.0
2013-10,E07000181,C7,34,30,1.1333333333333333
2013-10,E07000181,C8,3,3,1.0
2013-10,E07000194,C2,1,1,1.0
2013-10,E07000194,C3,11,6,1.8333333333333333
2013-10,E07000194,C5,2,2,1.0
2013-10,E07000194,C6,1,1,1.0
2013-10,E07000194,C7,1,1,1.0
2013-10,E07000194,C8,4,4,1.0
2013-10,E07000243,C2,2,2,1.0
2013-10,E07000243,C3,131,24,5.458333333333333
2013-10,E07000243,C4,14,5,2.8
2013-10,E07000243,C5,13,7,1.8571428571428572
2013-10,E07000243,C8,30,11,2.727272727272727
2013-10,E09000003,C2,70,67,1.044776119402985
2013-10,E09000003,C3,242,174,1.3908045977011494
2013-10,E09000003,C4,8,6,1.3333333333333333
2013-10,E09000003,C7,350,272,1.286764705882353
2013-10,E09000006,C1,42,40,1.05
2013-10,E09000006,C2,155,145,1.0689655172413792
2013-10,E09000006,C3,261,200,1.305
2013-10,E09000006,C4,26,15,1.7333333333333334
2013-10,E09000006,C5,2,2,1.0
2013-10,E09000006,C7,306,260,1.176923076923077
2013-10,E09000006,C8,56,55,1.018181818181818
