period,LAD,SHEF_C,report_count,user_count,average
2012-1,E06000045,Environmental Disruptions,10,7,1.4285714285714286
2012-1,E06000045,Environmental Health,34,23,1.4782608695652173
2012-1,E06000045,Incivilities,5,5,1.0
2012-1,E06000045,Other,6,6,1.0
2012-1,E06000045,Road Safety & Defects,53,45,1.1777777777777778
2012-1,E07000194,Abandoned Vehicles & Parking,1,1,1.0
2012-1,E07000194,Environmental Health,2,2,1.0
2012-1,E09000003,Abandoned Vehicles & Parking,3,3,1.0
2012-1,E09000003,Environmental Disruptions,26,16,1.625
2012-1,E09000003,Environmental Health,44,10,4.4
2012-1,E09000003,Incivilities,53,1,53.0
2012-1,E09000003,Road Safety & Defects,202,97,2.082474226804124
