period,LAD,SHEF_C,report_count,user_count,average
2012-2,E06000045,Environmental Disruptions,1,1,1.0
2012-2,E06000045,Environmental Health,41,29,1.4137931034482758
2012-2,E06000045,Other,8,8,1.0
2012-2,E06000045,Road Safety & Defects,51,38,1.3421052631578947
2012-2,E09000003,Abandoned Vehicles & Parking,4,4,1.0
2012-2,E09000003,Environmental Disruptions,13,10,1.3
2012-2,E09000003,Environmental Health,34,15,2.2666666666666666
2012-2,E09000003,Incivilities,14,2,7.0
2012-2,E09000003,Road Safety & Defects,92,76,1.2105263157894737
2012-2,E09000003,Vehicles,1,1,1.0
