period,LAD,SHEF_A_CODE,report_count,user_count,average
2017-1,E06000001,A20,1,1,1.0
2017-1,E06000001,A29,2,1,2.0
2017-1,E06000001,A54,2,2,1.0
2017-1,E06000001,A60,2,2,1.0
2017-1,E06000001,A63,1,1,1.0
2017-1,E06000001,A73,3,2,1.5
2017-1,E06000001,A81,2,2,1.0
2017-1,E06000001,A83,1,1,1.0
2017-1,E06000002,A1,2,1,2.0
2017-1,E06000002,A29,4,4,1.0
2017-1,E06000002,A33,1,1,1.0
2017-1,E06000002,A41,2,2,1.0
2017-1,E06000002,A54,1,1,1.0
2017-1,E06000002,A56,1,1,1.0
2017-1,E06000002,A57,2,2,1.0
2017-1,E06000002,A60,1,1,1.0
2017-1,E06000002,A73,1,1,1.0
2017-1,E06000002,A81,3,2,1.5
2017-1,E06000002,A83,1,1,1.0
2017-1,E06000002,A86,1,1,1.0
2017-1,E06000003,A20,3,2,1.5
2017-1,E06000003,A24,1,1,1.0
2017-1,E06000003,A41,1,1,1.0
2017-1,E06000003,A81,2,2,1.0
2017-1,E06000004,A1,1,1,1.0
2017-1,E06000004,A20,4,3,1.3333333333333333
2017-1,E06000004,A24,1,1,1.0
2017-1,E06000004,A29,3,2,1.5
2017-1,E06000004,A54,2,2,1.0
2017-1,E06000004,A56,2,2,1.0
2017-1,E06000004,A60,3,3,1.0
2017-1,E06000004,A73,1,1,1.0
2017-1,E06000004,A81,9,9,1.0
2017-1,E06000005,A29,2,2,1.0
2017-1,E06000005,A41,1,1,1.0
2017-1,E06000005,A56,2,2,1.0
2017-1,E06000005,A57,2,1,2.0
2017-1,E06000005,A81,2,2,1.0
2017-1,E06000006,A1,4,3,1.3333333333333333
2017-1,E06000006,A29,1,1,1.0
2017-1,E06000006,A41,3,3,1.0
2017-1,E06000006,A54,3,3,1.0
2017-1,E06000006,A56,1,1,1.0
2017-1,E06000006,A57,2,2,1.0
2017-1,E06000006,A60,1,1,1.0
2017-1,E06000006,A81,1,1,1.0
2017-1,E06000007,A24,1,1,1.0
2017-1,E06000007,A29,1,1,1.0
2017-1,E06000007,A41,4,2,2.0
2017-1,E06000007,A53,1,1,1.0
2017-1,E06000007,A54,1,1,1.0
2017-1,E06000007,A56,4,4,1.0
2017-1,E06000007,A57,1,1,1.0
2017-1,E06000007,A60,5,5,1.0
2017-1,E06000007,A79,3,3,1.0
2017-1,E06000007,A81,7,6,1.1666666666666667
2017-1,E06000007,A83,1,1,1.0
2017-1,E06000008,A1,2,2,1.0
2017-1,E06000008,A29,3,3,1.0
2017-1,E06000008,A41,1,1,1.0
2017-1,E06000008,A54,1,1,1.0
2017-1,E06000008,A56,2,2,1.0
2017-1,E06000008,A60,2,2,1.0
2017-1,E06000008,A79,1,1,1.0
2017-1,E06000008,A81,3,3,1.0
2017-1,E06000008,A83,1,1,1.0
2017-1,E06000008,A86,1,1,1.0
2017-1,E06000009,A12,1,1,1.0
2017-1,E06000009,A20,1,1,1.0
2017-1,E06000009,A29,1,1,1.0
2017-1,E06000009,A41,2,2,1.0
2017-1,E06000009,A54,3,3,1.0
2017-1,E06000009,A56,1,1,1.0
2017-1,E06000009,A57,1,1,1.0
2017-1,E06000009,A60,1,1,1.0
2017-1,E06000009,A73,1,1,1.0
2017-1,E06000009,A79,1,1,1.0
2017-1,E06000009,A81,2,2,1.0
2017-1,E06000009,A83,1,1,1.0
2017-1,E06000010,A1,4,3,1.3333333333333333
2017-1,E06000010,A20,2,1,2.0
2017-1,E06000010,A28,1,1,1.0
2017-1,E06000010,A29,45,11,4.090909090909091
2017-1,E06000010,A33,12,2,6.0
2017-1,E06000010,A41,3,3,1.0
2017-1,E06000010,A53,2,2,1.0
2017-1,E06000010,A54,8,4,2.0
2017-1,E06000010,A56,3,3,1.0
2017-1,E06000010,A57,2,2,1.0
2017-1,E06000010,A60,3,3,1.0
2017-1,E06000010,A7,3,2,1.5
2017-1,E06000010,A73,5,4,1.25
2017-1,E06000010,A79,7,4,1.75
2017-1,E06000010,A81,51,3,17.0
2017-1,E06000010,A83,1,1,1.0
2017-1,E06000010,A86,2,2,1.0
2017-1,E06000011,A12,1,1,1.0
2017-1,E06000011,A24,1,1,1.0
2017-1,E06000011,A29,33,6,5.5
2017-1,E06000011,A33,18,1,18.0
2017-1,E06000011,A41,8,6,1.3333333333333333
2017-1,E06000011,A48,11,2,5.5
2017-1,E06000011,A54,5,1,5.0
2017-1,E06000011,A57,4,3,1.3333333333333333
2017-1,E06000011,A60,5,3,1.6666666666666667
2017-1,E06000011,A66,4,2,2.0
2017-1,E06000011,A73,3,2,1.5
2017-1,E06000011,A8,3,2,1.5
2017-1,E06000011,A81,122,3,40.666666666666664
2017-1,E06000011,A82,1,1,1.0
2017-1,E06000011,A83,30,2,15.0
2017-1,E06000012,A29,2,1,2.0
2017-1,E06000012,A81,1,1,1.0
2017-1,E06000012,A83,1,1,1.0
2017-1,E06000013,A20,1,1,1.0
2017-1,E06000013,A24,1,1,1.0
2017-1,E06000013,A29,6,3,2.0
2017-1,E06000013,A33,2,1,2.0
2017-1,E06000013,A41,1,1,1.0
2017-1,E06000013,A54,1,1,1.0
2017-1,E06000013,A56,1,1,1.0
2017-1,E06000013,A60,2,2,1.0
2017-1,E06000013,A73,1,1,1.0
2017-1,E06000013,A83,2,1,2.0
2017-1,E06000014,A29,2,2,1.0
2017-1,E06000014,A33,1,1,1.0
2017-1,E06000014,A41,3,3,1.0
2017-1,E06000014,A54,1,1,1.0
2017-1,E06000014,A57,1,1,1.0
2017-1,E06000014,A60,13,8,1.625
2017-1,E06000014,A79,1,1,1.0
2017-1,E06000014,A81,29,9,3.2222222222222223
2017-1,E06000014,A83,6,2,3.0
2017-1,E06000014,A86,1,1,1.0
2017-1,E06000015,A1,6,4,1.5
2017-1,E06000015,A12,1,1,1.0
2017-1,E06000015,A20,5,5,1.0
2017-1,E06000015,A24,1,1,1.0
2017-1,E06000015,A28,1,1,1.0
2017-1,E06000015,A29,84,13,6.461538461538462
2017-1,E06000015,A41,2,2,1.0
2017-1,E06000015,A53,3,3,1.0
