period,LSOA,SHEF_A,report_count,user_count,average
2015,95SS23S2,Street Lights,1,1,1.0
2015,95SS28W1,Street Lights,2,2,1.0
2015,95TT09S1,Street Lights,1,1,1.0
2015,95TT16W1,Potholes,1,1,1.0
2015,95VV01S2,Graffiti,1,1,1.0
2015,95VV05S2,Highway Condition,4,1,4.0
2015,95VV05S2,Pavement /Footway Defects,1,1,1.0
2015,95VV05S2,Potholes,1,1,1.0
2015,95VV05S2,Street Lights,2,1,2.0
2015,95VV19S2,Street Lights,1,1,1.0
2015,95VV24S1,Highway Condition,1,1,1.0
2015,95VV24S1,Street Lights,1,1,1.0
2015,95VV27W1,Highway Condition,1,1,1.0
2015,95WW01S1,Street Lights,1,1,1.0
2015,95WW02S2,Street Lights,1,1,1.0
2015,95WW05S2,Dog Fouling,1,1,1.0
2015,95WW05S2,Street Lights,1,1,1.0
2015,95WW06S1,Street Lights,1,1,1.0
2015,95WW08S1,Street Lights,1,1,1.0
2015,95WW13S1,Potholes,1,1,1.0
2015,95WW14W1,Street Lights,1,1,1.0
2015,95WW17W1,Pavement /Footway Defects,1,1,1.0
2015,95WW20S1,Highway Condition,1,1,1.0
2015,95WW20S2,Pavement /Footway Defects,1,1,1.0
2015,95WW24S1,Street Cleaning,1,1,1.0
2015,95WW24S2,Fly-tipping,1,1,1.0
2015,95WW25W1,Fly-tipping,1,1,1.0
2015,95WW25W1,Street Lights,1,1,1.0
2015,95XX03S1,Dog Fouling,1,1,1.0
2015,95XX06S1,Abandoned Vehicles,1,1,1.0
2015,95XX06S1,Pavement /Footway Defects,1,1,1.0
2015,95XX06S1,Street Lights,1,1,1.0
2015,95XX07S1,Potholes,1,1,1.0
2015,95XX18W1,Highway Condition,1,1,1.0
2015,95XX19W1,Pavement /Footway Defects,1,1,1.0
2015,95XX19W1,Street Lights,1,1,1.0
2015,95XX20S1,Dog Fouling,1,1,1.0
2015,95XX20S1,Fallen/Dangerous Trees,1,1,1.0
2015,95XX20S2,Bus Stops Damage,1,1,1.0
2015,95XX24S1,Street Lights,1,1,1.0
2015,95YY01W1,Potholes,1,1,1.0
2015,95YY05W1,Street Lights,1,1,1.0
2015,95YY07W1,Highway Condition,1,1,1.0
2015,95YY09W1,Street Lights,1,1,1.0
2015,95YY20W1,Potholes,1,1,1.0
2015,E01000001,Open Spaces/Parks,1,1,1.0
2015,E01000001,Pavement /Footway Defects,1,1,1.0
2015,E01000001,Road/Pavement Defects,1,1,1.0
2015,E01000001,Rubbish,1,1,1.0
2015,E01000001,Street Signs,2,1,2.0
2015,E01000002,Fly-tipping,1,1,1.0
2015,E01000002,Street Cleaning,1,1,1.0
2015,E01000002,Street Lights,1,1,1.0
2015,E01000003,Rubbish,2,1,2.0
2015,E01000005,Road/Pavement Defects,3,2,1.5
2015,E01000006,Fly-tipping,2,1,2.0
2015,E01000006,Road/Pavement Defects,1,1,1.0
2015,E01000007,Abandoned Vehicles,1,1,1.0
2015,E01000007,Potholes,1,1,1.0
2015,E01000007,Street Signs,1,1,1.0
2015,E01000008,Parking,1,1,1.0
2015,E01000008,Pavement /Footway Defects,1,1,1.0
2015,E01000009,Abandoned Vehicles,1,1,1.0
2015,E01000009,Potholes,2,1,2.0
2015,E01000010,Fly-tipping,5,3,1.6666666666666667
2015,E01000010,Other,1,1,1.0
2015,E01000010,Potholes,4,1,4.0
2015,E01000010,Road/Pavement Defects,2,1,2.0
2015,E01000010,Rubbish,1,1,1.0
2015,E01000010,Street Cleaning,1,1,1.0
2015,E01000010,Street Lights,2,2,1.0
2015,E01000012,Potholes,2,1,2.0
2015,E01000012,Street Cleaning,1,1,1.0
2015,E01000022,Other,1,1,1.0
2015,E01000022,Potholes,1,1,1.0
2015,E01000023,Abandoned Vehicles,1,1,1.0
2015,E01000023,Other,1,1,1.0
2015,E01000023,Parking,1,1,1.0
2015,E01000030,Potholes,1,1,1.0
2015,E01000031,Traffic Lights,1,1,1.0
2015,E01000033,Parking,1,1,1.0
2015,E01000037,Parking,1,1,1.0
2015,E01000038,Parking,24,1,24.0
2015,E01000038,Pavement /Footway Defects,3,1,3.0
2015,E01000040,Fly-tipping,9,1,9.0
2015,E01000040,Highway Condition,3,1,3.0
2015,E01000040,Other,1,1,1.0
2015,E01000040,Rubbish,7,1,7.0
2015,E01000040,Street Furniture,1,1,1.0
2015,E01000042,Open Spaces/Parks,1,1,1.0
2015,E01000042,Other,1,1,1.0
2015,E01000042,Rubbish,1,1,1.0
2015,E01000042,Street Cleaning,1,1,1.0
2015,E01000042,Street Lights,3,1,3.0
