period,LSOA,SHEF_A_CODE,report_count,user_count,average
2008-2,E01003690,A41,1,1,1.0
2008-2,E01003690,A54,1,1,1.0
2008-2,E01003690,A57,1,1,1.0
2008-2,E01003748,A1,1,1,1.0
2008-2,E01003786,A29,2,1,2.0
2008-2,E01003786,A41,1,1,1.0
2008-2,E01003786,A54,2,1,2.0
2008-2,E01003786,A57,1,1,1.0
2008-2,E01003796,A33,1,1,1.0
2008-2,E01003805,A60,1,1,1.0
2008-2,E01003844,A57,1,1,1.0
2008-2,E01003889,A60,1,1,1.0
2008-2,E01003905,A41,1,1,1.0
2008-2,E01003909,A41,1,1,1.0
2008-2,E01003927,A57,1,1,1.0
2008-2,E01003939,A54,1,1,1.0
2008-2,E01003976,A82,1,1,1.0
2008-2,E01003978,A54,1,1,1.0
2008-2,E01003979,A56,1,1,1.0
2008-2,E01004033,A41,1,1,1.0
2008-2,E01004033,A81,1,1,1.0
2008-2,E01004065,A1,1,1,1.0
2008-2,E01004103,A1,1,1,1.0
2008-2,E01004141,A20,1,1,1.0
2008-2,E01004182,A57,1,1,1.0
2008-2,E01004231,A54,1,1,1.0
2008-2,E01004246,A54,1,1,1.0
2008-2,E01004269,A33,1,1,1.0
2008-2,E01004270,A20,1,1,1.0
2008-2,E01004270,A54,1,1,1.0
2008-2,E01004270,A57,1,1,1.0
2008-2,E01004306,A29,1,1,1.0
2008-2,E01004306,A60,1,1,1.0
2008-2,E01004308,A24,1,1,1.0
2008-2,E01004311,A57,1,1,1.0
2008-2,E01004314,A73,1,1,1.0
2008-2,E01004350,A54,1,1,1.0
2008-2,E01004351,A41,1,1,1.0
2008-2,E01004353,A1,1,1,1.0
2008-2,E01004362,A29,2,1,2.0
2008-2,E01004380,A20,1,1,1.0
2008-2,E01004396,A56,1,1,1.0
2008-2,E01004406,A29,1,1,1.0
2008-2,E01004406,A73,1,1,1.0
2008-2,E01004409,A53,1,1,1.0
2008-2,E01004497,A29,1,1,1.0
2008-2,E01004497,A33,1,1,1.0
2008-2,E01004499,A73,1,1,1.0
2008-2,E01004500,A54,1,1,1.0
2008-2,E01004511,A29,1,1,1.0
2008-2,E01004540,A29,2,1,2.0
2008-2,E01004540,A57,2,1,2.0
2008-2,E01004540,A60,1,1,1.0
2008-2,E01004540,A86,1,1,1.0
2008-2,E01004562,A82,1,1,1.0
2008-2,E01004565,A54,1,1,1.0
2008-2,E01004565,A73,1,1,1.0
2008-2,E01004565,A79,1,1,1.0
2008-2,E01004567,A60,1,1,1.0
2008-2,E01004573,A54,1,1,1.0
2008-2,E01004583,A60,1,1,1.0
2008-2,E01004608,A54,1,1,1.0
2008-2,E01004681,A41,1,1,1.0
2008-2,E01004733,A41,2,1,2.0
2008-2,E01004735,A60,1,1,1.0
2008-2,E01004735,A73,1,1,1.0
2008-2,E01004736,A41,1,1,1.0
2008-2,E01004745,A41,1,1,1.0
2008-2,E01004763,A83,1,1,1.0
2008-2,E01004766,A73,1,1,1.0
2008-2,E01004767,A29,1,1,1.0
2008-2,E01004819,A60,1,1,1.0
2008-2,E01004863,A54,1,1,1.0
2008-2,E01004864,A1,1,1,1.0
2008-2,E01004917,A73,1,1,1.0
2008-2,E01004937,A41,1,1,1.0
2008-2,E01004939,A20,1,1,1.0
2008-2,E01004950,A60,1,1,1.0
2008-2,E01005015,A60,1,1,1.0
2008-2,E01005017,A60,1,1,1.0
2008-2,E01005027,A57,1,1,1.0
2008-2,E01005062,A54,1,1,1.0
2008-2,E01005199,A73,1,1,1.0
2008-2,E01005256,A41,1,1,1.0
2008-2,E01005260,A41,1,1,1.0
2008-2,E01005266,A79,1,1,1.0
2008-2,E01005286,A29,2,1,2.0
2008-2,E01005309,A60,1,1,1.0
2008-2,E01005316,A79,1,1,1.0
2008-2,E01005341,A20,1,1,1.0
2008-2,E01005369,A29,1,1,1.0
2008-2,E01005370,A60,1,1,1.0
2008-2,E01005382,A33,1,1,1.0
2008-2,E01005382,A54,1,1,1.0
2008-2,E01005394,A60,1,1,1.0
2008-2,E01005493,A60,1,1,1.0
2008-2,E01005540,A81,1,1,1.0
2008-2,E01005541,A73,1,1,1.0
2008-2,E01005572,A81,1,1,1.0
2008-2,E01005573,A81,1,1,1.0
2008-2,E01005595,A1,1,1,1.0
2008-2,E01005613,A41,1,1,1.0
2008-2,E01005650,A1,1,1,1.0
2008-2,E01005661,A1,1,1,1.0
2008-2,E01005674,A60,1,1,1.0
2008-2,E01005749,A1,1,1,1.0
2008-2,E01005758,A20,1,1,1.0
2008-2,E01005758,A82,1,1,1.0
2008-2,E01005797,A1,1,1,1.0
2008-2,E01005805,A54,1,1,1.0
2008-2,E01005841,A81,1,1,1.0
2008-2,E01005867,A81,1,1,1.0
2008-2,E01005879,A54,1,1,1.0
2008-2,E01005930,A60,1,1,1.0
2008-2,E01005931,A41,1,1,1.0
2008-2,E01005982,A73,1,1,1.0
2008-2,E01006031,A20,1,1,1.0
2008-2,E01006053,A29,1,1,1.0
2008-2,E01006100,A81,1,1,1.0
2008-2,E01006139,A81,1,1,1.0
2008-2,E01006176,A79,1,1,1.0
2008-2,E01006186,A41,1,1,1.0
2008-2,E01006199,A29,1,1,1.0
2008-2,E01006277,A29,1,1,1.0
2008-2,E01006280,A41,1,1,1.0
2008-2,E01006280,A56,1,1,1.0
2008-2,E01006280,A81,1,1,1.0
2008-2,E01006371,A20,1,1,1.0
2008-2,E01006446,A60,1,1,1.0
2008-2,E01006455,A56,1,1,1.0
2008-2,E01006510,A20,1,1,1.0
2008-2,E01006521,A60,1,1,1.0
2008-2,E01006593,A33,1,1,1.0
2008-2,E01006663,A81,1,1,1.0
2008-2,E01006726,A29,1,1,1.0
2008-2,E01006755,A53,1,1,1.0
2008-2,E01006755,A73,1,1,1.0
2008-2,E01006755,A79,2,1,2.0
2008-2,E01006755,A81,1,1,1.0
2008-2,E01006927,A73,1,1,1.0
2008-2,E01006927,A81,1,1,1.0
2008-2,E01006928,A60,1,1,1.0
2008-2,E01007001,A1,1,1,1.0
2008-2,E01007025,A79,1,1,1.0
2008-2,E01007129,A60,1,1,1.0
2008-2,E01007353,A79,1,1,1.0
2008-2,E01007366,A54,1,1,1.0
2008-2,E01007368,A79,1,1,1.0
2008-2,E01007369,A29,1,1,1.0
2008-2,E01007387,A57,1,1,1.0
2008-2,E01007389,A73,1,1,1.0
2008-2,E01007403,A41,1,1,1.0
2008-2,E01007417,A79,1,1,1.0
2008-2,E01007423,A20,1,1,1.0
2008-2,E01007438,A73,1,1,1.0
2008-2,E01007449,A57,2,2,1.0
2008-2,E01007465,A29,1,1,1.0
2008-2,E01007465,A73,1,1,1.0
2008-2,E01007466,A54,1,1,1.0
2008-2,E01007494,A53,1,1,1.0
2008-2,E01007517,A54,1,1,1.0
2008-2,E01007521,A57,1,1,1.0
2008-2,E01007543,A29,1,1,1.0
2008-2,E01007544,A57,1,1,1.0
2008-2,E01007579,A29,1,1,1.0
2008-2,E01007587,A54,1,1,1.0
2008-2,E01007587,A73,1,1,1.0
2008-2,E01007618,A29,1,1,1.0
2008-2,E01007627,A83,2,1,2.0
2008-2,E01007659,A20,1,1,1.0
2008-2,E01007682,A57,1,1,1.0
2008-2,E01007692,A81,3,1,3.0
2008-2,E01007696,A29,1,1,1.0
2008-2,E01007706,A20,1,1,1.0
2008-2,E01007706,A53,1,1,1.0
2008-2,E01007716,A60,1,1,1.0
2008-2,E01007716,A73,1,1,1.0
2008-2,E01007718,A20,1,1,1.0
2008-2,E01007742,A41,1,1,1.0
2008-2,E01007744,A81,2,1,2.0
2008-2,E01007747,A81,1,1,1.0
2008-2,E01007769,A54,1,1,1.0
2008-2,E01007769,A73,1,1,1.0
2008-2,E01007780,A79,1,1,1.0
2008-2,E01007780,A81,1,1,1.0
2008-2,E01007784,A41,1,1,1.0
2008-2,E01007787,A57,1,1,1.0
2008-2,E01007788,A20,1,1,1.0
2008-2,E01007790,A20,1,1,1.0
2008-2,E01007791,A81,1,1,1.0
2008-2,E01007800,A33,1,1,1.0
2008-2,E01007800,A53,1,1,1.0
2008-2,E01007800,A60,1,1,1.0
2008-2,E01007816,A54,2,2,1.0
2008-2,E01007819,A83,3,1,3.0
2008-2,E01007820,A79,1,1,1.0
2008-2,E01007820,A81,2,1,2.0
2008-2,E01007821,A83,1,1,1.0
2008-2,E01007822,A33,2,1,2.0
2008-2,E01007822,A73,1,1,1.0
2008-2,E01007822,A83,2,1,2.0
2008-2,E01007838,A29,3,1,3.0
2008-2,E01007838,A33,1,1,1.0
2008-2,E01007838,A60,1,1,1.0
2008-2,E01007838,A73,2,1,2.0
2008-2,E01007851,A29,2,1,2.0
2008-2,E01007904,A33,1,1,1.0
2008-2,E01007904,A54,1,1,1.0
2008-2,E01007909,A24,1,1,1.0
2008-2,E01007909,A54,1,1,1.0
2008-2,E01007910,A33,1,1,1.0
2008-2,E01007910,A54,2,1,2.0
2008-2,E01007912,A24,1,1,1.0
2008-2,E01007915,A81,1,1,1.0
2008-2,E01007951,A81,1,1,1.0
2008-2,E01007962,A56,1,1,1.0
2008-2,E01007967,A79,1,1,1.0
2008-2,E01007970,A81,1,1,1.0
2008-2,E01007972,A56,1,1,1.0
2008-2,E01007972,A60,3,1,3.0
2008-2,E01007988,A81,1,1,1.0
2008-2,E01007991,A41,1,1,1.0
2008-2,E01007994,A41,1,1,1.0
2008-2,E01008000,A53,1,1,1.0
2008-2,E01008004,A53,1,1,1.0
2008-2,E01008004,A56,1,1,1.0
2008-2,E01008004,A57,1,1,1.0
2008-2,E01008008,A33,1,1,1.0
2008-2,E01008021,A83,1,1,1.0
2008-2,E01008042,A60,1,1,1.0
2008-2,E01008083,A81,1,1,1.0
2008-2,E01008086,A79,1,1,1.0
2008-2,E01008086,A81,1,1,1.0
2008-2,E01008090,A33,1,1,1.0
2008-2,E01008090,A41,1,1,1.0
2008-2,E01008096,A33,1,1,1.0
2008-2,E01008115,A41,1,1,1.0
2008-2,E01008133,A81,1,1,1.0
2008-2,E01008138,A33,1,1,1.0
2008-2,E01008140,A81,1,1,1.0
2008-2,E01008141,A29,1,1,1.0
2008-2,E01008153,A81,1,1,1.0
2008-2,E01008155,A56,1,1,1.0
2008-2,E01008320,A56,1,1,1.0
2008-2,E01008358,A54,1,1,1.0
2008-2,E01008448,A20,1,1,1.0
2008-2,E01008452,A41,1,1,1.0
2008-2,E01008465,A33,1,1,1.0
2008-2,E01008482,A20,1,1,1.0
2008-2,E01008501,A81,1,1,1.0
2008-2,E01008662,A57,1,1,1.0
2008-2,E01008744,A81,1,1,1.0
2008-2,E01008795,A20,1,1,1.0
2008-2,E01008843,A20,1,1,1.0
2008-2,E01008849,A12,1,1,1.0
2008-2,E01008850,A29,1,1,1.0
2008-2,E01008877,A60,1,1,1.0
2008-2,E01008952,A1,1,1,1.0
2008-2,E01008982,A33,3,1,3.0
2008-2,E01008984,A54,3,1,3.0
2008-2,E01008984,A56,3,1,3.0
2008-2,E01009032,A79,1,1,1.0
2008-2,E01009048,A60,1,1,1.0
2008-2,E01009189,A73,1,1,1.0
2008-2,E01009198,A73,1,1,1.0
2008-2,E01009441,A33,1,1,1.0
2008-2,E01009450,A57,1,1,1.0
2008-2,E01009450,A83,1,1,1.0
2008-2,E01009526,A60,1,1,1.0
2008-2,E01009541,A41,1,1,1.0
2008-2,E01009558,A54,1,1,1.0
2008-2,E01009641,A60,1,1,1.0
2008-2,E01009671,A86,1,1,1.0
2008-2,E01009676,A56,1,1,1.0
2008-2,E01009878,A41,3,2,1.5
2008-2,E01009948,A29,1,1,1.0
2008-2,E01009951,A29,2,1,2.0
2008-2,E01009951,A79,1,1,1.0
2008-2,E01009964,A79,1,1,1.0
2008-2,E01009973,A29,1,1,1.0
2008-2,E01010107,A29,1,1,1.0
2008-2,E01010242,A20,1,1,1.0
2008-2,E01010335,A86,1,1,1.0
2008-2,E01010337,A60,1,1,1.0
2008-2,E01010338,A60,1,1,1.0
2008-2,E01010371,A54,1,1,1.0
2008-2,E01010545,A54,1,1,1.0
2008-2,E01010580,A56,1,1,1.0
2008-2,E01010710,A20,1,1,1.0
2008-2,E01010901,A81,1,1,1.0
2008-2,E01010907,A56,1,1,1.0
2008-2,E01010939,A56,1,1,1.0
2008-2,E01010957,A81,1,1,1.0
2008-2,E01010979,A81,1,1,1.0
2008-2,E01011046,A41,1,1,1.0
2008-2,E01011093,A20,1,1,1.0
2008-2,E01011169,A41,1,1,1.0
2008-2,E01011174,A60,1,1,1.0
2008-2,E01011237,A1,1,1,1.0
2008-2,E01011247,A54,1,1,1.0
2008-2,E01011284,A57,1,1,1.0
2008-2,E01011296,A41,1,1,1.0
2008-2,E01011307,A20,1,1,1.0
2008-2,E01011319,A20,1,1,1.0
2008-2,E01011569,A41,1,1,1.0
2008-2,E01011574,A82,1,1,1.0
2008-2,E01011671,A60,1,1,1.0
2008-2,E01011693,A41,1,1,1.0
2008-2,E01011715,A41,1,1,1.0
2008-2,E01011719,A60,1,1,1.0
2008-2,E01011988,A20,1,1,1.0
2008-2,E01011991,A33,1,1,1.0
2008-2,E01011991,A81,1,1,1.0
2008-2,E01011993,A54,1,1,1.0
2008-2,E01012013,A54,1,1,1.0
2008-2,E01012068,A29,1,1,1.0
2008-2,E01012068,A57,1,1,1.0
2008-2,E01012094,A29,1,1,1.0
2008-2,E01012109,A29,1,1,1.0
2008-2,E01012161,A12,1,1,1.0
2008-2,E01012180,A54,1,1,1.0
2008-2,E01012415,A60,1,1,1.0
2008-2,E01012518,A60,1,1,1.0
2008-2,E01012518,A81,1,1,1.0
2008-2,E01012561,A60,1,1,1.0
2008-2,E01012603,A20,1,1,1.0
2008-2,E01012635,A1,1,1,1.0
2008-2,E01012695,A60,1,1,1.0
2008-2,E01012759,A20,1,1,1.0
2008-2,E01012922,A60,1,1,1.0
2008-2,E01012982,A60,1,1,1.0
2008-2,E01012990,A60,1,1,1.0
2008-2,E01013006,A20,1,1,1.0
2008-2,E01013017,A60,1,1,1.0
2008-2,E01013121,A73,1,1,1.0
2008-2,E01013190,A20,1,1,1.0
2008-2,E01013450,A41,1,1,1.0
2008-2,E01013455,A60,1,1,1.0
2008-2,E01013497,A56,1,1,1.0
2008-2,E01013545,A57,1,1,1.0
2008-2,E01013646,A54,2,1,2.0
2008-2,E01013730,A57,1,1,1.0
2008-2,E01013810,A20,1,1,1.0
2008-2,E01013810,A54,1,1,1.0
2008-2,E01013815,A54,1,1,1.0
2008-2,E01013816,A54,1,1,1.0
2008-2,E01013868,A29,1,1,1.0
2008-2,E01013930,A33,2,1,2.0
2008-2,E01013931,A57,1,1,1.0
2008-2,E01013931,A81,1,1,1.0
2008-2,E01014009,A79,1,1,1.0
2008-2,E01014045,A73,1,1,1.0
2008-2,E01014122,A57,1,1,1.0
2008-2,E01014147,A20,1,1,1.0
2008-2,E01014152,A20,1,1,1.0
2008-2,E01014162,A60,1,1,1.0
2008-2,E01014183,A57,1,1,1.0
2008-2,E01014236,A57,1,1,1.0
2008-2,E01014323,A81,1,1,1.0
2008-2,E01014345,A56,1,1,1.0
2008-2,E01014394,A86,1,1,1.0
2008-2,E01014483,A1,1,1,1.0
2008-2,E01014530,A53,1,1,1.0
2008-2,E01014540,A60,1,1,1.0
2008-2,E01014603,A73,1,1,1.0
2008-2,E01014651,A41,1,1,1.0
2008-2,E01014653,A73,1,1,1.0
