period,LSOA,SHEF_B_CODE,report_count,user_count,average
2015-10,E01000273,B14,2,1,2.0
2015-10,E01000273,B24,1,1,1.0
2015-10,E01000274,B13,1,1,1.0
2015-10,E01000275,B13,1,1,1.0
2015-10,E01000277,B19,2,1,2.0
2015-10,E01000278,B14,1,1,1.0
2015-10,E01000278,B19,1,1,1.0
2015-10,E01000280,B13,1,1,1.0
2015-10,E01000282,B14,2,1,2.0
2015-10,E01000284,B7,1,1,1.0
2015-10,E01000289,B26,1,1,1.0
2015-10,E01000292,B25,1,1,1.0
2015-10,E01000293,B14,2,1,2.0
2015-10,E01000296,B14,3,1,3.0
2015-10,E01000296,B26,1,1,1.0
2015-10,E01000297,B1,1,1,1.0
2015-10,E01000299,B13,1,1,1.0
2015-10,E01000299,B26,3,3,1.0
2015-10,E01000301,B13,1,1,1.0
2015-10,E01000301,B14,2,1,2.0
2015-10,E01000301,B17,1,1,1.0
2015-10,E01000302,B25,1,1,1.0
2015-10,E01000303,B14,2,1,2.0
2015-10,E01000303,B26,1,1,1.0
2015-10,E01000304,B19,2,1,2.0
2015-10,E01000304,B26,5,4,1.25
2015-10,E01000305,B14,5,1,5.0
2015-10,E01000305,B19,1,1,1.0
2015-10,E01000306,B14,8,1,8.0
2015-10,E01000306,B19,8,1,8.0
2015-10,E01000306,B24,1,1,1.0
2015-10,E01000306,B25,2,2,1.0
2015-10,E01000306,B26,1,1,1.0
2015-10,E01000306,B6,1,1,1.0
2015-10,E01000307,B14,11,1,11.0
2015-10,E01000307,B19,1,1,1.0
2015-10,E01000307,B25,2,2,1.0
2015-10,E01000307,B26,1,1,1.0
2015-10,E01000307,B28,1,1,1.0
2015-10,E01000309,B14,7,1,7.0
2015-10,E01000309,B19,5,1,5.0
2015-10,E01000309,B24,1,1,1.0
2015-10,E01000309,B26,2,1,2.0
2015-10,E01000309,B28,1,1,1.0
2015-10,E01000309,B6,2,1,2.0
2015-10,E01000309,B7,1,1,1.0
2015-10,E01000310,B14,13,1,13.0
2015-10,E01000310,B24,1,1,1.0
2015-10,E01000310,B26,3,1,3.0
2015-10,E01000311,B14,2,1,2.0
2015-10,E01000311,B17,1,1,1.0
2015-10,E01000313,B14,8,2,4.0
2015-10,E01000314,B14,10,1,10.0
2015-10,E01000314,B19,1,1,1.0
2015-10,E01000314,B24,3,1,3.0
2015-10,E01000314,B25,1,1,1.0
2015-10,E01000314,B26,2,1,2.0
2015-10,E01000314,B7,2,1,2.0
2015-10,E01000316,B14,2,1,2.0
2015-10,E01000316,B26,1,1,1.0
2015-10,E01000317,B7,1,1,1.0
2015-10,E01000318,B26,1,1,1.0
2015-10,E01000320,B24,1,1,1.0
2015-10,E01000321,B13,1,1,1.0
2015-10,E01000321,B26,1,1,1.0
2015-10,E01000323,B26,1,1,1.0
2015-10,E01000324,B26,1,1,1.0
2015-10,E01000326,B18,1,1,1.0
2015-10,E01000327,B13,1,1,1.0
2015-10,E01000329,B13,1,1,1.0
2015-10,E01000350,B16,1,1,1.0
2015-10,E01000353,B19,1,1,1.0
2015-10,E01000364,B13,1,1,1.0
2015-10,E01000373,B26,1,1,1.0
2015-10,E01000375,B24,1,1,1.0
2015-10,E01000378,B13,3,1,3.0
2015-10,E01000378,B14,1,1,1.0
2015-10,E01000378,B4,1,1,1.0
2015-10,E01000379,B17,1,1,1.0
2015-10,E01000379,B26,1,1,1.0
2015-10,E01000383,B24,1,1,1.0
2015-10,E01000386,B28,1,1,1.0
2015-10,E01000389,B13,1,1,1.0
2015-10,E01000406,B6,2,1,2.0
2015-10,E01000412,B13,1,1,1.0
2015-10,E01000421,B13,1,1,1.0
2015-10,E01000437,B16,1,1,1.0
2015-10,E01000437,B26,1,1,1.0
2015-10,E01000466,B13,1,1,1.0
2015-10,E01000475,B16,1,1,1.0
2015-10,E01000488,B25,1,1,1.0
2015-10,E01000493,B25,1,1,1.0
2015-10,E01000508,B26,2,1,2.0
2015-10,E01000513,B14,1,1,1.0
2015-10,E01000515,B26,1,1,1.0
2015-10,E01000517,B13,1,1,1.0
2015-10,E01000540,B26,1,1,1.0
2015-10,E01000549,B26,1,1,1.0
2015-10,E01000550,B26,1,1,1.0
2015-10,E01000560,B25,1,1,1.0
2015-10,E01000569,B26,1,1,1.0
2015-10,E01000579,B16,1,1,1.0
2015-10,E01000583,B13,1,1,1.0
2015-10,E01000586,B25,1,1,1.0
2015-10,E01000600,B24,1,1,1.0
2015-10,E01000609,B26,2,1,2.0
2015-10,E01000612,B26,2,1,2.0
2015-10,E01000616,B26,1,1,1.0
2015-10,E01000634,B25,1,1,1.0
2015-10,E01000635,B26,1,1,1.0
2015-10,E01000640,B26,1,1,1.0
2015-10,E01000645,B25,1,1,1.0
2015-10,E01000645,B28,2,2,1.0
2015-10,E01000646,B23,2,1,2.0
2015-10,E01000646,B26,1,1,1.0
2015-10,E01000648,B28,1,1,1.0
2015-10,E01000649,B28,2,1,2.0
2015-10,E01000650,B28,1,1,1.0
2015-10,E01000651,B25,1,1,1.0
2015-10,E01000651,B28,1,1,1.0
2015-10,E01000652,B26,1,1,1.0
2015-10,E01000652,B28,1,1,1.0
2015-10,E01000656,B17,1,1,1.0
2015-10,E01000657,B26,1,1,1.0
2015-10,E01000658,B26,1,1,1.0
2015-10,E01000659,B26,1,1,1.0
2015-10,E01000661,B17,1,1,1.0
2015-10,E01000661,B28,1,1,1.0
2015-10,E01000662,B15,1,1,1.0
2015-10,E01000662,B23,1,1,1.0
2015-10,E01000662,B26,2,1,2.0
2015-10,E01000662,B28,1,1,1.0
2015-10,E01000663,B19,1,1,1.0
2015-10,E01000663,B24,1,1,1.0
2015-10,E01000663,B28,7,4,1.75
2015-10,E01000664,B14,1,1,1.0
2015-10,E01000664,B19,1,1,1.0
2015-10,E01000664,B26,1,1,1.0
2015-10,E01000664,B28,1,1,1.0
2015-10,E01000666,B26,2,2,1.0
2015-10,E01000671,B26,1,1,1.0
2015-10,E01000672,B1,1,1,1.0
2015-10,E01000672,B24,1,1,1.0
2015-10,E01000673,B26,2,2,1.0
2015-10,E01000674,B25,1,1,1.0
2015-10,E01000674,B26,1,1,1.0
2015-10,E01000675,B25,2,1,2.0
2015-10,E01000675,B28,1,1,1.0
2015-10,E01000676,B19,1,1,1.0
2015-10,E01000676,B7,1,1,1.0
2015-10,E01000677,B25,1,1,1.0
2015-10,E01000677,B28,1,1,1.0
2015-10,E01000678,B23,1,1,1.0
2015-10,E01000678,B28,1,1,1.0
2015-10,E01000679,B26,1,1,1.0
2015-10,E01000680,B17,1,1,1.0
2015-10,E01000680,B26,4,2,2.0
2015-10,E01000681,B26,1,1,1.0
2015-10,E01000683,B17,1,1,1.0
2015-10,E01000692,B14,1,1,1.0
2015-10,E01000692,B15,1,1,1.0
2015-10,E01000692,B26,1,1,1.0
2015-10,E01000694,B14,3,1,3.0
2015-10,E01000695,B7,1,1,1.0
2015-10,E01000696,B25,1,1,1.0
2015-10,E01000697,B24,1,1,1.0
2015-10,E01000697,B26,2,2,1.0
2015-10,E01000697,B28,2,1,2.0
2015-10,E01000698,B28,1,1,1.0
2015-10,E01000700,B26,1,1,1.0
2015-10,E01000701,B26,1,1,1.0
2015-10,E01000702,B26,1,1,1.0
2015-10,E01000703,B26,2,2,1.0
2015-10,E01000705,B26,8,3,2.6666666666666665
2015-10,E01000710,B14,1,1,1.0
2015-10,E01000710,B24,1,1,1.0
2015-10,E01000710,B26,2,2,1.0
2015-10,E01000710,B28,1,1,1.0
2015-10,E01000711,B14,1,1,1.0
2015-10,E01000711,B19,1,1,1.0
