period,LSOA,SHEF_B,report_count,user_count,average
2012-4,E01000001,Rubbish,1,1,1.0
2012-4,E01000010,Road Surface Defects,1,1,1.0
2012-4,E01000010,Rubbish,2,2,1.0
2012-4,E01000020,Drainage,1,1,1.0
2012-4,E01000027,Abandoned Vehicles,1,1,1.0
2012-4,E01000040,Road Surface Defects,1,1,1.0
2012-4,E01000044,Drainage,1,1,1.0
2012-4,E01000085,Road Surface Defects,1,1,1.0
2012-4,E01000094,Abandoned Vehicles,1,1,1.0
2012-4,E01000105,Road Surface Defects,1,1,1.0
2012-4,E01000117,Road Surface Defects,1,1,1.0
2012-4,E01000122,Street Lights,1,1,1.0
2012-4,E01000132,Road Surface Defects,1,1,1.0
2012-4,E01000132,Rubbish,1,1,1.0
2012-4,E01000141,Rubbish,1,1,1.0
2012-4,E01000150,Road Surface Defects,1,1,1.0
2012-4,E01000161,Abandoned Vehicles,1,1,1.0
2012-4,E01000161,Incivilities,1,1,1.0
2012-4,E01000169,Road Surface Defects,1,1,1.0
2012-4,E01000171,Road Surface Defects,1,1,1.0
2012-4,E01000183,Rubbish,1,1,1.0
2012-4,E01000198,Road Surface Defects,1,1,1.0
2012-4,E01000203,Rubbish,1,1,1.0
2012-4,E01000204,Road Surface Defects,1,1,1.0
2012-4,E01000225,Drainage,1,1,1.0
2012-4,E01000228,Road Surface Defects,1,1,1.0
2012-4,E01000242,Street Lights,1,1,1.0
2012-4,E01000247,Incivilities,2,1,2.0
2012-4,E01000248,Road Surface Defects,1,1,1.0
2012-4,E01000249,Road Safety,1,1,1.0
2012-4,E01000251,Road Surface Defects,1,1,1.0
2012-4,E01000260,Road Safety,1,1,1.0
2012-4,E01000267,Street Furniture,1,1,1.0
2012-4,E01000270,Drainage,2,1,2.0
2012-4,E01000270,Road Surface Defects,3,2,1.5
2012-4,E01000270,Rubbish,1,1,1.0
2012-4,E01000272,Road Surface Defects,1,1,1.0
2012-4,E01000281,Drainage,1,1,1.0
2012-4,E01000281,Incivilities,1,1,1.0
2012-4,E01000282,Abandoned Vehicles,1,1,1.0
2012-4,E01000301,Road Surface Defects,1,1,1.0
2012-4,E01000316,Rubbish,1,1,1.0
2012-4,E01000317,Road Surface Defects,1,1,1.0
2012-4,E01000325,Dangerous Building/Structure,1,1,1.0
2012-4,E01000332,Parking,1,1,1.0
2012-4,E01000356,Road Surface Defects,1,1,1.0
2012-4,E01000414,Rubbish,1,1,1.0
2012-4,E01000452,Road Surface Defects,1,1,1.0
2012-4,E01000464,Abandoned Vehicles,1,1,1.0
2012-4,E01000472,Road Surface Defects,1,1,1.0
2012-4,E01000472,Street Lights,1,1,1.0
2012-4,E01000490,Drainage,1,1,1.0
2012-4,E01000499,Abandoned Vehicles,1,1,1.0
2012-4,E01000512,Rubbish,1,1,1.0
2012-4,E01000518,Street Furniture,1,1,1.0
2012-4,E01000553,Incivilities,1,1,1.0
2012-4,E01000553,Rubbish,1,1,1.0
2012-4,E01000553,Street Lights,1,1,1.0
2012-4,E01000554,Rubbish,2,1,2.0
2012-4,E01000555,Incivilities,1,1,1.0
2012-4,E01000556,Incivilities,2,1,2.0
2012-4,E01000556,Street Furniture,1,1,1.0
2012-4,E01000557,Incivilities,8,1,8.0
2012-4,E01000557,Overgrown/Fallen Veg/Trees,1,1,1.0
2012-4,E01000557,Rubbish,1,1,1.0
2012-4,E01000588,Street Furniture,1,1,1.0
2012-4,E01000627,Drainage,1,1,1.0
2012-4,E01000637,Incivilities,1,1,1.0
2012-4,E01000637,Rubbish,2,1,2.0
2012-4,E01000639,Rubbish,1,1,1.0
2012-4,E01000643,Abandoned Vehicles,1,1,1.0
2012-4,E01000670,Abandoned Vehicles,1,1,1.0
2012-4,E01000673,Other,1,1,1.0
2012-4,E01000676,Road Surface Defects,1,1,1.0
2012-4,E01000680,Rubbish,1,1,1.0
2012-4,E01000685,Rubbish,1,1,1.0
2012-4,E01000705,Rubbish,1,1,1.0
2012-4,E01000740,Road Surface Defects,1,1,1.0
2012-4,E01000742,Rubbish,2,2,1.0
2012-4,E01000743,Rubbish,1,1,1.0
2012-4,E01000750,Road Surface Defects,1,1,1.0
2012-4,E01000781,Street Lights,1,1,1.0
2012-4,E01000796,Other,1,1,1.0
2012-4,E01000804,Rubbish,1,1,1.0
2012-4,E01000807,Road Surface Defects,1,1,1.0
2012-4,E01000807,Street Furniture,1,1,1.0
2012-4,E01000813,Rubbish,1,1,1.0
2012-4,E01000861,Road Safety,1,1,1.0
2012-4,E01000865,Road Safety,1,1,1.0
2012-4,E01000865,Road Surface Defects,1,1,1.0
2012-4,E01000866,Road Surface Defects,1,1,1.0
2012-4,E01000870,Rubbish,1,1,1.0
2012-4,E01000894,Road Surface Defects,1,1,1.0
2012-4,E01000898,Road Surface Defects,1,1,1.0
2012-4,E01000909,Road Safety,1,1,1.0
2012-4,E01000913,Incivilities,1,1,1.0
2012-4,E01000916,Road Safety,1,1,1.0
2012-4,E01000920,Abandoned Vehicles,1,1,1.0
2012-4,E01000924,Street Lights,1,1,1.0
2012-4,E01000926,Overgrown/Fallen Veg/Trees,1,1,1.0
2012-4,E01000945,Road Safety,1,1,1.0
2012-4,E01000957,Rubbish,1,1,1.0
2012-4,E01000964,Street Lights,1,1,1.0
2012-4,E01000967,Road Surface Defects,1,1,1.0
2012-4,E01001012,Incivilities,1,1,1.0
2012-4,E01001012,Rubbish,1,1,1.0
2012-4,E01001022,Road Surface Defects,1,1,1.0
2012-4,E01001028,Parking,1,1,1.0
2012-4,E01001028,Road Surface Defects,1,1,1.0
2012-4,E01001029,Parking,1,1,1.0
2012-4,E01001032,Road Surface Defects,1,1,1.0
2012-4,E01001035,Rubbish,2,2,1.0
2012-4,E01001054,Drainage,1,1,1.0
2012-4,E01001054,Road Surface Defects,1,1,1.0
2012-4,E01001054,Rubbish,2,1,2.0
2012-4,E01001075,Parking,1,1,1.0
2012-4,E01001076,Road Surface Defects,1,1,1.0
2012-4,E01001086,Road Surface Defects,2,1,2.0
2012-4,E01001096,Street Furniture,1,1,1.0
2012-4,E01001127,Road Surface Defects,1,1,1.0
2012-4,E01001127,Street Lights,1,1,1.0
2012-4,E01001136,Rubbish,1,1,1.0
2012-4,E01001140,Rubbish,1,1,1.0
2012-4,E01001142,Overgrown/Fallen Veg/Trees,1,1,1.0
2012-4,E01001142,Parking,1,1,1.0
2012-4,E01001158,Road Surface Defects,1,1,1.0
2012-4,E01001159,Parking,1,1,1.0
2012-4,E01001164,Road Surface Defects,1,1,1.0
2012-4,E01001164,Street Lights,1,1,1.0
2012-4,E01001197,Street Furniture,1,1,1.0
2012-4,E01001207,Road Surface Defects,1,1,1.0
2012-4,E01001237,Rubbish,1,1,1.0
2012-4,E01001251,Rubbish,1,1,1.0
2012-4,E01001277,Rubbish,1,1,1.0
2012-4,E01001305,Rubbish,1,1,1.0
2012-4,E01001309,Abandoned Vehicles,1,1,1.0
