period,LSOA,SHEF_B,report_count,user_count,average
2009-11,E01000007,Other,1,1,1.0
2009-11,E01000007,Pavement /Footway Defects,1,1,1.0
2009-11,E01000010,Road Safety,2,1,2.0
2009-11,E01000010,Road Surface Defects,1,1,1.0
2009-11,E01000025,Other,1,1,1.0
2009-11,E01000038,Abandoned Vehicles,1,1,1.0
2009-11,E01000040,Road Surface Defects,1,1,1.0
2009-11,E01000044,Pavement /Footway Defects,1,1,1.0
2009-11,E01000044,Road Surface Defects,1,1,1.0
2009-11,E01000052,Road Surface Defects,1,1,1.0
2009-11,E01000105,Other,1,1,1.0
2009-11,E01000115,Other,1,1,1.0
2009-11,E01000128,Other,1,1,1.0
2009-11,E01000141,Incivilities,1,1,1.0
2009-11,E01000151,Other,1,1,1.0
2009-11,E01000160,Dog Fouling,3,3,1.0
2009-11,E01000160,Rubbish,1,1,1.0
2009-11,E01000167,Pavement /Footway Defects,1,1,1.0
2009-11,E01000168,Highways Enquiries,1,1,1.0
2009-11,E01000199,Pavement /Footway Defects,1,1,1.0
2009-11,E01000211,Pavement /Footway Defects,1,1,1.0
2009-11,E01000221,Road Surface Defects,1,1,1.0
2009-11,E01000251,Other,1,1,1.0
2009-11,E01000270,Road Surface Defects,1,1,1.0
2009-11,E01000275,Abandoned Vehicles,1,1,1.0
2009-11,E01000293,Road Safety,1,1,1.0
2009-11,E01000298,Abandoned Vehicles,1,1,1.0
2009-11,E01000301,Street Lights,1,1,1.0
2009-11,E01000303,Pavement /Footway Defects,1,1,1.0
2009-11,E01000314,Pavement /Footway Defects,1,1,1.0
2009-11,E01000343,Road Safety,1,1,1.0
2009-11,E01000349,Road Safety,1,1,1.0
2009-11,E01000388,Road Safety,1,1,1.0
2009-11,E01000401,Street Lights,1,1,1.0
2009-11,E01000417,Abandoned Vehicles,1,1,1.0
2009-11,E01000419,Road Surface Defects,1,1,1.0
2009-11,E01000427,Abandoned Vehicles,1,1,1.0
2009-11,E01000471,Other,1,1,1.0
2009-11,E01000480,Highways Enquiries,1,1,1.0
2009-11,E01000486,Road Surface Defects,1,1,1.0
2009-11,E01000489,Incivilities,1,1,1.0
2009-11,E01000530,Dog Fouling,1,1,1.0
2009-11,E01000531,Dog Fouling,1,1,1.0
2009-11,E01000536,Pavement /Footway Defects,1,1,1.0
2009-11,E01000538,Overgrown/Fallen Veg/Trees,1,1,1.0
2009-11,E01000543,Rubbish,3,1,3.0
2009-11,E01000553,Incivilities,5,1,5.0
2009-11,E01000553,Rubbish,13,3,4.333333333333333
2009-11,E01000553,Street Lights,1,1,1.0
2009-11,E01000554,Incivilities,2,1,2.0
2009-11,E01000554,Rubbish,1,1,1.0
2009-11,E01000555,Incivilities,1,1,1.0
2009-11,E01000555,Rubbish,1,1,1.0
2009-11,E01000556,Incivilities,3,2,1.5
2009-11,E01000556,Other,2,1,2.0
2009-11,E01000556,Road Safety,1,1,1.0
2009-11,E01000556,Rubbish,10,1,10.0
2009-11,E01000556,Street Lights,2,1,2.0
