period,LSOA,SHEF_B,report_count,user_count,average
2015,95HH13W1,Pavement /Footway Defects,1,1,1.0
2015,95HH14W1,Street Lights,1,1,1.0
2015,95II03S1,Street Furniture,1,1,1.0
2015,95II03S2,Street Lights,1,1,1.0
2015,95II04S1,Road Safety,1,1,1.0
2015,95II06S1,Street Lights,3,2,1.5
2015,95II09S1,Road Surface Defects,1,1,1.0
2015,95II11W1,Street Lights,8,1,8.0
2015,95II13W1,Incivilities,1,1,1.0
2015,95II13W1,Street Lights,2,1,2.0
2015,95II16W1,Highways Enquiries,1,1,1.0
2015,95II16W1,Other,2,1,2.0
2015,95II16W1,Parking,1,1,1.0
2015,95II16W1,Pavement /Footway Defects,1,1,1.0
2015,95II19S1,Road Safety,1,1,1.0
2015,95II19S1,Street Lights,1,1,1.0
2015,95II20W1,Street Lights,1,1,1.0
2015,95JJ13S1,Street Lights,1,1,1.0
2015,95JJ13S2,Street Lights,1,1,1.0
2015,95JJ17W1,Other,1,1,1.0
2015,95KK09W1,Highways Enquiries,1,1,1.0
2015,95LL02S1,Street Lights,1,1,1.0
2015,95LL05S1,Street Lights,1,1,1.0
2015,95LL14S1,Street Lights,1,1,1.0
2015,95LL16S2,Street Lights,3,3,1.0
2015,95LL19S2,Street Lights,1,1,1.0
2015,95LL23W1,Street Lights,2,1,2.0
2015,95NN12W1,Highways Enquiries,2,1,2.0
2015,95NN12W1,Street Lights,1,1,1.0
2015,95OO14W1,Rubbish,1,1,1.0
2015,95PP05W1,Rubbish,1,1,1.0
2015,95PP10W1,Highways Enquiries,4,1,4.0
2015,95PP10W1,Road Surface Defects,1,1,1.0
2015,95PP16W1,Street Lights,1,1,1.0
2015,95PP17W1,Highways Enquiries,1,1,1.0
2015,95PP21W1,Highways Enquiries,1,1,1.0
2015,95PP21W1,Open Spaces/Parks,4,1,4.0
2015,95PP21W1,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,95PP21W1,Pavement /Footway Defects,2,1,2.0
2015,95PP21W1,Rubbish,1,1,1.0
2015,95QQ13W1,Highways Enquiries,1,1,1.0
2015,95RR07W1,Dog Fouling,1,1,1.0
2015,95SS03S1,Road Surface Defects,1,1,1.0
2015,95SS06S1,Rubbish,1,1,1.0
2015,95SS07S2,Street Lights,1,1,1.0
2015,95SS09S2,Rubbish,1,1,1.0
2015,95SS10S2,Street Lights,1,1,1.0
2015,95SS11S1,Road Surface Defects,1,1,1.0
2015,95SS11S2,Road Surface Defects,2,2,1.0
2015,95SS13S1,Pavement /Footway Defects,1,1,1.0
2015,95SS15S1,Road Surface Defects,1,1,1.0
2015,95SS15S1,Street Lights,1,1,1.0
2015,95SS15S2,Road Surface Defects,3,1,3.0
2015,95SS18S1,Highways Enquiries,1,1,1.0
2015,95SS21S2,Other,1,1,1.0
2015,95SS21S2,Road Surface Defects,1,1,1.0
2015,95SS22S2,Street Lights,1,1,1.0
2015,95SS23S1,Pavement /Footway Defects,1,1,1.0
2015,95SS23S1,Road Surface Defects,1,1,1.0
2015,95SS23S2,Street Lights,1,1,1.0
2015,95SS28W1,Street Lights,2,2,1.0
2015,95TT09S1,Street Lights,1,1,1.0
2015,95TT16W1,Road Surface Defects,1,1,1.0
2015,95VV01S2,Incivilities,1,1,1.0
2015,95VV05S2,Highways Enquiries,4,1,4.0
2015,95VV05S2,Pavement /Footway Defects,1,1,1.0
2015,95VV05S2,Road Surface Defects,1,1,1.0
2015,95VV05S2,Street Lights,2,1,2.0
2015,95VV19S2,Street Lights,1,1,1.0
2015,95VV24S1,Highways Enquiries,1,1,1.0
2015,95VV24S1,Street Lights,1,1,1.0
2015,95VV27W1,Highways Enquiries,1,1,1.0
2015,95WW01S1,Street Lights,1,1,1.0
2015,95WW02S2,Street Lights,1,1,1.0
2015,95WW05S2,Dog Fouling,1,1,1.0
2015,95WW05S2,Street Lights,1,1,1.0
2015,95WW06S1,Street Lights,1,1,1.0
2015,95WW08S1,Street Lights,1,1,1.0
2015,95WW13S1,Road Surface Defects,1,1,1.0
2015,95WW14W1,Street Lights,1,1,1.0
2015,95WW17W1,Pavement /Footway Defects,1,1,1.0
2015,95WW20S1,Highways Enquiries,1,1,1.0
2015,95WW20S2,Pavement /Footway Defects,1,1,1.0
2015,95WW24S1,Rubbish,1,1,1.0
2015,95WW24S2,Rubbish,1,1,1.0
2015,95WW25W1,Rubbish,1,1,1.0
2015,95WW25W1,Street Lights,1,1,1.0
2015,95XX03S1,Dog Fouling,1,1,1.0
2015,95XX06S1,Abandoned Vehicles,1,1,1.0
2015,95XX06S1,Pavement /Footway Defects,1,1,1.0
2015,95XX06S1,Street Lights,1,1,1.0
2015,95XX07S1,Road Surface Defects,1,1,1.0
2015,95XX18W1,Highways Enquiries,1,1,1.0
2015,95XX19W1,Pavement /Footway Defects,1,1,1.0
