period,LAD,report_count,user_count,average
2016-5,E07000061,26,19,1.368421052631579
2016-5,E07000062,42,25,1.68
2016-5,E07000063,42,38,1.105263157894737
2016-5,E07000064,120,95,1.263157894736842
2016-5,E07000065,72,61,1.180327868852459
2016-5,E07000089,75,71,1.056338028169014
2016-5,E07000165,28,27,1.037037037037037
2016-5,E07000177,192,147,1.3061224489795917
2016-5,E07000178,97,79,1.2278481012658229
2016-5,E07000179,214,143,1.4965034965034965
2016-5,E07000180,159,119,1.3361344537815125
2016-5,E07000181,214,151,1.4172185430463575
2016-5,E07000218,36,29,1.2413793103448276
2016-5,E07000219,62,44,1.4090909090909092
2016-5,E07000220,45,40,1.125
2016-5,E07000221,87,70,1.2428571428571429
2016-5,E07000222,73,67,1.0895522388059702
2016-5,E07000243,328,60,5.466666666666667
2016-5,E09000006,1336,914,1.461706783369803
2016-5,E09000011,345,263,1.311787072243346
2016-5,S12000041,9,9,1.0
