lad,reports,unique_users,average_per_user
E06000023,374,259,1.444015444015444
E07000089,89,80,1.1125
E07000177,514,205,2.5073170731707317
E07000178,360,160,2.25
E07000179,625,240,2.6041666666666665
E07000180,434,224,1.9375
E07000181,423,164,2.5792682926829267
E07000218,20,15,1.3333333333333333
E07000219,40,29,1.3793103448275863
E07000220,32,27,1.1851851851851851
E07000221,58,54,1.0740740740740742
E07000222,51,45,1.1333333333333333
E07000242,31,27,1.1481481481481481
E07000243,350,120,2.9166666666666665
E09000006,1217,878,1.3861047835990887
E09000011,355,263,1.349809885931559
S12000041,39,38,1.0263157894736843
