period,LAD,report_count,user_count,average
2015-6,,2,2,1.0
2015-6,E07000061,102,80,1.275
2015-6,E07000062,158,121,1.3057851239669422
2015-6,E07000063,167,126,1.3253968253968254
2015-6,E07000064,233,167,1.3952095808383234
2015-6,E07000065,448,280,1.6
2015-6,E07000089,78,61,1.278688524590164
2015-6,E07000165,17,16,1.0625
2015-6,E07000177,154,121,1.2727272727272727
2015-6,E07000178,77,66,1.1666666666666667
2015-6,E07000179,200,142,1.408450704225352
2015-6,E07000180,119,91,1.3076923076923077
2015-6,E07000181,130,96,1.3541666666666667
2015-6,E07000218,41,33,1.2424242424242424
2015-6,E07000219,33,31,1.064516129032258
2015-6,E07000220,83,64,1.296875
2015-6,E07000221,88,81,1.0864197530864197
2015-6,E07000222,89,79,1.1265822784810127
2015-6,E07000243,368,82,4.487804878048781
2015-6,E09000006,1451,996,1.4568273092369477
