lad,reports,unique_users,average_per_user
E06000004,1,1,1.0
E06000005,2,1,2.0
E06000007,3,1,3.0
E06000008,3,1,3.0
E06000010,3,1,3.0
E06000011,2,1,2.0
E06000013,3,1,3.0
E06000014,3,1,3.0
E06000015,8,1,8.0
E06000017,1589,872,1.8222477064220184
E06000018,12,1,12.0
E06000019,4,1,4.0
E06000020,1,1,1.0
E06000022,31123,11405,2.7288908373520386
E06000023,29270,14549,2.01182211835865
E06000025,4,1,4.0
E06000026,3,1,3.0
E06000030,1,1,1.0
E06000031,5239,3427,1.5287423402392764
E06000035,2,1,2.0
E06000037,3,1,3.0
E06000038,42,28,1.5
E06000039,1,1,1.0
E06000040,2,1,2.0
E06000043,5,1,5.0
E06000044,1,1,1.0
E06000045,5773,2917,1.979088104216661
E06000046,17794,1256,14.1671974522293
E06000047,1,1,1.0
E06000049,15575,68,229.0441176470588
E06000050,2,1,2.0
E06000051,5,1,5.0
E06000052,13,1,13.0
E06000054,7,1,7.0
E06000055,2,1,2.0
E06000056,79,35,2.257142857142857
E06000057,1,1,1.0
E06000059,3,1,3.0
E06000060,58529,27334,2.1412526523743325
E07000009,1,1,1.0
E07000011,10,1,10.0
E07000012,13,1,13.0
E07000026,3,1,3.0
E07000028,2,1,2.0
E07000029,6,1,6.0
E07000030,5,1,5.0
E07000031,7,1,7.0
E07000032,1,1,1.0
E07000033,5,1,5.0
E07000036,10,1,10.0
E07000038,1,1,1.0
E07000039,1,1,1.0
E07000042,2,1,2.0
E07000045,4,1,4.0
E07000047,1,1,1.0
E07000061,2163,1089,1.9862258953168044
E07000062,2149,1120,1.91875
E07000063,3575,2068,1.7287234042553192
E07000064,4655,2412,1.9299336650082919
E07000065,7993,3622,2.206791827719492
E07000067,3,1,3.0
E07000068,2,1,2.0
E07000070,4,1,4.0
E07000071,6,1,6.0
E07000072,5,1,5.0
E07000076,1,1,1.0
E07000077,1,1,1.0
E07000079,1,1,1.0
E07000081,1,1,1.0
E07000083,5,1,5.0
E07000084,3,1,3.0
E07000085,5,1,5.0
E07000086,7,2,3.5
E07000087,1,1,1.0
E07000089,7050,4489,1.5705056805524615
E07000090,1,1,1.0
E07000091,4,1,4.0
E07000092,1,1,1.0
E07000093,1,1,1.0
E07000094,3,1,3.0
E07000099,2,2,1.0
E07000105,3,1,3.0
E07000106,2,1,2.0
E07000107,2,1,2.0
E07000108,2,1,2.0
E07000110,4,1,4.0
E07000113,1,1,1.0
E07000115,1,1,1.0
E07000116,2,1,2.0
E07000117,2,1,2.0
E07000118,1,1,1.0
E07000119,2,1,2.0
E07000120,2,1,2.0
E07000125,4,1,4.0
E07000126,3,1,3.0
E07000127,6,1,6.0
E07000128,1,1,1.0
E07000129,1,1,1.0
E07000130,1,1,1.0
E07000131,2,1,2.0
E07000132,2,1,2.0
E07000133,1,1,1.0
E07000134,15,1,15.0
E07000136,4405,930,4.736559139784946
E07000137,13200,2880,4.583333333333333
E07000138,5551,1332,4.1674174174174174
E07000139,12102,3190,3.793730407523511
E07000140,6920,1595,4.338557993730408
E07000141,11383,3074,3.702992843201041
E07000142,9577,2437,3.9298317603610995
E07000143,9,1,9.0
E07000144,2,1,2.0
E07000145,1,1,1.0
E07000146,4,1,4.0
E07000149,5,1,5.0
E07000150,2732,887,3.080045095828636
E07000151,6971,2320,3.004741379310345
E07000152,6268,2155,2.908584686774942
E07000153,6068,1921,3.158771473191046
E07000154,11525,3216,3.583644278606965
E07000155,8609,2718,3.1674025018395877
E07000156,4631,1567,2.9553286534779835
E07000165,871,700,1.2442857142857142
E07000166,2,1,2.0
E07000167,1,1,1.0
E07000170,1,1,1.0
E07000171,6,1,6.0
E07000172,5,1,5.0
E07000175,9,1,9.0
E07000176,14,1,14.0
E07000177,27986,10084,2.7752875842919478
E07000178,15942,6813,2.339938353148393
E07000179,37021,11368,3.256597466572836
E07000180,26228,10050,2.6097512437810946
E07000181,26153,8780,2.9787015945330295
E07000188,4,3,1.3333333333333333
E07000189,2,1,2.0
E07000192,1,1,1.0
E07000193,3,1,3.0
E07000194,502,361,1.3905817174515236
E07000195,9,1,9.0
E07000196,8,1,8.0
E07000197,1,1,1.0
E07000200,2,1,2.0
E07000209,4,1,4.0
E07000212,1,1,1.0
E07000214,5,1,5.0
E07000215,2,1,2.0
E07000216,8,1,8.0
E07000218,2442,1447,1.6876295784381479
E07000219,3627,1829,1.9830508474576272
E07000220,3061,1860,1.6456989247311828
E07000221,6184,3822,1.6180010465724752
E07000222,6190,3908,1.5839303991811668
E07000223,93,1,93.0
E07000225,1,1,1.0
E07000226,2,1,2.0
E07000228,9,1,9.0
E07000229,2,1,2.0
E07000234,2,1,2.0
E07000238,1,1,1.0
E07000240,1,1,1.0
E07000242,524,352,1.4886363636363635
E07000243,28561,3987,7.163531477301229
E07000244,8,1,8.0
E07000245,1,1,1.0
E08000001,1,1,1.0
E08000002,7,1,7.0
E08000003,1,1,1.0
E08000004,4,1,4.0
E08000005,5,1,5.0
E08000006,1,1,1.0
E08000008,6,1,6.0
E08000009,2,1,2.0
E08000010,1,1,1.0
E08000011,5,1,5.0
E08000015,2,1,2.0
E08000018,1,1,1.0
E08000019,4,1,4.0
E08000021,1,1,1.0
E08000022,1,1,1.0
E08000028,3,1,3.0
E08000033,2,1,2.0
E08000034,7,1,7.0
E08000035,305,168,1.8154761904761905
E08000036,1,1,1.0
E08000037,4,1,4.0
E09000001,1,1,1.0
E09000003,21915,10591,2.0692097063544517
E09000004,15303,7936,1.9283014112903225
E09000005,1,1,1.0
E09000006,122698,42116,2.9133345996770825
E09000007,13,2,6.5
E09000008,9,9,1.0
E09000009,6,4,1.5
E09000011,23067,10156,2.2712682158330053
E09000012,540,234,2.3076923076923075
E09000015,1,1,1.0
E09000018,32620,5347,6.100617168505704
E09000020,12,4,3.0
E09000023,14,10,1.4
E09000033,26236,1908,13.750524109014675
S12000036,39,34,1.1470588235294117
S12000041,668,474,1.409282700421941
W06000015,100,64,1.5625
