period,LAD,SHEF_A,report_count,user_count,average
2008-7,E06000001,Street Lights,1,1,1.0
2008-7,E06000002,Fly-tipping,1,1,1.0
2008-7,E06000003,Abandoned Vehicles,1,1,1.0
2008-7,E06000003,Other,2,1,2.0
2008-7,E06000003,Pavement /Footway Defects,1,1,1.0
2008-7,E06000004,Abandoned Vehicles,1,1,1.0
2008-7,E06000004,Dog Fouling,1,1,1.0
2008-7,E06000005,Graffiti,1,1,1.0
2008-7,E06000005,Highway Condition,1,1,1.0
2008-7,E06000005,Pavement /Footway Defects,1,1,1.0
2008-7,E06000007,Dog Fouling,1,1,1.0
2008-7,E06000007,Highway Condition,1,1,1.0
2008-7,E06000007,Parking,1,1,1.0
2008-7,E06000007,Potholes,1,1,1.0
2008-7,E06000008,Dog Fouling,1,1,1.0
2008-7,E06000008,Highway Condition,1,1,1.0
2008-7,E06000008,Pavement /Footway Defects,1,1,1.0
2008-7,E06000008,Potholes,1,1,1.0
2008-7,E06000009,Fly-tipping,1,1,1.0
2008-7,E06000009,Other,3,3,1.0
2008-7,E06000009,Parking,1,1,1.0
2008-7,E06000009,Pavement /Footway Defects,3,3,1.0
2008-7,E06000009,Potholes,1,1,1.0
2008-7,E06000010,Abandoned Vehicles,1,1,1.0
2008-7,E06000010,Fly-tipping,1,1,1.0
2008-7,E06000010,Other,1,1,1.0
2008-7,E06000010,Potholes,1,1,1.0
2008-7,E06000011,Fallen/Dangerous Trees,1,1,1.0
2008-7,E06000011,Highway Condition,1,1,1.0
2008-7,E06000011,Other,3,3,1.0
2008-7,E06000011,Potholes,5,1,5.0
2008-7,E06000012,Dog Fouling,1,1,1.0
2008-7,E06000012,Fly-tipping,1,1,1.0
2008-7,E06000012,Highway Condition,2,2,1.0
2008-7,E06000012,Other,2,2,1.0
2008-7,E06000012,Parking,2,2,1.0
2008-7,E06000013,Abandoned Vehicles,1,1,1.0
2008-7,E06000013,Fly-tipping,1,1,1.0
2008-7,E06000013,Open Spaces/Parks,1,1,1.0
2008-7,E06000013,Other,1,1,1.0
2008-7,E06000015,Abandoned Vehicles,1,1,1.0
2008-7,E06000015,Dog Fouling,1,1,1.0
2008-7,E06000015,Parking,1,1,1.0
2008-7,E06000015,Pavement /Footway Defects,1,1,1.0
