period,LAD,SHEF_A_CODE,report_count,user_count,average
all time,E06000045,A58,46,19,2.4210526315789473
all time,E06000045,A60,2416,445,5.429213483146067
all time,E06000045,A73,70,31,2.2580645161290325
all time,E06000045,A75,282,58,4.862068965517241
all time,E06000045,A79,224,62,3.6129032258064515
all time,E06000045,A81,382,125,3.056
all time,E06000045,A82,138,40,3.45
all time,E06000045,A83,282,74,3.810810810810811
all time,E06000045,A84,46,11,4.181818181818182
all time,E06000045,A86,258,78,3.3076923076923075
all time,E06000046,A1,116,45,2.577777777777778
all time,E06000046,A12,10,5,2.0
all time,E06000046,A20,70,31,2.2580645161290325
all time,E06000046,A24,110,12,9.166666666666666
all time,E06000046,A28,8,1,8.0
all time,E06000046,A29,278,37,7.513513513513513
all time,E06000046,A33,18,7,2.5714285714285716
all time,E06000046,A41,414,100,4.14
all time,E06000046,A53,16,6,2.6666666666666665
all time,E06000046,A54,442,64,6.90625
all time,E06000046,A56,78,34,2.2941176470588234
all time,E06000046,A57,224,52,4.3076923076923075
all time,E06000046,A60,1564,165,9.478787878787879
all time,E06000046,A63,6,1,6.0
all time,E06000046,A73,62,21,2.9523809523809526
all time,E06000046,A79,32,12,2.6666666666666665
all time,E06000046,A81,86,32,2.6875
all time,E06000046,A82,14,7,2.0
all time,E06000046,A83,150,17,8.823529411764707
all time,E06000046,A86,32,10,3.2
all time,E06000047,A1,144,62,2.3225806451612905
all time,E06000047,A12,56,24,2.3333333333333335
all time,E06000047,A20,376,144,2.611111111111111
all time,E06000047,A24,180,69,2.608695652173913
all time,E06000047,A28,24,6,4.0
all time,E06000047,A29,1470,221,6.65158371040724
all time,E06000047,A33,140,36,3.888888888888889
all time,E06000047,A41,954,272,3.5073529411764706
all time,E06000047,A53,212,68,3.1176470588235294
all time,E06000047,A54,974,326,2.9877300613496933
all time,E06000047,A56,382,138,2.7681159420289854
all time,E06000047,A57,780,231,3.3766233766233764
all time,E06000047,A60,1530,390,3.923076923076923
all time,E06000047,A63,4,2,2.0
all time,E06000047,A73,320,110,2.909090909090909
all time,E06000047,A79,244,65,3.753846153846154
all time,E06000047,A81,2070,361,5.734072022160665
all time,E06000047,A82,54,20,2.7
all time,E06000047,A83,348,41,8.487804878048781
all time,E06000047,A86,64,23,2.782608695652174
all time,E06000049,A1,182,75,2.4266666666666667
all time,E06000049,A12,34,14,2.4285714285714284
all time,E06000049,A20,246,97,2.536082474226804
all time,E06000049,A24,334,88,3.7954545454545454
all time,E06000049,A28,26,10,2.6
all time,E06000049,A29,964,168,5.738095238095238
all time,E06000049,A33,100,37,2.7027027027027026
all time,E06000049,A41,3436,579,5.934369602763385
all time,E06000049,A53,188,74,2.5405405405405403
all time,E06000049,A54,1092,343,3.183673469387755
all time,E06000049,A56,382,142,2.6901408450704225
all time,E06000049,A57,1218,331,3.6797583081570995
all time,E06000049,A60,7012,1095,6.403652968036529
all time,E06000049,A63,6,3,2.0
all time,E06000049,A73,300,117,2.5641025641025643
all time,E06000049,A79,628,100,6.28
all time,E06000049,A81,2646,582,4.546391752577319
all time,E06000049,A82,168,58,2.896551724137931
all time,E06000049,A83,584,125,4.672
all time,E06000049,A86,162,68,2.3823529411764706
all time,E06000050,A1,102,48,2.125
all time,E06000050,A12,32,15,2.1333333333333333
all time,E06000050,A20,224,70,3.2
all time,E06000050,A24,232,79,2.9367088607594938
