period,LAD,SHEF_A,report_count,user_count,average
2012-10,E06000001,Potholes,1,1,1.0
2012-10,E06000002,Open Spaces/Parks,1,1,1.0
2012-10,E06000002,Street Cleaning,1,1,1.0
2012-10,E06000002,Traffic Lights,1,1,1.0
2012-10,E06000003,Dog Fouling,1,1,1.0
2012-10,E06000004,Dog Fouling,2,2,1.0
2012-10,E06000004,Pavement /Footway Defects,1,1,1.0
2012-10,E06000004,Potholes,1,1,1.0
2012-10,E06000004,Street Lights,2,2,1.0
2012-10,E06000004,Traffic Lights,1,1,1.0
2012-10,E06000005,Fly-tipping,1,1,1.0
2012-10,E06000005,Highway Condition,1,1,1.0
2012-10,E06000005,Parking,1,1,1.0
2012-10,E06000005,Street Lights,2,2,1.0
2012-10,E06000006,Graffiti,1,1,1.0
2012-10,E06000006,Highway Condition,1,1,1.0
2012-10,E06000006,Pavement /Footway Defects,1,1,1.0
2012-10,E06000006,Rubbish,1,1,1.0
2012-10,E06000006,Street Lights,1,1,1.0
2012-10,E06000007,Fly-tipping,1,1,1.0
2012-10,E06000007,Highway Condition,1,1,1.0
2012-10,E06000007,Parking,1,1,1.0
2012-10,E06000007,Potholes,3,2,1.5
2012-10,E06000007,Street Lights,2,2,1.0
2012-10,E06000007,Street Signs,1,1,1.0
2012-10,E06000008,Abandoned Vehicles,2,2,1.0
2012-10,E06000008,Dog Fouling,2,2,1.0
2012-10,E06000008,Fallen/Dangerous Trees,1,1,1.0
2012-10,E06000008,Fly-tipping,1,1,1.0
2012-10,E06000008,Graffiti,1,1,1.0
2012-10,E06000008,Highway Condition,8,3,2.6666666666666665
2012-10,E06000008,Other,3,3,1.0
2012-10,E06000008,Pavement /Footway Defects,3,2,1.5
2012-10,E06000008,Potholes,3,3,1.0
2012-10,E06000008,Rubbish,4,3,1.3333333333333333
2012-10,E06000008,Street Lights,4,4,1.0
2012-10,E06000009,Highway Condition,2,2,1.0
2012-10,E06000010,Other,1,1,1.0
2012-10,E06000010,Pavement /Footway Defects,1,1,1.0
2012-10,E06000010,Potholes,1,1,1.0
2012-10,E06000010,Street Lights,2,2,1.0
2012-10,E06000011,Dog Fouling,2,2,1.0
2012-10,E06000011,Fly-tipping,1,1,1.0
2012-10,E06000011,Highway Condition,7,4,1.75
2012-10,E06000011,Pavement /Footway Defects,2,2,1.0
2012-10,E06000011,Potholes,4,4,1.0
2012-10,E06000011,Street Cleaning,1,1,1.0
2012-10,E06000011,Street Lights,2,2,1.0
