lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000004,B1,1,1,1.0
E06000005,B1,2,1,2.0
E06000006,B1,2,1,2.0
E06000007,B1,2,2,1.0
E06000009,B1,2,2,1.0
E06000014,B1,1,1,1.0
E06000015,B1,2,2,1.0
E06000019,B1,3,3,1.0
E06000021,B1,8,7,1.1428571428571428
E06000022,B1,51,44,1.1590909090909092
E06000023,B1,11,11,1.0
E06000024,B1,1,1,1.0
E06000025,B1,4,4,1.0
E06000026,B1,1,1,1.0
E06000030,B1,1,1,1.0
E06000031,B1,12,12,1.0
E06000032,B1,22,20,1.1
E06000034,B1,2,2,1.0
E06000036,B1,2,2,1.0
E06000038,B1,2,2,1.0
E06000039,B1,3,3,1.0
E06000040,B1,2,2,1.0
E06000041,B1,2,2,1.0
E06000042,B1,6,4,1.5
E06000043,B1,1,1,1.0
E06000044,B1,2,2,1.0
E06000047,B1,1,1,1.0
E06000049,B1,2,1,2.0
E06000051,B1,1,1,1.0
E06000052,B1,3,3,1.0
E06000055,B1,2,2,1.0
E06000056,B1,4,4,1.0
E06000058,B1,1,1,1.0
E06000059,B1,3,3,1.0
E06000060,B1,14,13,1.0769230769230769
E07000008,B1,6,5,1.2
E07000009,B1,1,1,1.0
E07000010,B1,3,3,1.0
E07000011,B1,3,3,1.0
E07000012,B1,3,3,1.0
E07000033,B1,1,1,1.0
E07000036,B1,1,1,1.0
E07000042,B1,1,1,1.0
E07000044,B1,1,1,1.0
E07000045,B1,1,1,1.0
E07000062,B1,3,3,1.0
E07000063,B1,1,1,1.0
E07000064,B1,3,3,1.0
E07000068,B1,1,1,1.0
E07000070,B1,1,1,1.0
E07000071,B1,2,2,1.0
E07000072,B1,2,2,1.0
E07000081,B1,1,1,1.0
E07000084,B1,2,2,1.0
E07000085,B1,3,3,1.0
E07000086,B1,2,2,1.0
E07000088,B1,2,2,1.0
E07000089,B1,16,16,1.0
E07000091,B1,1,1,1.0
E07000096,B1,2,2,1.0
E07000098,B1,2,2,1.0
E07000099,B1,4,4,1.0
E07000102,B1,3,2,1.5
E07000109,B1,1,1,1.0
E07000111,B1,3,3,1.0
E07000113,B1,2,2,1.0
E07000114,B1,3,3,1.0
E07000116,B1,1,1,1.0
E07000119,B1,1,1,1.0
E07000121,B1,2,2,1.0
E07000123,B1,3,1,3.0
E07000126,B1,1,1,1.0
E07000129,B1,2,2,1.0
E07000130,B1,2,2,1.0
E07000131,B1,1,1,1.0
E07000132,B1,1,1,1.0
E07000135,B1,1,1,1.0
E07000142,B1,1,1,1.0
E07000143,B1,1,1,1.0
E07000149,B1,2,2,1.0
E07000152,B1,1,1,1.0
E07000154,B1,2,2,1.0
E07000156,B1,1,1,1.0
E07000176,B1,1,1,1.0
E07000177,B1,7,7,1.0
E07000178,B1,4,4,1.0
E07000179,B1,8,6,1.3333333333333333
E07000180,B1,1,1,1.0
E07000181,B1,3,3,1.0
E07000187,B1,2,2,1.0
E07000188,B1,1,1,1.0
E07000189,B1,1,1,1.0
E07000193,B1,1,1,1.0
E07000195,B1,1,1,1.0
E07000197,B1,1,1,1.0
