period,LAD,report_count,user_count,average
all time,,2763,1658,1.666465621230398
all time,E06000001,900,309,2.912621359223301
all time,E06000002,1000,402,2.487562189054726
all time,E06000003,826,396,2.085858585858586
all time,E06000004,2375,947,2.50791974656811
all time,E06000005,893,306,2.918300653594771
all time,E06000006,1013,437,2.3180778032036615
all time,E06000007,1956,833,2.348139255702281
all time,E06000008,3544,1284,2.7601246105919004
all time,E06000009,1799,736,2.4442934782608696
all time,E06000010,6261,863,7.254924681344148
all time,E06000011,6895,1196,5.76505016722408
all time,E06000012,935,373,2.506702412868633
all time,E06000013,1617,361,4.479224376731302
all time,E06000014,1917,609,3.147783251231527
all time,E06000015,1986,758,2.620052770448549
all time,E06000016,1978,907,2.180815876515987
all time,E06000017,530,163,3.2515337423312882
all time,E06000018,3197,897,3.5641025641025643
all time,E06000019,3337,999,3.34034034034034
all time,E06000020,1810,584,3.0993150684931505
all time,E06000021,3655,1108,3.2987364620938626
all time,E06000022,2592,967,2.6804550155118925
all time,E06000023,18890,7559,2.4990078052652467
all time,E06000024,2909,1074,2.7085661080074486
all time,E06000025,3351,1210,2.7694214876033056
all time,E06000026,3163,1223,2.5862632869991824
all time,E06000027,1153,455,2.534065934065934
all time,E06000028,4370,956,4.571129707112971
all time,E06000029,1042,447,2.331096196868009
all time,E06000030,2295,1038,2.2109826589595376
all time,E06000031,6825,1105,6.176470588235294
all time,E06000032,4843,877,5.5222348916761685
all time,E06000033,1835,565,3.247787610619469
all time,E06000034,1552,479,3.240083507306889
all time,E06000035,2007,856,2.3446261682242993
all time,E06000036,1910,740,2.581081081081081
all time,E06000037,2238,826,2.709443099273608
all time,E06000038,4923,1353,3.638580931263858
all time,E06000039,1493,538,2.775092936802974
all time,E06000040,2805,1177,2.383177570093458
all time,E06000041,4448,1288,3.453416149068323
all time,E06000042,2936,1065,2.7568075117370894
all time,E06000043,4137,1441,2.8709229701596115
all time,E06000044,1273,744,1.711021505376344
all time,E06000045,12778,4276,2.988306828811974
all time,E06000046,1839,446,4.123318385650224
all time,E06000047,5130,1641,3.126142595978062
all time,E06000049,9626,2620,3.6740458015267174
all time,E06000050,3798,1459,2.603152844413982
all time,E06000051,2545,956,2.662133891213389
all time,E06000052,5396,1976,2.730769230769231
all time,E06000053,1,1,1.0
all time,E06000054,4069,1790,2.2731843575418993
all time,E06000055,1907,697,2.7360114777618363
all time,E06000056,5551,1800,3.0838888888888887
all time,E06000057,3899,1430,2.7265734265734265
all time,E07000004,5101,2197,2.3218024578971326
all time,E07000005,3290,1235,2.6639676113360324
all time,E07000006,3806,1381,2.7559739319333816
all time,E07000007,4679,1693,2.763733018310691
all time,E07000008,4358,1203,3.622610141313383
all time,E07000009,710,323,2.198142414860681
all time,E07000010,948,310,3.0580645161290323
all time,E07000011,1717,872,1.9690366972477065
all time,E07000012,3462,1425,2.4294736842105262
all time,E07000026,739,310,2.3838709677419354
all time,E07000027,683,218,3.13302752293578
all time,E07000028,597,279,2.139784946236559
all time,E07000029,1336,540,2.474074074074074
all time,E07000030,397,177,2.2429378531073447
all time,E07000031,1267,542,2.337638376383764
all time,E07000032,1192,524,2.2748091603053435
all time,E07000033,946,386,2.4507772020725387
all time,E07000034,1697,387,4.385012919896641
all time,E07000035,969,356,2.7219101123595504
all time,E07000036,1437,614,2.3403908794788273
all time,E07000037,879,428,2.053738317757009
all time,E07000038,2088,493,4.235294117647059
all time,E07000039,1459,581,2.5111876075731496
all time,E07000040,2196,766,2.866840731070496
all time,E07000041,1131,485,2.331958762886598
all time,E07000042,887,341,2.601173020527859
all time,E07000043,2236,920,2.4304347826086956
all time,E07000044,1404,508,2.763779527559055
all time,E07000045,1876,819,2.2905982905982905
all time,E07000046,2004,500,4.008
all time,E07000047,482,223,2.1614349775784754
all time,E07000048,478,229,2.087336244541485
all time,E07000049,865,337,2.5667655786350148
all time,E07000050,512,247,2.0728744939271255
all time,E07000051,427,188,2.271276595744681
all time,E07000052,944,419,2.252983293556086
all time,E07000053,462,217,2.129032258064516
all time,E07000061,3207,1429,2.244226731980406
all time,E07000062,4058,1619,2.506485484867202
all time,E07000063,6331,2942,2.1519374575118966
all time,E07000064,8377,3669,2.2831834287271735
all time,E07000065,12898,4721,2.7320482948527856
all time,E07000066,1731,874,1.9805491990846682
all time,E07000067,1031,555,1.8576576576576576
all time,E07000068,1479,384,3.8515625
all time,E07000069,1032,383,2.6945169712793735
all time,E07000070,1947,791,2.461441213653603
all time,E07000071,3677,1085,3.3889400921658988
all time,E07000072,1790,775,2.3096774193548386
all time,E07000073,725,343,2.1137026239067054
all time,E07000074,414,182,2.2747252747252746
all time,E07000075,1165,534,2.1816479400749063
all time,E07000076,1026,504,2.0357142857142856
all time,E07000077,1106,501,2.2075848303393215
all time,E07000078,5014,1475,3.3993220338983052
all time,E07000079,2125,612,3.4722222222222223
all time,E07000080,957,402,2.3805970149253732
all time,E07000081,1343,533,2.519699812382739
all time,E07000082,1748,659,2.6525037936267073
all time,E07000083,1823,714,2.553221288515406
all time,E07000084,4059,1056,3.84375
all time,E07000085,2005,842,2.3812351543942993
all time,E07000086,1576,645,2.4434108527131784
all time,E07000087,1076,460,2.3391304347826085
