period,LSOA,SHEF_B_CODE,report_count,user_count,average
2013-7,,B26,1,1,1.0
2013-7,95BB12S2,B25,1,1,1.0
2013-7,E01000012,B1,1,1,1.0
2013-7,E01000030,B26,1,1,1.0
2013-7,E01000035,B26,1,1,1.0
2013-7,E01000072,B26,1,1,1.0
2013-7,E01000112,B26,1,1,1.0
2013-7,E01000117,B13,1,1,1.0
2013-7,E01000117,B19,2,2,1.0
2013-7,E01000117,B26,3,3,1.0
2013-7,E01000117,B28,1,1,1.0
2013-7,E01000118,B19,1,1,1.0
2013-7,E01000119,B13,2,2,1.0
2013-7,E01000119,B17,1,1,1.0
2013-7,E01000119,B25,2,2,1.0
2013-7,E01000119,B26,1,1,1.0
2013-7,E01000121,B17,1,1,1.0
2013-7,E01000121,B26,1,1,1.0
2013-7,E01000122,B19,1,1,1.0
2013-7,E01000123,B26,1,1,1.0
2013-7,E01000124,B13,1,1,1.0
2013-7,E01000124,B24,1,1,1.0
2013-7,E01000124,B26,1,1,1.0
2013-7,E01000124,B28,4,4,1.0
2013-7,E01000124,B7,2,2,1.0
2013-7,E01000126,B26,2,2,1.0
2013-7,E01000127,B26,2,1,2.0
2013-7,E01000127,B28,1,1,1.0
2013-7,E01000128,B26,2,2,1.0
2013-7,E01000129,B19,1,1,1.0
2013-7,E01000130,B28,1,1,1.0
2013-7,E01000131,B26,3,3,1.0
2013-7,E01000132,B19,1,1,1.0
2013-7,E01000132,B25,1,1,1.0
2013-7,E01000134,B26,1,1,1.0
2013-7,E01000135,B26,1,1,1.0
2013-7,E01000138,B17,1,1,1.0
2013-7,E01000138,B25,1,1,1.0
2013-7,E01000139,B19,1,1,1.0
2013-7,E01000139,B26,1,1,1.0
2013-7,E01000140,B17,1,1,1.0
2013-7,E01000140,B19,2,2,1.0
2013-7,E01000140,B26,1,1,1.0
2013-7,E01000141,B13,1,1,1.0
2013-7,E01000141,B24,1,1,1.0
2013-7,E01000141,B26,2,2,1.0
2013-7,E01000142,B13,1,1,1.0
2013-7,E01000142,B14,1,1,1.0
2013-7,E01000142,B26,1,1,1.0
2013-7,E01000143,B13,1,1,1.0
2013-7,E01000145,B13,1,1,1.0
2013-7,E01000145,B26,1,1,1.0
2013-7,E01000146,B25,1,1,1.0
2013-7,E01000146,B26,1,1,1.0
2013-7,E01000147,B26,1,1,1.0
2013-7,E01000148,B13,1,1,1.0
2013-7,E01000148,B26,3,2,1.5
2013-7,E01000150,B13,1,1,1.0
2013-7,E01000150,B26,1,1,1.0
2013-7,E01000152,B26,1,1,1.0
2013-7,E01000153,B26,3,2,1.5
2013-7,E01000154,B13,1,1,1.0
2013-7,E01000155,B13,1,1,1.0
2013-7,E01000155,B26,6,3,2.0
2013-7,E01000156,B25,1,1,1.0
2013-7,E01000156,B26,1,1,1.0
2013-7,E01000157,B26,1,1,1.0
2013-7,E01000158,B13,1,1,1.0
2013-7,E01000158,B17,1,1,1.0
2013-7,E01000159,B12,1,1,1.0
2013-7,E01000159,B17,2,2,1.0
2013-7,E01000159,B19,1,1,1.0
2013-7,E01000160,B24,1,1,1.0
2013-7,E01000161,B26,1,1,1.0
2013-7,E01000162,B13,1,1,1.0
2013-7,E01000162,B19,1,1,1.0
2013-7,E01000162,B25,1,1,1.0
2013-7,E01000164,B17,1,1,1.0
2013-7,E01000164,B7,1,1,1.0
2013-7,E01000165,B13,1,1,1.0
2013-7,E01000166,B13,1,1,1.0
2013-7,E01000166,B26,1,1,1.0
2013-7,E01000166,B28,2,2,1.0
2013-7,E01000167,B19,1,1,1.0
2013-7,E01000167,B28,1,1,1.0
