period,LSOA,SHEF_B_CODE,report_count,user_count,average
2009-3,E01001809,B24,1,1,1.0
2009-3,E01001812,B26,1,1,1.0
2009-3,E01001823,B24,1,1,1.0
2009-3,E01001824,B16,1,1,1.0
2009-3,E01001828,B26,1,1,1.0
2009-3,E01001849,B16,1,1,1.0
2009-3,E01001852,B26,1,1,1.0
2009-3,E01001855,B26,1,1,1.0
2009-3,E01001857,B26,1,1,1.0
2009-3,E01001895,B16,1,1,1.0
2009-3,E01001896,B26,1,1,1.0
2009-3,E01001898,B27,1,1,1.0
2009-3,E01001933,B28,1,1,1.0
2009-3,E01001954,B19,1,1,1.0
2009-3,E01001973,B25,1,1,1.0
2009-3,E01001976,B26,1,1,1.0
2009-3,E01001984,B14,1,1,1.0
2009-3,E01001984,B26,1,1,1.0
2009-3,E01001985,B16,1,1,1.0
2009-3,E01001988,B14,1,1,1.0
2009-3,E01001997,B24,1,1,1.0
2009-3,E01001999,B26,2,2,1.0
2009-3,E01002000,B26,2,2,1.0
2009-3,E01002002,B25,1,1,1.0
2009-3,E01002008,B15,1,1,1.0
2009-3,E01002033,B26,1,1,1.0
2009-3,E01002034,B18,1,1,1.0
2009-3,E01002036,B26,1,1,1.0
2009-3,E01002036,B28,1,1,1.0
2009-3,E01002048,B6,1,1,1.0
2009-3,E01002105,B13,1,1,1.0
2009-3,E01002112,B16,1,1,1.0
2009-3,E01002114,B17,1,1,1.0
2009-3,E01002127,B19,1,1,1.0
2009-3,E01002129,B28,1,1,1.0
2009-3,E01002154,B16,1,1,1.0
2009-3,E01002169,B28,1,1,1.0
2009-3,E01002176,B25,1,1,1.0
2009-3,E01002189,B19,1,1,1.0
2009-3,E01002194,B1,1,1,1.0
2009-3,E01002209,B18,1,1,1.0
2009-3,E01002218,B26,1,1,1.0
2009-3,E01002257,B28,2,1,2.0
2009-3,E01002303,B16,1,1,1.0
2009-3,E01002303,B26,2,1,2.0
2009-3,E01002304,B25,1,1,1.0
2009-3,E01002307,B25,1,1,1.0
2009-3,E01002318,B25,1,1,1.0
2009-3,E01002382,B14,1,1,1.0
2009-3,E01002400,B25,1,1,1.0
2009-3,E01002411,B25,1,1,1.0
2009-3,E01002411,B26,1,1,1.0
2009-3,E01002414,B25,1,1,1.0
2009-3,E01002434,B16,1,1,1.0
2009-3,E01002438,B24,1,1,1.0
2009-3,E01002441,B14,1,1,1.0
2009-3,E01002444,B25,1,1,1.0
2009-3,E01002444,B28,1,1,1.0
2009-3,E01002455,B6,1,1,1.0
2009-3,E01002461,B25,1,1,1.0
2009-3,E01002472,B16,1,1,1.0
2009-3,E01002475,B19,1,1,1.0
2009-3,E01002499,B25,1,1,1.0
2009-3,E01002506,B26,1,1,1.0
2009-3,E01002525,B15,1,1,1.0
2009-3,E01002525,B26,1,1,1.0
2009-3,E01002526,B24,1,1,1.0
2009-3,E01002534,B24,1,1,1.0
2009-3,E01002535,B13,1,1,1.0
2009-3,E01002535,B14,1,1,1.0
2009-3,E01002535,B26,1,1,1.0
2009-3,E01002539,B26,1,1,1.0
2009-3,E01002560,B18,1,1,1.0
2009-3,E01002563,B19,1,1,1.0
2009-3,E01002567,B26,1,1,1.0
2009-3,E01002576,B16,1,1,1.0
2009-3,E01002581,B26,1,1,1.0
2009-3,E01002584,B26,1,1,1.0
2009-3,E01002596,B26,1,1,1.0
2009-3,E01002598,B13,1,1,1.0
2009-3,E01002630,B18,1,1,1.0
2009-3,E01002641,B13,1,1,1.0
2009-3,E01002641,B16,1,1,1.0
2009-3,E01002641,B26,1,1,1.0
2009-3,E01002679,B1,2,2,1.0
2009-3,E01002679,B13,1,1,1.0
2009-3,E01002679,B18,3,1,3.0
2009-3,E01002679,B19,1,1,1.0
