period,LAD,report_count,user_count,average
all time,E07000033,2972,403,7.374689826302729
all time,E07000034,5190,399,13.007518796992482
all time,E07000035,3047,371,8.212938005390836
all time,E07000036,4790,644,7.437888198757764
all time,E07000037,2718,437,6.219679633867277
all time,E07000038,6511,512,12.716796875
all time,E07000039,4531,607,7.464579901153212
all time,E07000040,6619,770,8.596103896103896
all time,E07000041,3458,493,7.0141987829614605
all time,E07000042,2707,350,7.734285714285714
all time,E07000043,6743,924,7.2976190476190474
all time,E07000044,4281,521,8.216890595009597
all time,E07000045,5713,836,6.833732057416268
all time,E07000046,6053,507,11.938856015779093
all time,E07000047,1465,227,6.453744493392071
all time,E07000048,1454,232,6.267241379310345
all time,E07000049,2631,346,7.604046242774566
all time,E07000050,1558,248,6.282258064516129
all time,E07000051,1310,194,6.752577319587629
all time,E07000052,2924,438,6.675799086757991
all time,E07000053,1511,245,6.16734693877551
all time,E07000061,9806,1451,6.7580978635423845
all time,E07000062,12461,1661,7.50210716435882
all time,E07000063,19457,2989,6.509534961525594
all time,E07000064,25852,3790,6.821108179419525
all time,E07000065,39174,4766,8.21947125472094
all time,E07000066,5345,899,5.945494994438265
all time,E07000067,3186,570,5.589473684210526
all time,E07000068,4531,395,11.470886075949368
all time,E07000069,3215,403,7.977667493796526
all time,E07000070,6024,817,7.373317013463892
all time,E07000071,11262,1106,10.182640144665461
all time,E07000072,5642,805,7.008695652173913
all time,E07000073,2270,349,6.504297994269341
all time,E07000074,1312,190,6.905263157894737
all time,E07000075,3563,551,6.466424682395644
all time,E07000076,3134,518,6.05019305019305
all time,E07000077,3370,516,6.5310077519379846
all time,E07000078,15362,1488,10.323924731182796
all time,E07000079,6615,641,10.3198127925117
all time,E07000080,2947,414,7.118357487922705
all time,E07000081,4191,556,7.537769784172662
all time,E07000082,5357,671,7.983606557377049
all time,E07000083,5685,748,7.600267379679145
all time,E07000084,12635,1101,11.475930971843779
all time,E07000085,6211,862,7.205336426914153
all time,E07000086,4857,666,7.292792792792793
all time,E07000087,3309,473,6.995771670190275
all time,E07000088,1844,312,5.910256410256411
all time,E07000089,23448,3905,6.0046094750320105
all time,E07000090,2515,430,5.848837209302325
all time,E07000091,8991,1036,8.678571428571429
all time,E07000092,3834,494,7.761133603238866
all time,E07000093,6323,795,7.953459119496856
all time,E07000094,9795,1177,8.322005097706032
all time,E07000095,3188,464,6.870689655172414
all time,E07000096,15288,1626,9.402214022140221
all time,E07000098,9913,1299,7.631254811393379
all time,E07000099,10482,1214,8.634266886326195
all time,E07000102,8556,958,8.931106471816284
all time,E07000103,7357,610,12.060655737704918
all time,E07000105,6300,753,8.366533864541832
all time,E07000106,8056,883,9.123442808607022
all time,E07000107,6550,457,14.332603938730854
all time,E07000108,2532,404,6.267326732673268
all time,E07000109,3772,453,8.326710816777043
all time,E07000110,5202,753,6.908366533864542
all time,E07000111,10296,826,12.464891041162227
all time,E07000112,4973,628,7.9187898089171975
all time,E07000113,5890,670,8.791044776119403
all time,E07000114,12819,990,12.94848484848485
all time,E07000115,4220,562,7.5088967971530245
all time,E07000116,6491,720,9.015277777777778
all time,E07000117,2033,314,6.474522292993631
all time,E07000118,6030,630,9.571428571428571
all time,E07000119,4928,638,7.724137931034483
all time,E07000120,2482,400,6.205
all time,E07000121,10390,1373,7.567370721048798
all time,E07000122,2229,323,6.900928792569659
all time,E07000123,6439,820,7.852439024390244
all time,E07000124,3651,433,8.431870669745958
all time,E07000125,3741,447,8.369127516778523
all time,E07000126,5382,721,7.464632454923717
all time,E07000127,5829,635,9.179527559055119
all time,E07000128,4782,620,7.712903225806452
all time,E07000129,1828,271,6.745387453874539
all time,E07000130,3931,549,7.1602914389799635
all time,E07000131,5325,680,7.830882352941177
all time,E07000132,2321,311,7.463022508038585
all time,E07000133,1469,174,8.442528735632184
all time,E07000134,2550,417,6.115107913669065
all time,E07000135,1071,145,7.386206896551724
all time,E07000136,1375,233,5.901287553648069
all time,E07000137,5935,712,8.335674157303371
all time,E07000138,3283,444,7.3941441441441444
all time,E07000139,6915,874,7.911899313501144
