lad,reports,unique_users,average_per_user
E06000001,76,24,3.1666666666666665
E06000002,4,4,1.0
E06000003,23,16,1.4375
E06000004,106,69,1.536231884057971
E06000005,34,11,3.090909090909091
E06000006,34,25,1.36
E06000007,51,36,1.4166666666666667
E06000008,41,31,1.3225806451612903
E06000009,9,9,1.0
E06000010,69,37,1.864864864864865
E06000011,5,5,1.0
E06000012,1,1,1.0
E06000013,39,32,1.21875
E06000014,34,21,1.619047619047619
E06000015,77,47,1.6382978723404256
E06000016,37,28,1.3214285714285714
E06000017,115,78,1.4743589743589745
E06000018,10,8,1.25
E06000019,174,79,2.2025316455696204
E06000020,14,11,1.2727272727272727
E06000021,136,67,2.029850746268657
E06000022,1658,912,1.8179824561403508
E06000023,1472,899,1.6373748609566185
E06000024,47,35,1.3428571428571427
E06000025,148,85,1.7411764705882353
E06000026,10,8,1.25
E06000027,12,12,1.0
E06000030,32,25,1.28
E06000031,549,369,1.4878048780487805
E06000032,155,83,1.8674698795180722
E06000033,32,19,1.6842105263157894
E06000034,25,18,1.3888888888888888
E06000035,96,70,1.3714285714285714
E06000036,67,53,1.2641509433962264
E06000037,94,64,1.46875
E06000038,154,92,1.673913043478261
E06000039,66,41,1.6097560975609757
E06000040,88,52,1.6923076923076923
E06000041,269,84,3.2023809523809526
E06000042,82,39,2.1025641025641026
E06000043,151,78,1.935897435897436
E06000044,14,14,1.0
E06000045,26,17,1.5294117647058822
E06000046,1648,231,7.134199134199134
E06000047,11,11,1.0
E06000049,20,14,1.4285714285714286
E06000050,14,12,1.1666666666666667
E06000051,328,162,2.0246913580246915
E06000052,132,92,1.434782608695652
E06000054,14,12,1.1666666666666667
E06000055,77,45,1.711111111111111
E06000056,21,17,1.2352941176470589
E06000057,59,36,1.6388888888888888
E06000058,4,4,1.0
E06000059,72,47,1.5319148936170213
E06000060,4596,2707,1.6978204654599187
E07000008,17,15,1.1333333333333333
E07000009,3,3,1.0
E07000010,2,2,1.0
E07000011,15,9,1.6666666666666667
E07000012,17,16,1.0625
E07000026,15,12,1.25
E07000027,12,8,1.5
