lad,reports,unique_users,average_per_user
E06000001,10,7,1.4285714285714286
E06000002,29,24,1.2083333333333333
E06000003,37,25,1.48
E06000004,31,22,1.4090909090909092
E06000005,15,12,1.25
E06000006,16,11,1.4545454545454546
E06000007,53,38,1.394736842105263
E06000008,22,20,1.1
E06000009,38,31,1.2258064516129032
E06000010,34,21,1.619047619047619
E06000011,141,44,3.2045454545454546
E06000012,25,22,1.1363636363636365
E06000013,19,10,1.9
E06000014,23,20,1.15
E06000015,43,34,1.2647058823529411
E06000016,62,40,1.55
E06000017,4,4,1.0
E06000018,213,41,5.195121951219512
E06000019,64,32,2.0
E06000020,71,21,3.380952380952381
E06000021,44,27,1.6296296296296295
E06000022,24,19,1.263157894736842
E06000023,187,134,1.3955223880597014
E06000024,77,45,1.711111111111111
E06000025,42,31,1.3548387096774193
E06000026,72,38,1.894736842105263
E06000027,15,14,1.0714285714285714
E06000030,58,37,1.5675675675675675
E06000031,213,64,3.328125
E06000032,33,21,1.5714285714285714
E06000033,13,13,1.0
E06000034,6,6,1.0
E06000035,43,38,1.131578947368421
E06000036,27,19,1.4210526315789473
E06000037,51,34,1.5
E06000038,70,39,1.794871794871795
E06000039,20,16,1.25
E06000040,41,32,1.28125
E06000041,47,34,1.3823529411764706
E06000042,136,80,1.7
E06000043,165,98,1.683673469387755
E06000044,28,25,1.12
E06000045,68,53,1.2830188679245282
E06000046,20,14,1.4285714285714286
E06000047,117,75,1.56
E06000049,149,73,2.041095890410959
E06000050,73,54,1.3518518518518519
E06000051,50,26,1.9230769230769231
E06000052,70,54,1.2962962962962963
E06000054,111,84,1.3214285714285714
E06000055,31,26,1.1923076923076923
E06000056,117,61,1.9180327868852458
E06000057,73,45,1.6222222222222222
E06000058,73,46,1.5869565217391304
E06000059,89,56,1.5892857142857142
E06000060,197,128,1.5390625
E07000008,211,98,2.1530612244897958
E07000009,13,10,1.3
E07000010,30,22,1.3636363636363635
E07000011,44,37,1.1891891891891893
E07000012,151,71,2.1267605633802815
E07000026,32,14,2.2857142857142856
E07000027,6,5,1.2
E07000028,26,15,1.7333333333333334
E07000029,21,16,1.3125
E07000030,6,6,1.0
E07000031,17,11,1.5454545454545454
E07000032,33,26,1.2692307692307692
E07000033,9,6,1.5
E07000034,10,9,1.1111111111111112
E07000035,21,13,1.6153846153846154
E07000036,73,34,2.1470588235294117
E07000037,17,13,1.3076923076923077
E07000038,37,26,1.4230769230769231
E07000039,16,7,2.2857142857142856
E07000040,93,46,2.0217391304347827
E07000041,14,7,2.0
E07000042,15,14,1.0714285714285714
E07000043,17,13,1.3076923076923077
E07000044,20,15,1.3333333333333333
E07000045,29,25,1.16
E07000046,24,8,3.0
E07000047,4,4,1.0
