period,LSOA,SHEF_C_CODE,report_count,user_count,average
2017,95PP20W1,C7,1,1,1.0
2017,95PP21W1,C7,10,2,5.0
2017,95QQ02W1,C7,1,1,1.0
2017,95QQ02W1,C8,1,1,1.0
2017,95QQ07W1,C7,2,2,1.0
2017,95QQ13W1,C7,1,1,1.0
2017,95QQ14S1,C7,1,1,1.0
2017,95SS01S2,C7,1,1,1.0
2017,95SS03S1,C7,3,1,3.0
2017,95SS04S1,C7,1,1,1.0
2017,95SS04S3,C3,1,1,1.0
2017,95SS04S3,C7,1,1,1.0
2017,95SS06S1,C7,1,1,1.0
2017,95SS07S3,C7,1,1,1.0
2017,95SS08S1,C7,5,1,5.0
2017,95SS08S2,C3,1,1,1.0
2017,95SS15S2,C7,1,1,1.0
2017,95SS18S2,C4,1,1,1.0
2017,95SS20W1,C7,1,1,1.0
2017,95SS21S1,C3,1,1,1.0
2017,95SS21S2,C7,1,1,1.0
2017,95SS23S2,C7,2,2,1.0
2017,95SS24S2,C7,1,1,1.0
2017,95SS25W1,C7,1,1,1.0
2017,95TT03S1,C7,1,1,1.0
2017,95TT06W1,C7,1,1,1.0
2017,95TT14W1,C7,1,1,1.0
2017,95VV04W1,C3,1,1,1.0
2017,95VV05S2,C7,3,1,3.0
2017,95VV10S1,C3,1,1,1.0
2017,95VV11S2,C8,1,1,1.0
2017,95VV20W1,C7,1,1,1.0
2017,95VV26W1,C7,2,2,1.0
2017,95VV27W1,C3,1,1,1.0
2017,95VV27W1,C7,4,2,2.0
2017,95VV30S1,C7,1,1,1.0
2017,95WW02S1,C7,1,1,1.0
2017,95WW04S1,C7,1,1,1.0
2017,95WW07S2,C7,1,1,1.0
2017,95WW13S2,C7,1,1,1.0
2017,95WW15S1,C7,1,1,1.0
2017,95WW17W1,C7,1,1,1.0
2017,95WW19S3,C3,1,1,1.0
2017,95WW19S3,C7,2,2,1.0
2017,95WW20S2,C5,1,1,1.0
2017,95WW20S2,C7,2,2,1.0
2017,95WW21S2,C4,1,1,1.0
2017,95WW22S1,C8,1,1,1.0
2017,95WW22S2,C2,1,1,1.0
2017,95XX02W1,C3,1,1,1.0
2017,95XX02W1,C7,1,1,1.0
2017,95XX05W1,C3,1,1,1.0
2017,95XX05W1,C7,1,1,1.0
2017,95XX09S1,C4,1,1,1.0
2017,95XX09S1,C7,1,1,1.0
2017,95XX15W1,C8,1,1,1.0
2017,95XX17S2,C3,1,1,1.0
2017,95XX18W1,C3,1,1,1.0
2017,95XX19W1,C8,1,1,1.0
2017,95XX23W1,C7,1,1,1.0
2017,95YY13S1,C7,1,1,1.0
2017,95YY14S1,C7,1,1,1.0
2017,95YY16W1,C7,1,1,1.0
2017,95YY17W1,C7,1,1,1.0
2017,95YY20W1,C3,2,1,2.0
2017,95YY20W1,C7,1,1,1.0
2017,95ZZ10W1,C7,1,1,1.0
2017,E01000001,C3,1,1,1.0
2017,E01000001,C4,5,3,1.6666666666666667
2017,E01000001,C7,4,3,1.3333333333333333
2017,E01000002,C4,1,1,1.0
2017,E01000002,C5,1,1,1.0
2017,E01000002,C7,3,2,1.5
2017,E01000003,C4,8,2,4.0
2017,E01000005,C4,2,1,2.0
2017,E01000005,C5,1,1,1.0
2017,E01000005,C7,6,5,1.2
2017,E01000007,C7,1,1,1.0
2017,E01000008,C8,1,1,1.0
2017,E01000010,C7,2,1,2.0
2017,E01000011,C7,2,1,2.0
2017,E01000013,C8,1,1,1.0
2017,E01000014,C7,1,1,1.0
2017,E01000015,C3,4,1,4.0
2017,E01000015,C6,2,1,2.0
2017,E01000015,C7,7,2,3.5
2017,E01000015,C8,1,1,1.0
2017,E01000017,C3,1,1,1.0
2017,E01000022,C3,1,1,1.0
2017,E01000022,C7,1,1,1.0
2017,E01000022,C8,1,1,1.0
2017,E01000023,C8,2,1,2.0
2017,E01000024,C3,1,1,1.0
2017,E01000025,C3,1,1,1.0
2017,E01000025,C7,2,2,1.0
2017,E01000029,C3,6,1,6.0
2017,E01000029,C7,2,1,2.0
2017,E01000030,C7,2,2,1.0
2017,E01000031,C3,2,2,1.0
2017,E01000032,C7,2,1,2.0
2017,E01000034,C3,2,2,1.0
2017,E01000034,C7,4,1,4.0
