period,LSOA,report_count,user_count,average
all time,95GG36S1,2,2,1.0
all time,95GG36S2,3,2,1.5
all time,95GG36S3,1,1,1.0
all time,95GG37S1,3,2,1.5
all time,95GG37S3,1,1,1.0
all time,95GG38S1,4,2,2.0
all time,95GG38S2,1,1,1.0
all time,95GG39S1,2,2,1.0
all time,95GG39S2,1,1,1.0
all time,95GG39S3,3,2,1.5
all time,95GG40S1,1,1,1.0
all time,95GG40S2,1,1,1.0
all time,95GG41S1,1,1,1.0
all time,95GG41S2,3,3,1.0
all time,95GG41S3,5,5,1.0
all time,95GG42S1,2,2,1.0
all time,95GG42S3,2,2,1.0
all time,95GG42S4,2,2,1.0
all time,95GG43S1,3,2,1.5
all time,95GG44S1,4,4,1.0
all time,95GG44S2,2,2,1.0
all time,95GG45S1,2,2,1.0
all time,95GG45S3,1,1,1.0
all time,95GG46S1,1,1,1.0
all time,95GG46S2,2,2,1.0
all time,95GG47S1,2,2,1.0
all time,95GG47S3,1,1,1.0
all time,95GG48S2,2,2,1.0
all time,95GG49S1,1,1,1.0
all time,95GG49S2,7,4,1.75
all time,95GG49S3,3,3,1.0
all time,95GG49S4,1,1,1.0
all time,95GG50S1,22,2,11.0
all time,95GG50S2,23,4,5.75
all time,95GG50S3,10,3,3.3333333333333335
all time,95GG51S3,1,1,1.0
all time,95HH03W1,2,2,1.0
all time,95HH04S1,1,1,1.0
all time,95HH04S2,5,5,1.0
all time,95HH06S1,7,6,1.1666666666666667
all time,95HH06S2,4,4,1.0
all time,95HH07W1,2,2,1.0
all time,95HH08W1,5,4,1.25
all time,95HH09W1,2,2,1.0
all time,95HH10W1,1,1,1.0
all time,95HH12W1,5,4,1.25
all time,95HH13W1,5,4,1.25
all time,95HH14W1,4,3,1.3333333333333333
all time,95HH15W1,2,2,1.0
all time,95HH17W1,5,5,1.0
all time,95II01S2,3,1,3.0
all time,95II02S2,1,1,1.0
all time,95II02S3,1,1,1.0
all time,95II03S1,1,1,1.0
all time,95II03S2,5,5,1.0
all time,95II04S1,11,2,5.5
all time,95II04S2,2,2,1.0
all time,95II05S2,1,1,1.0
all time,95II06S1,3,2,1.5
all time,95II06S2,1,1,1.0
all time,95II07W1,1,1,1.0
all time,95II08W1,2,2,1.0
all time,95II09S1,4,4,1.0
all time,95II09S2,4,3,1.3333333333333333
all time,95II10W1,1,1,1.0
all time,95II11W1,19,2,9.5
all time,95II12W1,1,1,1.0
all time,95II13W1,8,7,1.1428571428571428
all time,95II14W1,3,3,1.0
all time,95II15S1,1,1,1.0
all time,95II16W1,6,3,2.0
all time,95II17W1,7,5,1.4
all time,95II18W1,3,3,1.0
all time,95II19S1,11,3,3.6666666666666665
all time,95II19S2,1,1,1.0
all time,95II20W1,2,1,2.0
all time,95II21W1,4,4,1.0
all time,95II22W1,7,5,1.4
all time,95JJ02W1,1,1,1.0
all time,95JJ04S1,1,1,1.0
all time,95JJ08S1,1,1,1.0
all time,95JJ09W1,3,3,1.0
all time,95JJ10W1,1,1,1.0
all time,95JJ13S1,2,2,1.0
all time,95JJ13S2,1,1,1.0
all time,95JJ14W1,1,1,1.0
all time,95JJ17W1,8,4,2.0
all time,95JJ18W1,6,5,1.2
all time,95JJ20S1,5,5,1.0
all time,95JJ21W1,1,1,1.0
all time,95KK02W1,3,1,3.0
all time,95KK03W1,3,2,1.5
all time,95KK05W1,1,1,1.0
all time,95KK06W1,1,1,1.0
all time,95KK07W1,1,1,1.0
all time,95KK09W1,1,1,1.0
all time,95KK13W1,2,2,1.0
all time,95KK15W1,2,2,1.0
all time,95LL01S1,1,1,1.0
all time,95LL02S1,1,1,1.0
all time,95LL02S2,2,2,1.0
all time,95LL03W1,2,2,1.0
all time,95LL04W1,7,1,7.0
all time,95LL05S1,3,3,1.0
all time,95LL06S1,1,1,1.0
all time,95LL08S1,1,1,1.0
all time,95LL09S1,2,2,1.0
all time,95LL10S2,2,2,1.0
all time,95LL11S1,1,1,1.0
all time,95LL11S2,1,1,1.0
all time,95LL13S2,2,2,1.0
all time,95LL14S1,2,1,2.0
all time,95LL15S2,1,1,1.0
all time,95LL16S1,1,1,1.0
all time,95LL16S2,17,10,1.7
all time,95LL19S1,1,1,1.0
all time,95LL19S2,3,3,1.0
all time,95LL21W1,1,1,1.0
all time,95LL22W1,1,1,1.0
all time,95LL23W1,4,1,4.0
all time,95LL24S1,1,1,1.0
all time,95LL24S2,1,1,1.0
all time,95LL25S2,2,2,1.0
all time,95LL26S1,2,2,1.0
all time,95LL26S2,1,1,1.0
all time,95MM01S2,1,1,1.0
all time,95MM01S3,2,2,1.0
all time,95MM02S1,5,1,5.0
all time,95MM04W1,1,1,1.0
all time,95MM05W1,2,1,2.0
all time,95MM08S1,1,1,1.0
all time,95MM09S2,1,1,1.0
all time,95MM10S1,1,1,1.0
all time,95MM10S2,2,2,1.0
all time,95MM12S1,31,2,15.5
all time,95MM12S3,1,1,1.0
all time,95MM13S1,1,1,1.0
all time,95MM13S2,1,1,1.0
all time,95MM13S4,1,1,1.0
all time,95MM14S2,3,3,1.0
all time,95MM15S1,1,1,1.0
all time,95MM15S2,1,1,1.0
all time,95MM18S1,3,2,1.5
all time,95MM18S2,9,2,4.5
all time,95MM19S1,2,2,1.0
all time,95MM19S2,2,1,2.0
all time,95MM20S2,2,2,1.0
all time,95MM22S2,2,1,2.0
all time,95MM23W1,1,1,1.0
all time,95MM25S2,2,2,1.0
all time,95MM25S3,3,3,1.0
all time,95MM25S4,1,1,1.0
all time,95MM27S1,1,1,1.0
all time,95MM28W1,1,1,1.0
all time,95MM29W1,1,1,1.0
all time,95NN01S1,2,2,1.0
all time,95NN03S1,2,2,1.0
all time,95NN03S2,2,2,1.0
all time,95NN04W1,2,2,1.0
all time,95NN05W1,2,2,1.0
all time,95NN06S1,1,1,1.0
all time,95NN09S1,2,1,2.0
all time,95NN09S2,6,1,6.0
all time,95NN10S1,1,1,1.0
all time,95NN11S1,1,1,1.0
all time,95NN12W1,5,4,1.25
all time,95NN13W1,3,3,1.0
all time,95NN14S1,2,2,1.0
all time,95NN14S2,1,1,1.0
all time,95NN15W1,2,2,1.0
all time,95NN16S1,2,2,1.0
all time,95NN19S1,3,1,3.0
all time,95NN19S2,5,3,1.6666666666666667
all time,95NN20W1,5,3,1.6666666666666667
all time,95NN21W1,6,3,2.0
all time,95NN22W1,4,2,2.0
all time,95NN23S2,1,1,1.0
all time,95OO05W1,1,1,1.0
all time,95OO06W1,1,1,1.0
all time,95OO07W1,1,1,1.0
all time,95OO08W1,1,1,1.0
all time,95OO12W1,1,1,1.0
all time,95OO14W1,1,1,1.0
all time,95OO16W1,1,1,1.0
all time,95OO19W1,1,1,1.0
all time,95PP01W1,1,1,1.0
all time,95PP04W1,5,2,2.5
all time,95PP05W1,1,1,1.0
all time,95PP07W1,2,1,2.0
all time,95PP08W1,2,1,2.0
all time,95PP10W1,25,2,12.5
all time,95PP11W1,1,1,1.0
all time,95PP12W1,1,1,1.0
all time,95PP15W1,1,1,1.0
all time,95PP16W1,1,1,1.0
