lsoa,reports,unique_users,average_per_user
E01000176,1,1,1.0
E01000177,6,6,1.0
E01000178,9,3,3.0
E01000179,2,2,1.0
E01000180,2,2,1.0
E01000181,11,5,2.2
E01000182,8,6,1.3333333333333333
E01000183,8,5,1.6
E01000184,23,11,2.090909090909091
E01000185,8,3,2.6666666666666665
E01000186,4,4,1.0
E01000187,2,2,1.0
E01000188,14,9,1.5555555555555556
E01000189,1,1,1.0
E01000190,2,2,1.0
E01000191,3,3,1.0
E01000192,8,4,2.0
E01000193,9,5,1.8
E01000194,10,7,1.4285714285714286
E01000195,1,1,1.0
E01000196,17,7,2.4285714285714284
E01000197,34,11,3.090909090909091
E01000198,5,4,1.25
E01000199,6,5,1.2
E01000200,4,3,1.3333333333333333
E01000201,3,3,1.0
E01000202,3,2,1.5
E01000203,6,5,1.2
E01000204,5,4,1.25
E01000205,10,7,1.4285714285714286
E01000206,4,4,1.0
E01000207,6,6,1.0
E01000208,7,7,1.0
E01000209,4,4,1.0
E01000210,10,9,1.1111111111111112
E01000211,18,7,2.5714285714285716
E01000212,3,3,1.0
E01000213,2,2,1.0
E01000214,4,4,1.0
E01000215,2,2,1.0
E01000216,6,5,1.2
E01000218,3,3,1.0
E01000219,8,6,1.3333333333333333
E01000220,2,2,1.0
E01000221,29,4,7.25
E01000222,15,7,2.142857142857143
E01000223,43,14,3.0714285714285716
E01000224,7,6,1.1666666666666667
E01000225,3,3,1.0
E01000226,8,5,1.6
E01000227,1,1,1.0
E01000228,16,8,2.0
E01000229,2,2,1.0
E01000230,3,3,1.0
E01000231,7,4,1.75
E01000232,2,2,1.0
E01000233,6,6,1.0
E01000234,6,4,1.5
E01000235,11,7,1.5714285714285714
E01000236,3,3,1.0
E01000237,14,3,4.666666666666667
E01000238,9,5,1.8
E01000239,6,4,1.5
E01000240,3,2,1.5
E01000241,4,4,1.0
E01000242,10,6,1.6666666666666667
E01000243,5,3,1.6666666666666667
E01000244,5,5,1.0
E01000245,10,5,2.0
E01000246,5,4,1.25
E01000247,13,5,2.6
E01000248,18,6,3.0
E01000249,10,5,2.0
E01000250,13,7,1.8571428571428572
E01000251,12,9,1.3333333333333333
E01000253,18,10,1.8
E01000254,5,5,1.0
E01000255,7,5,1.4
E01000256,5,4,1.25
E01000257,18,8,2.25
E01000258,8,7,1.1428571428571428
E01000259,3,3,1.0
E01000260,10,7,1.4285714285714286
E01000261,9,4,2.25
E01000262,8,5,1.6
E01000263,15,5,3.0
E01000264,11,8,1.375
E01000265,1,1,1.0
E01000266,8,5,1.6
E01000267,1,1,1.0
E01000268,12,6,2.0
