lsoa,reports,unique_users,average_per_user
95BB03S2,2,2,1.0
95BB05S2,1,1,1.0
95BB17S2,1,1,1.0
95CC16W1,1,1,1.0
95CC19W1,1,1,1.0
95DD02S1,1,1,1.0
95DD17W1,1,1,1.0
95GG12S3,1,1,1.0
95GG23S2,1,1,1.0
95GG31S2,1,1,1.0
95GG34S1,2,1,2.0
95GG43S1,1,1,1.0
95GG50S3,1,1,1.0
95II17W1,1,1,1.0
95JJ10W1,1,1,1.0
95JJ20S1,1,1,1.0
95KK05W1,1,1,1.0
95KK13W1,2,2,1.0
95KK15W1,1,1,1.0
95LL04W1,1,1,1.0
95MM01S3,1,1,1.0
95MM12S1,2,2,1.0
95MM25S3,1,1,1.0
95NN13W1,1,1,1.0
95NN23S2,1,1,1.0
95PP08W1,1,1,1.0
95PP10W1,1,1,1.0
95SS01S1,1,1,1.0
95SS05S2,3,1,3.0
95SS08S1,1,1,1.0
95SS09S1,1,1,1.0
95SS12W1,1,1,1.0
95VV11S2,1,1,1.0
95VV12S1,1,1,1.0
95VV20W1,1,1,1.0
95VV27W1,1,1,1.0
95VV29W1,1,1,1.0
95WW05S1,1,1,1.0
95WW06S1,2,1,2.0
95WW09S2,3,3,1.0
95WW16S1,1,1,1.0
95WW20S2,1,1,1.0
95WW22S1,1,1,1.0
95XX17S2,1,1,1.0
E01000002,2,2,1.0
E01000003,2,1,2.0
E01000005,2,1,2.0
E01000008,1,1,1.0
E01000010,1,1,1.0
E01000027,2,1,2.0
E01000029,1,1,1.0
E01000038,1,1,1.0
E01000039,1,1,1.0
E01000042,2,1,2.0
E01000045,1,1,1.0
E01000052,2,2,1.0
E01000085,1,1,1.0
E01000092,2,1,2.0
E01000095,1,1,1.0
E01000115,4,3,1.3333333333333333
E01000116,5,4,1.25
E01000117,1,1,1.0
E01000118,4,4,1.0
E01000127,1,1,1.0
E01000128,1,1,1.0
E01000129,4,4,1.0
E01000132,7,4,1.75
E01000133,3,3,1.0
E01000136,3,3,1.0
E01000138,1,1,1.0
E01000139,3,3,1.0
E01000140,1,1,1.0
E01000141,4,4,1.0
E01000144,1,1,1.0
E01000146,3,2,1.5
E01000150,5,3,1.6666666666666667
E01000153,1,1,1.0
E01000154,1,1,1.0
