lsoa,reports,unique_users,average_per_user
95GG33S3,4,4,1.0
95GG34S1,3,2,1.5
95GG34S2,6,4,1.5
95GG34S3,3,3,1.0
95GG35S1,3,3,1.0
95GG36S1,3,3,1.0
95GG36S2,3,2,1.5
95GG36S3,2,2,1.0
95GG37S1,7,4,1.75
95GG37S2,1,1,1.0
95GG37S3,2,2,1.0
95GG38S1,6,3,2.0
95GG38S2,1,1,1.0
95GG39S1,7,6,1.1666666666666667
95GG39S2,3,3,1.0
95GG39S3,6,5,1.2
95GG40S1,1,1,1.0
95GG40S2,1,1,1.0
95GG41S1,1,1,1.0
95GG41S2,3,3,1.0
95GG41S3,5,5,1.0
95GG42S1,2,2,1.0
95GG42S3,2,2,1.0
95GG42S4,2,2,1.0
95GG43S1,3,2,1.5
95GG43S3,2,1,2.0
95GG44S1,4,4,1.0
95GG44S2,3,3,1.0
95GG45S1,3,3,1.0
95GG45S3,2,2,1.0
95GG46S1,1,1,1.0
95GG46S2,2,2,1.0
95GG46S3,1,1,1.0
95GG47S1,3,3,1.0
95GG47S3,3,2,1.5
95GG48S2,2,2,1.0
95GG49S1,1,1,1.0
95GG49S2,8,5,1.6
95GG49S3,3,3,1.0
95GG49S4,7,4,1.75
95GG50S1,33,2,16.5
95GG50S2,24,4,6.0
95GG50S3,13,3,4.333333333333333
95GG51S3,1,1,1.0
95HH01W1,1,1,1.0
95HH03W1,2,2,1.0
95HH04S1,2,2,1.0
95HH04S2,5,5,1.0
95HH06S1,11,7,1.5714285714285714
95HH06S2,4,4,1.0
95HH07W1,2,2,1.0
95HH08W1,6,5,1.2
95HH09W1,6,5,1.2
95HH10W1,2,2,1.0
95HH12W1,6,4,1.5
95HH13W1,6,4,1.5
95HH14W1,5,3,1.6666666666666667
95HH15W1,3,3,1.0
95HH16W1,1,1,1.0
95HH17W1,6,5,1.2
95II01S1,1,1,1.0
95II01S2,3,1,3.0
95II02S1,1,1,1.0
95II02S2,2,2,1.0
95II02S3,1,1,1.0
95II03S1,2,2,1.0
95II03S2,6,5,1.2
95II04S1,19,3,6.333333333333333
95II04S2,3,3,1.0
95II05S2,1,1,1.0
95II06S1,4,3,1.3333333333333333
95II06S2,1,1,1.0
95II07W1,2,2,1.0
95II08W1,6,5,1.2
95II09S1,5,5,1.0
95II09S2,4,3,1.3333333333333333
95II10W1,4,3,1.3333333333333333
95II11W1,22,4,5.5
95II12W1,1,1,1.0
95II13W1,10,8,1.25
95II14W1,3,3,1.0
95II15S1,2,2,1.0
95II16W1,7,4,1.75
95II17W1,9,6,1.5
95II18W1,5,4,1.25
95II19S1,13,4,3.25
95II19S2,4,3,1.3333333333333333
95II20W1,2,1,2.0
95II21W1,4,4,1.0
95II22W1,11,5,2.2
95JJ02W1,1,1,1.0
95JJ04S1,1,1,1.0
95JJ07W1,1,1,1.0
95JJ08S1,1,1,1.0
95JJ09W1,4,4,1.0
95JJ10W1,3,3,1.0
95JJ13S1,2,2,1.0
95JJ13S2,2,2,1.0
95JJ14W1,1,1,1.0
95JJ15W1,2,2,1.0
95JJ17W1,11,4,2.75
95JJ18W1,6,5,1.2
95JJ20S1,5,5,1.0
95JJ21W1,1,1,1.0
95KK02W1,3,1,3.0
95KK03W1,3,2,1.5
95KK05W1,1,1,1.0
95KK06W1,1,1,1.0
95KK07W1,1,1,1.0
95KK09W1,1,1,1.0
95KK13W1,2,2,1.0
95KK15W1,2,2,1.0
95LL01S1,1,1,1.0
95LL01S2,1,1,1.0
95LL02S1,1,1,1.0
95LL02S2,2,2,1.0
95LL03W1,3,2,1.5
95LL04W1,7,1,7.0
95LL05S1,4,4,1.0
95LL05S2,1,1,1.0
95LL06S1,2,2,1.0
95LL08S1,1,1,1.0
95LL09S1,2,2,1.0
95LL09S2,1,1,1.0
95LL10S2,2,2,1.0
95LL11S1,1,1,1.0
95LL11S2,1,1,1.0
95LL13S2,2,2,1.0
95LL14S1,2,1,2.0
95LL15S2,2,2,1.0
95LL16S1,3,3,1.0
95LL16S2,19,10,1.9
95LL18S1,2,2,1.0
95LL19S1,1,1,1.0
95LL19S2,3,3,1.0
95LL21W1,1,1,1.0
95LL22W1,2,2,1.0
95LL23W1,4,1,4.0
95LL24S1,1,1,1.0
95LL24S2,2,2,1.0
95LL25S1,1,1,1.0
95LL25S2,2,2,1.0
95LL26S1,2,2,1.0
95LL26S2,3,3,1.0
95MM01S2,2,2,1.0
95MM01S3,2,2,1.0
95MM02S1,7,1,7.0
95MM02S2,2,2,1.0
95MM03W1,1,1,1.0
95MM04W1,1,1,1.0
95MM05W1,2,1,2.0
95MM06S1,2,1,2.0
95MM08S1,2,2,1.0
95MM08S2,2,2,1.0
95MM09S1,1,1,1.0
95MM09S2,1,1,1.0
95MM10S1,1,1,1.0
95MM10S2,2,2,1.0
95MM12S1,79,2,39.5
95MM12S3,1,1,1.0
95MM13S1,3,3,1.0
95MM13S2,1,1,1.0
95MM13S4,2,2,1.0
95MM14S1,1,1,1.0
95MM14S2,3,3,1.0
95MM15S1,2,2,1.0
95MM15S2,1,1,1.0
95MM18S1,3,2,1.5
95MM18S2,12,3,4.0
95MM19S1,2,2,1.0
95MM19S2,2,1,2.0
95MM20S2,2,2,1.0
95MM22S2,4,2,2.0
95MM23W1,2,1,2.0
95MM25S1,1,1,1.0
95MM25S2,2,2,1.0
95MM25S3,3,3,1.0
95MM25S4,1,1,1.0
95MM27S1,1,1,1.0
95MM28W1,1,1,1.0
95MM29W1,5,4,1.25
95NN01S1,3,3,1.0
95NN03S1,3,3,1.0
95NN03S2,2,2,1.0
95NN04W1,3,3,1.0
95NN05W1,5,4,1.25
95NN06S1,1,1,1.0
95NN07S2,3,1,3.0
95NN09S1,3,1,3.0
95NN09S2,8,1,8.0
95NN10S1,1,1,1.0
95NN11S1,3,1,3.0
95NN11S2,1,1,1.0
95NN12W1,6,5,1.2
95NN13W1,3,3,1.0
95NN14S1,2,2,1.0
95NN14S2,1,1,1.0
95NN15W1,3,3,1.0
95NN16S1,2,2,1.0
95NN19S1,7,2,3.5
95NN19S2,6,4,1.5
95NN20W1,7,3,2.3333333333333335
95NN21W1,9,4,2.25
95NN22W1,4,2,2.0
95NN23S1,1,1,1.0
