lsoa,reports,unique_users,average_per_user
E01000543,2,1,2.0
E01000549,1,1,1.0
E01000551,1,1,1.0
E01000558,1,1,1.0
E01000564,4,3,1.3333333333333333
E01000571,3,3,1.0
E01000573,2,1,2.0
E01000583,1,1,1.0
E01000587,2,2,1.0
E01000589,2,2,1.0
E01000590,1,1,1.0
E01000596,2,2,1.0
E01000600,1,1,1.0
E01000602,1,1,1.0
E01000608,4,3,1.3333333333333333
E01000611,1,1,1.0
E01000613,1,1,1.0
E01000624,2,1,2.0
E01000625,1,1,1.0
E01000636,1,1,1.0
E01000646,3,3,1.0
E01000648,5,2,2.5
E01000649,1,1,1.0
E01000650,4,3,1.3333333333333333
E01000651,3,2,1.5
E01000652,3,3,1.0
E01000653,1,1,1.0
E01000654,2,2,1.0
E01000655,3,3,1.0
E01000656,4,4,1.0
E01000658,4,3,1.3333333333333333
E01000659,1,1,1.0
E01000661,3,2,1.5
E01000662,2,2,1.0
E01000663,3,3,1.0
E01000664,5,2,2.5
E01000665,1,1,1.0
E01000666,8,4,2.0
E01000667,3,3,1.0
E01000668,9,6,1.5
E01000669,3,2,1.5
E01000670,6,6,1.0
E01000671,1,1,1.0
E01000672,2,1,2.0
E01000673,11,8,1.375
E01000674,1,1,1.0
E01000675,27,5,5.4
E01000676,22,5,4.4
E01000677,6,5,1.2
E01000678,4,4,1.0
E01000679,2,2,1.0
E01000680,12,9,1.3333333333333333
E01000681,1,1,1.0
E01000682,3,2,1.5
E01000684,1,1,1.0
E01000685,2,2,1.0
E01000686,1,1,1.0
E01000687,3,3,1.0
E01000688,3,3,1.0
E01000689,1,1,1.0
E01000690,1,1,1.0
E01000692,15,6,2.5
E01000693,5,4,1.25
E01000694,4,4,1.0
E01000695,6,4,1.5
E01000696,12,7,1.7142857142857142
E01000697,5,5,1.0
E01000699,5,5,1.0
E01000700,4,2,2.0
E01000701,5,4,1.25
E01000702,1,1,1.0
E01000703,9,7,1.2857142857142858
E01000704,11,8,1.375
E01000705,7,5,1.4
E01000706,6,4,1.5
E01000707,2,2,1.0
E01000708,3,2,1.5
E01000709,2,2,1.0
E01000710,2,2,1.0
E01000711,3,3,1.0
E01000712,2,2,1.0
E01000713,3,3,1.0
E01000714,10,8,1.25
E01000715,1,1,1.0
E01000716,4,4,1.0
E01000717,3,2,1.5
